# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2023-07-12 15:04:36 EDT       (sdww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01470870 Blue Marsh Lake near Bernville, PA
# -----------------------------------------------------------------------------------
#
# Data provided for site 01470870
#            TS   parameter     statistic     Description
#        307658       00062     00003     Elevation of reservoir water surface above datum, feet (Mean)
#        307982       00062     00001     Elevation of reservoir water surface above datum, feet (Maximum)
#        307983       00062     00002     Elevation of reservoir water surface above datum, feet (Minimum)
#
# Data-value qualification codes included in this output:
#
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	307658_00062_00003	307658_00062_00003_cd	307982_00062_00001	307982_00062_00001_cd	307983_00062_00002	307983_00062_00002_cd
USGS	01470870	2004-11-26	285.40	A	285.42	A	285.37	A
USGS	01470870	2004-11-27	285.40	A	285.41	A	285.39	A
USGS	01470870	2004-11-28	286.86	A	288.77	A	285.38	A
USGS	01470870	2004-11-29	289.33	A	289.53	A	288.77	A
USGS	01470870	2004-11-30	288.76	A	289.31	A	287.99	A
USGS	01470870	2004-12-01	287.81	A	287.99	A	287.60	A
USGS	01470870	2004-12-02	287.39	A	287.84	A	286.84	A
USGS	01470870	2004-12-03	286.28	A	286.84	A	285.86	A
USGS	01470870	2004-12-04	285.45	A	285.86	A	284.99	A
USGS	01470870	2004-12-05	284.62	A	284.99	A	284.48	A
USGS	01470870	2004-12-06	284.53	A	284.69	A	284.43	A
USGS	01470870	2004-12-07	284.91	A	285.17	A	284.69	A
USGS	01470870	2004-12-08	285.35	A	285.43	A	285.17	A
USGS	01470870	2004-12-09	285.31	A	285.35	A	285.27	A
USGS	01470870	2004-12-10	285.65	A	286.29	A	285.34	A
USGS	01470870	2004-12-11	287.00	A	287.49	A	286.29	A
USGS	01470870	2004-12-12	287.74	A	287.93	A	287.49	A
USGS	01470870	2004-12-13	287.99	A	288.07	A	287.90	A
USGS	01470870	2004-12-14	287.70	A	287.90	A	287.47	A
USGS	01470870	2004-12-15	287.18	A	287.47	A	286.88	A
USGS	01470870	2004-12-16	286.55	A	286.88	A	286.21	A
USGS	01470870	2004-12-17	285.96	A	286.21	A	285.85	A
USGS	01470870	2004-12-18	285.76	A	285.85	A	285.67	A
USGS	01470870	2004-12-19	285.57	A	285.67	A	285.46	A
USGS	01470870	2004-12-20	285.29	A	285.46	A	285.10	A
USGS	01470870	2004-12-21	285.01	A	285.11	A	284.96	A
USGS	01470870	2004-12-22	285.04	A	285.07	A	285.02	A
USGS	01470870	2004-12-23	285.27	A	285.90	A	285.06	A
USGS	01470870	2004-12-24	286.28	A	286.54	A	285.90	A
USGS	01470870	2004-12-25	286.73	A	286.90	A	286.54	A
USGS	01470870	2004-12-26	287.03	A	287.14	A	286.90	A
USGS	01470870	2004-12-27
USGS	01470870	2004-12-28
USGS	01470870	2004-12-29
USGS	01470870	2004-12-30
USGS	01470870	2004-12-31	285.04	A	285.05	A	285.03	A
USGS	01470870	2005-01-01	285.03	A	285.05	A	285.02	A
USGS	01470870	2005-01-02	284.98	A	285.02	A	284.94	A
USGS	01470870	2005-01-03	284.94	A	284.98	A	284.92	A
USGS	01470870	2005-01-04	285.03	A	285.05	A	284.98	A
USGS	01470870	2005-01-05	285.04	A	285.15	A	284.99	A
USGS	01470870	2005-01-06	285.37	A	285.43	A	285.15	A
USGS	01470870	2005-01-07	285.32	A	285.40	A	285.24	A
USGS	01470870	2005-01-08	285.52	A	286.14	A	285.23	A
USGS	01470870	2005-01-09	286.50	A	286.77	A	286.14	A
USGS	01470870	2005-01-10	286.72	A	286.90	A	286.39	A
USGS	01470870	2005-01-11	285.91	A	286.39	A	285.46	A
USGS	01470870	2005-01-12	285.18	A	285.46	A	285.01	A
USGS	01470870	2005-01-13	284.91	A	285.01	A	284.86	A
USGS	01470870	2005-01-14	285.76	A	286.78	A	284.93	A
USGS	01470870	2005-01-15	287.08	A	287.25	A	286.78	A
USGS	01470870	2005-01-16	287.25	A	287.27	A	287.19	A
USGS	01470870	2005-01-17	287.04	A	287.20	A	286.82	A
USGS	01470870	2005-01-18	286.51	A	286.82	A	286.16	A
USGS	01470870	2005-01-19	285.77	A	286.16	A	285.39	A
USGS	01470870	2005-01-20	285.14	A	285.39	A	285.05	A
USGS	01470870	2005-01-21	285.01	A	285.05	A	284.98	A
USGS	01470870	2005-01-22	284.96	A	285.01	A	284.94	A
USGS	01470870	2005-01-23	284.95	A	284.98	A	284.91	A
USGS	01470870	2005-01-24	284.90	A	284.98	A	284.85	A
USGS	01470870	2005-01-25	285.02	A	285.04	A	284.98	A
USGS	01470870	2005-01-26	285.04	A	285.05	A	285.03	A
USGS	01470870	2005-01-27	285.01	A	285.05	A	284.99	A
USGS	01470870	2005-01-28	284.99	A	285.05	A	284.95	A
USGS	01470870	2005-01-29	285.11	A	285.18	A	285.05	A
USGS	01470870	2005-01-30	285.25	A	285.32	A	285.18	A
USGS	01470870	2005-01-31	285.32	A	285.36	A	285.28	A
USGS	01470870	2005-02-01	285.20	A	285.28	A	285.13	A
USGS	01470870	2005-02-02	285.08	A	285.14	A	285.06	A
USGS	01470870	2005-02-03	285.09	A	285.10	A	285.07	A
USGS	01470870	2005-02-04	285.11	A	285.12	A	285.09	A
USGS	01470870	2005-02-05	285.12	A	285.13	A	285.11	A
USGS	01470870	2005-02-06	285.14	A	285.16	A	285.13	A
USGS	01470870	2005-02-07	285.16	A	285.18	A	285.15	A
USGS	01470870	2005-02-08	285.15	A	285.18	A	285.14	A
USGS	01470870	2005-02-09	285.15	A	285.17	A	285.14	A
USGS	01470870	2005-02-10	285.11	A	285.19	A	284.97	A
USGS	01470870	2005-02-11	284.87	A	284.97	A	284.83	A
USGS	01470870	2005-02-12	284.83	A	284.85	A	284.82	A
USGS	01470870	2005-02-13	284.80	A	284.84	A	284.78	A
USGS	01470870	2005-02-14	284.85	A	285.18	A	284.75	A
USGS	01470870	2005-02-15	285.49	A	285.71	A	285.18	A
USGS	01470870	2005-02-16	285.10	A	285.27	A	284.97	A
USGS	01470870	2005-02-17	285.32	A	285.37	A	285.22	A
USGS	01470870	2005-02-18	285.36	A	285.39	A	285.32	A
USGS	01470870	2005-02-19	285.26	A	285.32	A	285.20	A
USGS	01470870	2005-02-20	285.12	A	285.20	A	285.05	A
USGS	01470870	2005-02-21	284.99	A	285.05	A	284.91	A
USGS	01470870	2005-02-22	284.87	A	284.91	A	284.84	A
USGS	01470870	2005-02-23	284.93	A	284.95	A	284.90	A
USGS	01470870	2005-02-24	284.96	A	284.98	A	284.94	A
USGS	01470870	2005-02-25	284.98	A	285.00	A	284.97	A
USGS	01470870	2005-02-26	285.01	A	285.04	A	285.00	A
USGS	01470870	2005-02-27	285.03	A	285.04	A	285.02	A
USGS	01470870	2005-02-28	285.05	A	285.10	A	285.03	A
USGS	01470870	2005-03-01	285.12	A	285.16	A	285.10	A
USGS	01470870	2005-03-02	285.14	A	285.16	A	285.12	A
USGS	01470870	2005-03-03	285.10	A	285.13	A	285.07	A
USGS	01470870	2005-03-04	285.08	A	285.09	A	285.06	A
USGS	01470870	2005-03-05	285.06	A	285.08	A	285.04	A
USGS	01470870	2005-03-06	285.04	A	285.06	A	285.03	A
USGS	01470870	2005-03-07	285.07	A	285.13	A	285.04	A
USGS	01470870	2005-03-08	285.31	A	285.50	A	285.13	A
USGS	01470870	2005-03-09	285.45	A	285.49	A	285.43	A
USGS	01470870	2005-03-10	285.35	A	285.44	A	285.27	A
USGS	01470870	2005-03-11	285.23	A	285.28	A	285.20	A
USGS	01470870	2005-03-12	285.28	A	285.30	A	285.25	A
USGS	01470870	2005-03-13	285.29	A	285.31	A	285.28	A
USGS	01470870	2005-03-14	285.24	A	285.29	A	285.17	A
USGS	01470870	2005-03-15	285.11	A	285.17	A	285.02	A
USGS	01470870	2005-03-16	284.92	A	285.02	A	284.81	A
USGS	01470870	2005-03-17	284.69	A	284.81	A	284.58	A
USGS	01470870	2005-03-18	284.46	A	284.58	A	284.37	A
USGS	01470870	2005-03-19	284.28	A	284.37	A	284.19	A
USGS	01470870	2005-03-20	284.12	A	284.19	A	284.05	A
USGS	01470870	2005-03-21	284.04	A	284.09	A	283.99	A
USGS	01470870	2005-03-22	284.16	A	284.27	A	284.08	A
USGS	01470870	2005-03-23	284.49	A	285.01	A	284.26	A
USGS	01470870	2005-03-24	285.35	A	285.48	A	285.01	A
USGS	01470870	2005-03-25	285.25	A	285.31	A	285.19	A
USGS	01470870	2005-03-26	285.38	A	285.43	A	285.31	A
USGS	01470870	2005-03-27	285.45	A	285.51	A	285.42	A
USGS	01470870	2005-03-28	285.97	A	287.47	A	285.51	A
USGS	01470870	2005-03-29	289.29	A	290.03	A	287.47	A
USGS	01470870	2005-03-30	289.77	A	289.89	A	289.64	A
USGS	01470870	2005-03-31	289.98	A	290.16	A	289.85	A
USGS	01470870	2005-04-01	290.25	A	290.32	A	290.16	A
USGS	01470870	2005-04-02	290.56	A	291.71	A	290.18	A
USGS	01470870	2005-04-03	294.21	A	296.18	A	291.71	A
USGS	01470870	2005-04-04	296.66	A	296.90	A	296.18	A
USGS	01470870	2005-04-05	295.57	A	296.32	A	294.74	A
USGS	01470870	2005-04-06	293.81	A	294.74	A	292.78	A
USGS	01470870	2005-04-07	291.67	A	292.78	A	290.66	A
USGS	01470870	2005-04-08	290.18	A	290.66	A	289.97	A
USGS	01470870	2005-04-09	290.09	A	290.10	A	290.06	A
USGS	01470870	2005-04-10	290.03	A	290.08	A	289.96	A
USGS	01470870	2005-04-11	289.95	A	290.01	A	289.90	A
USGS	01470870	2005-04-12	290.04	A	290.06	A	290.00	A
USGS	01470870	2005-04-13	290.06	A	290.08	A	290.04	A
USGS	01470870	2005-04-14	290.00	A	290.04	A	289.93	A
USGS	01470870	2005-04-15	289.92	A	289.95	A	289.89	A
USGS	01470870	2005-04-16	289.92	A	289.94	A	289.90	A
USGS	01470870	2005-04-17	289.89	A	289.92	A	289.85	A
USGS	01470870	2005-04-18	289.85	A	289.86	A	289.83	A
USGS	01470870	2005-04-19	289.89	A	289.95	A	289.85	A
USGS	01470870	2005-04-20	289.99	A	290.05	A	289.94	A
USGS	01470870	2005-04-21	290.06	A	290.08	A	290.02	A
USGS	01470870	2005-04-22	290.09	A	290.14	A	290.08	A
USGS	01470870	2005-04-23	290.21	A	290.35	A	290.11	A
USGS	01470870	2005-04-24	290.45	A	290.51	A	290.34	A
USGS	01470870	2005-04-25	290.55	A	290.59	A	290.51	A
USGS	01470870	2005-04-26	290.56	A	290.59	A	290.50	A
USGS	01470870	2005-04-27	290.47	A	290.52	A	290.38	A
USGS	01470870	2005-04-28	290.28	A	290.38	A	290.19	A
USGS	01470870	2005-04-29	290.13	A	290.19	A	290.11	A
USGS	01470870	2005-04-30	290.12	A	290.15	A	290.10	A
USGS	01470870	2005-05-01	290.16	A	290.20	A	290.14	A
USGS	01470870	2005-05-02	290.13	A	290.16	A	290.11	A
USGS	01470870	2005-05-03	290.09	A	290.12	A	290.06	A
USGS	01470870	2005-05-04	290.04	A	290.06	A	290.02	A
USGS	01470870	2005-05-05	290.03	A	290.04	A	290.01	A
USGS	01470870	2005-05-06	290.02	A	290.03	A	290.00	A
USGS	01470870	2005-05-07	290.00	A	290.02	A	289.98	A
USGS	01470870	2005-05-08	289.97	A	290.02	A	289.93	A
USGS	01470870	2005-05-09	289.93	A	289.95	A	289.91	A
USGS	01470870	2005-05-10	289.95	A	289.98	A	289.93	A
USGS	01470870	2005-05-11	290.01	A	290.04	A	289.98	A
USGS	01470870	2005-05-12	290.06	A	290.09	A	290.04	A
USGS	01470870	2005-05-13	290.09	A	290.11	A	290.08	A
USGS	01470870	2005-05-14	290.12	A	290.15	A	290.10	A
USGS	01470870	2005-05-15	290.17	A	290.19	A	290.14	A
USGS	01470870	2005-05-16	290.20	A	290.22	A	290.18	A
USGS	01470870	2005-05-17	290.17	A	290.20	A	290.14	A
USGS	01470870	2005-05-18	290.12	A	290.15	A	290.09	A
USGS	01470870	2005-05-19	290.05	A	290.09	A	290.02	A
USGS	01470870	2005-05-20	290.05	A	290.12	A	290.00	A
USGS	01470870	2005-05-21	290.16	A	290.20	A	290.12	A
USGS	01470870	2005-05-22	290.24	A	290.28	A	290.20	A
USGS	01470870	2005-05-23	290.29	A	290.30	A	290.27	A
USGS	01470870	2005-05-24	290.26	A	290.28	A	290.23	A
USGS	01470870	2005-05-25	290.22	A	290.24	A	290.18	A
USGS	01470870	2005-05-26	290.15	A	290.20	A	290.11	A
USGS	01470870	2005-05-27	290.09	A	290.11	A	290.06	A
USGS	01470870	2005-05-28	290.14	A	290.21	A	290.07	A
USGS	01470870	2005-05-29	290.27	A	290.32	A	290.21	A
USGS	01470870	2005-05-30	290.35	A	290.38	A	290.31	A
USGS	01470870	2005-05-31	290.36	A	290.39	A	290.30	A
USGS	01470870	2005-06-01	290.24	A	290.30	A	290.16	A
USGS	01470870	2005-06-02	290.12	A	290.17	A	290.10	A
USGS	01470870	2005-06-03	290.11	A	290.13	A	290.10	A
USGS	01470870	2005-06-04	290.14	A	290.16	A	290.12	A
USGS	01470870	2005-06-05	290.15	A	290.16	A	290.12	A
USGS	01470870	2005-06-06	290.13	A	290.16	A	290.11	A
USGS	01470870	2005-06-07	290.14	A	290.16	A	290.13	A
USGS	01470870	2005-06-08	290.12	A	290.14	A	290.10	A
USGS	01470870	2005-06-09	290.07	A	290.11	A	290.04	A
USGS	01470870	2005-06-10	290.04	A	290.05	A	290.03	A
USGS	01470870	2005-06-11	290.08	A	290.14	A	290.04	A
USGS	01470870	2005-06-12	290.18	A	290.21	A	290.14	A
USGS	01470870	2005-06-13	290.21	A	290.23	A	290.19	A
USGS	01470870	2005-06-14	290.17	A	290.20	A	290.13	A
USGS	01470870	2005-06-15	290.09	A	290.13	A	290.04	A
USGS	01470870	2005-06-16	290.04	A	290.07	A	290.02	A
USGS	01470870	2005-06-17	290.06	A	290.08	A	290.04	A
USGS	01470870	2005-06-18	290.06	A	290.07	A	290.06	A
USGS	01470870	2005-06-19	290.07	A	290.08	A	290.06	A
USGS	01470870	2005-06-20	290.08	A	290.09	A	290.07	A
USGS	01470870	2005-06-21	290.08	A	290.09	A	290.07	A
USGS	01470870	2005-06-22	290.07	A	290.08	A	290.05	A
USGS	01470870	2005-06-23	290.06	A	290.07	A	290.04	A
USGS	01470870	2005-06-24	290.05	A	290.08	A	290.03	A
USGS	01470870	2005-06-25	290.11	A	290.14	A	290.07	A
USGS	01470870	2005-06-26	290.17	A	290.20	A	290.14	A
USGS	01470870	2005-06-27	290.21	A	290.23	A	290.20	A
USGS	01470870	2005-06-28	290.21	A	290.23	A	290.17	A
USGS	01470870	2005-06-29	290.16	A	290.18	A	290.13	A
USGS	01470870	2005-06-30	290.17	A	290.20	A	290.13	A
USGS	01470870	2005-07-01	290.17	A	290.19	A	290.15	A
USGS	01470870	2005-07-02	290.13	A	290.16	A	290.10	A
USGS	01470870	2005-07-03	290.06	A	290.10	A	290.03	A
USGS	01470870	2005-07-04	290.00	A	290.03	A	289.96	A
USGS	01470870	2005-07-05	290.01	A	290.19	A	289.94	A
USGS	01470870	2005-07-06	290.23	A	290.31	A	290.12	A
USGS	01470870	2005-07-07	290.03	A	290.14	A	289.98	A
USGS	01470870	2005-07-08	290.48	A	290.63	A	290.14	A
USGS	01470870	2005-07-09	290.26	A	290.55	A	289.94	A
USGS	01470870	2005-07-10	289.71	A	289.94	A	289.62	A
USGS	01470870	2005-07-11	289.71	A	289.73	A	289.67	A
USGS	01470870	2005-07-12	289.77	A	289.83	A	289.73	A
USGS	01470870	2005-07-13	289.88	A	290.01	A	289.82	A
USGS	01470870	2005-07-14	290.06	A	290.09	A	290.01	A
USGS	01470870	2005-07-15	290.17	A	290.29	A	290.09	A
USGS	01470870	2005-07-16	290.38	A	290.54	A	290.29	A
USGS	01470870	2005-07-17	290.91	A	291.34	A	290.54	A
USGS	01470870	2005-07-18	291.44	A	291.67	A	291.07	A
USGS	01470870	2005-07-19	290.65	A	291.07	A	290.40	A
USGS	01470870	2005-07-20	290.20	A	290.40	A	290.03	A
USGS	01470870	2005-07-21	289.94	A	290.03	A	289.91	A
USGS	01470870	2005-07-22	289.90	A	289.91	A	289.90	A
USGS	01470870	2005-07-23	289.89	A	289.92	A	289.87	A
USGS	01470870	2005-07-24	289.84	A	289.87	A	289.80	A
USGS	01470870	2005-07-25	289.85	A	289.90	A	289.79	A
USGS	01470870	2005-07-26	289.91	A	289.93	A	289.90	A
USGS	01470870	2005-07-27	289.92	A	289.95	A	289.91	A
USGS	01470870	2005-07-28	289.95	A	289.95	A	289.94	A
USGS	01470870	2005-07-29	289.95	A	289.96	A	289.94	A
USGS	01470870	2005-07-30	289.95	A	289.97	A	289.94	A
USGS	01470870	2005-07-31	289.95	A	289.96	A	289.94	A
USGS	01470870	2005-08-01	289.95	A	289.96	A	289.94	A
USGS	01470870	2005-08-02	289.96	A	289.98	A	289.95	A
USGS	01470870	2005-08-03	289.98	A	290.01	A	289.97	A
USGS	01470870	2005-08-04	289.98	A	289.99	A	289.97	A
USGS	01470870	2005-08-05	289.96	A	289.99	A	289.91	A
USGS	01470870	2005-08-06	289.84	A	289.91	A	289.78	A
USGS	01470870	2005-08-07	289.72	A	289.78	A	289.65	A
USGS	01470870	2005-08-08	289.68	A	289.84	A	289.61	A
USGS	01470870	2005-08-09	289.94	A	290.02	A	289.84	A
USGS	01470870	2005-08-10	290.05	A	290.08	A	290.02	A
USGS	01470870	2005-08-11	290.09	A	290.10	A	290.07	A
USGS	01470870	2005-08-12	290.10	A	290.11	A	290.08	A
USGS	01470870	2005-08-13	290.11	A	290.13	A	290.10	A
USGS	01470870	2005-08-14	290.13	A	290.15	A	290.12	A
USGS	01470870	2005-08-15	290.13	A	290.15	A	290.11	A
USGS	01470870	2005-08-16	290.11	A	290.13	A	290.10	A
USGS	01470870	2005-08-17	290.12	A	290.13	A	290.10	A
USGS	01470870	2005-08-18	290.08	A	290.11	A	290.06	A
USGS	01470870	2005-08-19	290.06	A	290.07	A	290.05	A
USGS	01470870	2005-08-20	290.07	A	290.09	A	290.06	A
USGS	01470870	2005-08-21	290.09	A	290.10	A	290.08	A
USGS	01470870	2005-08-22	290.07	A	290.09	A	290.01	A
USGS	01470870	2005-08-23	289.95	A	290.01	A	289.89	A
USGS	01470870	2005-08-24	289.82	A	289.89	A	289.75	A
USGS	01470870	2005-08-25	289.68	A	289.75	A	289.61	A
USGS	01470870	2005-08-26	289.53	A	289.61	A	289.44	A
USGS	01470870	2005-08-27	289.33	A	289.44	A	289.23	A
USGS	01470870	2005-08-28	289.16	A	289.23	A	289.08	A
USGS	01470870	2005-08-29	289.02	A	289.08	A	288.98	A
USGS	01470870	2005-08-30	289.04	A	289.07	A	289.02	A
USGS	01470870	2005-08-31	289.09	A	289.12	A	289.05	A
USGS	01470870	2005-09-01	289.12	A	289.13	A	289.11	A
USGS	01470870	2005-09-02	289.14	A	289.16	A	289.13	A
USGS	01470870	2005-09-03	289.16	A	289.17	A	289.15	A
USGS	01470870	2005-09-04	289.17	A	289.18	A	289.15	A
USGS	01470870	2005-09-05	289.18	A	289.20	A	289.17	A
USGS	01470870	2005-09-06	289.16	A	289.20	A	289.10	A
USGS	01470870	2005-09-07	289.00	A	289.10	A	288.91	A
USGS	01470870	2005-09-08	288.83	A	288.91	A	288.74	A
USGS	01470870	2005-09-09	288.65	A	288.74	A	288.56	A
USGS	01470870	2005-09-10	288.46	A	288.56	A	288.37	A
USGS	01470870	2005-09-11	288.24	A	288.37	A	288.07	A
USGS	01470870	2005-09-12	287.91	A	288.07	A	287.80	A
USGS	01470870	2005-09-13	287.71	A	287.80	A	287.62	A
USGS	01470870	2005-09-14	287.54	A	287.62	A	287.47	A
USGS	01470870	2005-09-15	287.41	A	287.47	A	287.39	A
USGS	01470870	2005-09-16	287.42	A	287.43	A	287.40	A
USGS	01470870	2005-09-17	287.45	A	287.46	A	287.43	A
USGS	01470870	2005-09-18	287.47	A	287.48	A	287.46	A
USGS	01470870	2005-09-19	287.49	A	287.50	A	287.48	A
USGS	01470870	2005-09-20	287.47	A	287.51	A	287.39	A
USGS	01470870	2005-09-21	287.30	A	287.39	A	287.20	A
USGS	01470870	2005-09-22	287.09	A	287.20	A	286.94	A
USGS	01470870	2005-09-23	286.80	A	286.94	A	286.62	A
USGS	01470870	2005-09-24	286.44	A	286.62	A	286.25	A
USGS	01470870	2005-09-25	286.08	A	286.25	A	285.89	A
USGS	01470870	2005-09-26	285.78	A	285.89	A	285.71	A
USGS	01470870	2005-09-27	285.59	A	285.72	A	285.42	A
USGS	01470870	2005-09-28	285.23	A	285.42	A	285.04	A
USGS	01470870	2005-09-29	284.85	A	285.04	A	284.65	A
USGS	01470870	2005-09-30	284.46	A	284.65	A	284.31	A
USGS	01470870	2005-10-01	284.19	A	284.31	A	284.07	A
USGS	01470870	2005-10-02	283.94	A	284.07	A	283.83	A
USGS	01470870	2005-10-03	283.68	A	283.83	A	283.48	A
USGS	01470870	2005-10-04	283.27	A	283.48	A	283.06	A
USGS	01470870	2005-10-05	282.84	A	283.06	A	282.62	A
USGS	01470870	2005-10-06	282.41	A	282.62	A	282.20	A
USGS	01470870	2005-10-07	282.13	A	282.35	A	282.01	A
USGS	01470870	2005-10-08	283.24	A	284.30	A	282.35	A
USGS	01470870	2005-10-09	284.79	A	285.10	A	284.30	A
USGS	01470870	2005-10-10	285.30	A	285.47	A	285.10	A
USGS	01470870	2005-10-11	285.53	A	285.57	A	285.47	A
USGS	01470870	2005-10-12	285.40	A	285.48	A	285.31	A
USGS	01470870	2005-10-13	285.24	A	285.31	A	285.19	A
USGS	01470870	2005-10-14	285.14	A	285.19	A	285.09	A
USGS	01470870	2005-10-15	285.04	A	285.10	A	284.98	A
USGS	01470870	2005-10-16	284.89	A	284.98	A	284.80	A
USGS	01470870	2005-10-17	284.74	A	284.81	A	284.71	A
USGS	01470870	2005-10-18	284.76	A	284.81	A	284.73	A
USGS	01470870	2005-10-19	284.86	A	284.92	A	284.81	A
USGS	01470870	2005-10-20	284.95	A	284.99	A	284.91	A
