Reservoir Inflows and Outflows
"Scenario: GridMet, Reservoir: Lake Nockamixon"
Cubic Meter
"Sources and Destinations","Increase in Storage for Lake Nockamixon","Inflow from Upstream","Outflow to Downstream"
11/23/2003,0,584630,-584630
11/24/2003,0,777055,-777055
11/25/2003,0,568318,-568318
11/26/2003,0,484835,-484835
11/27/2003,0,370988,-370988
11/28/2003,0,1482853,-1482850
11/29/2003,0,679331,-679331
11/30/2003,0,575622,-575622
12/1/2003,0,502695,-502695
12/2/2003,0,436430,-436430
12/3/2003,0,392198,-392198
12/4/2003,0,359775,-359775
12/5/2003,0,470153,-470153
12/6/2003,0,340289,-340289
12/7/2003,0,300365,-300365
12/8/2003,0,274128,-274128
12/9/2003,0,254846,-254846
12/10/2003,0,395370,-395370
12/11/2003,0,2556903,-2556900
12/12/2003,0,868718,-868718
12/13/2003,0,1125753,-1125750
12/14/2003,0,2051293,-2051290
12/15/2003,0,871746,-871746
12/16/2003,0,739056,-739056
12/17/2003,0,2579553,-2579550
12/18/2003,0,985857,-985857
12/19/2003,0,748644,-748644
12/20/2003,0,616475,-616475
12/21/2003,0,462052,-462052
12/22/2003,0,451026,-451026
12/23/2003,0,423402,-423402
12/24/2003,0,2216893,-2216890
12/25/2003,0,659216,-659216
12/26/2003,0,731234,-731234
12/27/2003,0,767933,-767933
12/28/2003,0,763556,-763556
12/29/2003,0,757259,-757259
12/30/2003,0,830529,-830529
12/31/2003,0,717936,-717936
1/1/2004,0,639216,-639216
1/2/2004,0,573168,-573168
1/3/2004,0,468363,-468363
1/4/2004,0,897126,-897126
1/5/2004,0,844147,-844147
1/6/2004,0,562453,-562453
1/7/2004,0,483037,-483037
1/8/2004,0,425633,-425633
1/9/2004,0,380975,-380975
1/10/2004,0,346987,-346987
1/11/2004,0,321360,-321360
1/12/2004,0,288672,-288672
1/13/2004,0,260412,-260412
1/14/2004,0,240458,-240458
1/15/2004,0,225696,-225696
1/16/2004,0,214025,-214025
1/17/2004,0,204178,-204178
1/18/2004,0,287194,-287194
1/19/2004,0,193327,-193327
1/20/2004,0,186539,-186539
1/21/2004,0,180427,-180427
1/22/2004,0,174752,-174752
1/23/2004,0,169397,-169397
1/24/2004,0,164401,-164401
1/25/2004,0,159721,-159721
1/26/2004,0,154829,-154829
1/27/2004,0,150209,-150209
1/28/2004,0,145824,-145824
1/29/2004,0,141670,-141670
1/30/2004,0,137754,-137754
1/31/2004,0,134064,-134064
2/1/2004,0,130555,-130555
2/2/2004,0,127196,-127196
2/3/2004,0,348503,-348503
2/4/2004,0,277725,-277725
2/5/2004,0,495977,-495977
2/6/2004,0,2282496,-2282500
2/7/2004,0,667256,-667256
2/8/2004,0,705873,-705873
2/9/2004,0,685703,-685703
2/10/2004,0,1043578,-1043580
2/11/2004,0,1089383,-1089380
2/12/2004,0,1085708,-1085710
2/13/2004,0,1265634,-1265630
2/14/2004,0,942640,-942640
2/15/2004,0,620081,-620081
2/16/2004,0,446307,-446307
2/17/2004,0,361431,-361431
2/18/2004,0,333063,-333063
2/19/2004,0,388289,-388289
2/20/2004,0,301403,-301403
2/21/2004,0,242712,-242712
2/22/2004,0,209590,-209590
2/23/2004,0,191054,-191054
2/24/2004,0,341843,-341843
2/25/2004,0,193825,-193825
2/26/2004,0,186957,-186957
2/27/2004,0,174888,-174888
2/28/2004,0,163379,-163379
3/1/2004,0,153096,-153096
3/2/2004,0,146105,-146105
3/3/2004,0,139870,-139870
3/4/2004,0,228802,-228802
3/5/2004,0,165048,-165048
3/6/2004,0,413142,-413142
3/7/2004,0,232165,-232165
3/8/2004,0,272268,-272268
3/9/2004,0,228531,-228531
3/10/2004,0,222906,-222906
3/11/2004,0,209351,-209351
3/12/2004,0,195867,-195867
3/13/2004,0,185444,-185444
3/14/2004,0,169264,-169264
3/15/2004,0,154893,-154893
3/16/2004,0,491364,-491364
3/17/2004,0,304274,-304274
3/18/2004,0,410177,-410177
3/19/2004,0,679416,-679416
3/20/2004,0,504947,-504947
3/21/2004,0,429711,-429711
3/22/2004,0,374455,-374455
3/23/2004,0,333725,-333725
3/24/2004,0,287129,-287129
3/25/2004,0,312940,-312940
3/26/2004,0,221775,-221775
3/27/2004,0,277899,-277899
3/28/2004,0,173507,-173507
3/29/2004,0,153416,-153416
3/30/2004,0,448669,-448669
3/31/2004,0,341762,-341762
4/1/2004,0,317292,-317292
4/2/2004,0,375972,-375972
4/3/2004,0,247964,-247964
4/4/2004,0,366720,-366720
4/5/2004,0,255976,-255976
4/6/2004,0,241051,-241051
4/7/2004,0,213924,-213924
4/8/2004,0,350939,-350939
4/9/2004,0,221603,-221603
4/10/2004,0,189822,-189822
4/11/2004,0,175382,-175382
4/12/2004,0,1127756,-1127760
4/13/2004,0,1535252,-1535250
4/14/2004,0,1358227,-1358230
4/15/2004,0,782497,-782497
4/16/2004,0,602939,-602939
4/17/2004,0,468011,-468011
4/18/2004,0,367699,-367699
4/19/2004,0,297140,-297140
4/20/2004,0,230331,-230331
4/21/2004,0,202433,-202433
4/22/2004,0,192062,-192062
4/23/2004,0,217520,-217520
4/24/2004,0,155774,-155774
4/25/2004,0,392237,-392237
4/26/2004,0,1693388,-1693390
4/27/2004,0,577687,-577687
4/28/2004,0,532433,-532433
4/29/2004,0,493770,-493770
4/30/2004,0,420731,-420731
5/1/2004,0,343363,-343363
5/2/2004,0,431741,-431741
5/3/2004,0,843489,-843489
5/4/2004,0,423534,-423534
5/5/2004,0,431999,-431999
5/6/2004,0,289671,-289671
5/7/2004,0,360761,-360761
5/8/2004,0,248192,-248192
5/9/2004,0,277862,-277862
5/10/2004,0,214184,-214184
5/11/2004,0,183749,-183749
5/12/2004,0,180035,-180035
5/13/2004,0,153584,-153584
5/14/2004,0,144320,-144320
5/15/2004,0,425016,-425016
5/16/2004,0,181470,-181470
5/17/2004,0,163338,-163338
5/18/2004,0,217990,-217990
5/19/2004,0,283967,-283967
5/20/2004,0,173866,-173866
5/21/2004,0,163924,-163924
5/22/2004,0,152649,-152649
5/23/2004,0,135870,-135870
5/24/2004,0,143455,-143455
5/25/2004,0,123932,-123932
5/26/2004,0,498710,-498710
5/27/2004,0,348698,-348698
5/28/2004,0,209071,-209071
5/29/2004,0,181304,-181304
5/30/2004,0,169274,-169274
5/31/2004,0,549316,-549316
6/1/2004,0,321383,-321383
6/2/2004,0,387329,-387329
6/3/2004,0,268437,-268437
6/4/2004,0,197449,-197449
6/5/2004,0,530374,-530374
6/6/2004,0,266497,-266497
6/7/2004,0,232368,-232368
6/8/2004,0,177463,-177463
6/9/2004,0,147266,-147266
6/10/2004,0,282929,-282929
6/11/2004,0,238802,-238802
6/12/2004,0,156914,-156914
6/13/2004,0,134188,-134188
6/14/2004,0,160519,-160519
6/15/2004,0,443857,-443857
6/16/2004,0,192322,-192322
6/17/2004,0,459494,-459494
6/18/2004,0,208500,-208500
6/19/2004,0,170346,-170346
6/20/2004,0,147210,-147210
6/21/2004,0,131680,-131680
6/22/2004,0,285248,-285248
6/23/2004,0,144397,-144397
6/24/2004,0,123896,-123896
6/25/2004,0,328543,-328543
6/26/2004,0,137858,-137858
6/27/2004,0,122432,-122432
6/28/2004,0,303169,-303169
6/29/2004,0,144104,-144104
6/30/2004,0,125748,-125748
7/1/2004,0,112445,-112445
7/2/2004,0,103837,-103837
7/3/2004,0,92981.9,-92981.9
7/4/2004,0,86970.6,-86970.6
7/5/2004,0,116551,-116551
7/6/2004,0,82661.9,-82661.9
7/7/2004,0,166353,-166353
7/8/2004,0,90496.2,-90496.2
7/9/2004,0,80229,-80229
7/10/2004,0,77391.3,-77391.3
7/11/2004,0,75075.8,-75075.8
7/12/2004,0,6268550,-6268550
7/13/2004,0,812563,-812563
7/14/2004,0,2791096,-2791100
7/15/2004,0,1116854,-1116850
7/16/2004,0,801835,-801835
7/17/2004,0,518596,-518596
7/18/2004,0,1443799,-1443800
7/19/2004,0,818036,-818036
7/20/2004,0,392633,-392633
7/21/2004,0,256850,-256850
7/22/2004,0,196117,-196117
7/23/2004,0,682829,-682829
7/24/2004,0,304274,-304274
7/25/2004,0,245137,-245137
7/26/2004,0,200671,-200671
7/27/2004,0,4352214,-4352210
7/28/2004,0,2098572,-2098570
7/29/2004,0,1080940,-1080940
7/30/2004,0,814373,-814373
7/31/2004,0,637922,-637922
8/1/2004,0,1017313,-1017310
8/2/2004,0,598132,-598132
8/3/2004,0,425460,-425460
8/4/2004,0,438488,-438488
8/5/2004,0,281333,-281333
8/6/2004,0,235541,-235541
8/7/2004,0,212382,-212382
8/8/2004,0,196681,-196681
8/9/2004,0,183267,-183267
8/10/2004,0,173880,-173880
8/11/2004,0,234910,-234910
8/12/2004,0,553912,-553912
8/13/2004,0,600549,-600549
8/14/2004,0,296241,-296241
8/15/2004,0,258448,-258448
8/16/2004,0,242620,-242620
8/17/2004,0,223901,-223901
8/18/2004,0,205548,-205548
8/19/2004,0,187255,-187255
8/20/2004,0,291527,-291527
8/21/2004,0,539347,-539347
8/22/2004,0,236569,-236569
8/23/2004,0,206198,-206198
8/24/2004,0,183830,-183830
8/25/2004,0,166762,-166762
8/26/2004,0,154173,-154173
8/27/2004,0,144352,-144352
8/28/2004,0,181910,-181910
8/29/2004,0,133166,-133166
8/30/2004,0,1338686,-1338690
8/31/2004,0,330403,-330403
9/1/2004,0,310367,-310367
9/2/2004,0,286357,-286357
9/3/2004,0,256528,-256528
9/4/2004,0,227162,-227162
9/5/2004,0,198435,-198435
9/6/2004,0,177325,-177325
9/7/2004,0,146868,-146868
9/8/2004,0,1440930,-1440930
9/9/2004,0,701860,-701860
9/10/2004,0,419910,-419910
9/11/2004,0,357109,-357109
9/12/2004,0,304313,-304313
9/13/2004,0,261353,-261353
9/14/2004,0,226596,-226596
9/15/2004,0,298580,-298580
9/16/2004,0,209270,-209270
9/17/2004,0,460329,-460329
9/18/2004,0,8290491,-8290490
9/19/2004,0,1621998,-1622000
9/20/2004,0,1267085,-1267080
9/21/2004,0,904498,-904498
9/22/2004,0,652837,-652837
9/23/2004,0,485996,-485996
9/24/2004,0,384437,-384437
9/25/2004,0,312993,-312993
9/26/2004,0,242961,-242961
9/27/2004,0,218460,-218460
9/28/2004,0,6545422,-6545420
9/29/2004,0,1225148,-1225150
9/30/2004,0,1414836,-1414840
10/1/2004,0,1001466,-1001470
10/2/2004,0,780287,-780287
10/3/2004,0,615557,-615557
10/4/2004,0,503682,-503682
10/5/2004,0,426399,-426399
10/6/2004,0,324205,-324205
10/7/2004,0,276586,-276586
10/8/2004,0,248879,-248879
10/9/2004,0,231118,-231118
10/10/2004,0,218343,-218343
10/11/2004,0,208209,-208209
10/12/2004,0,199614,-199614
10/13/2004,0,199808,-199808
10/14/2004,0,339944,-339944
10/15/2004,0,562688,-562688
10/16/2004,0,342849,-342849
10/17/2004,0,270459,-270459
10/18/2004,0,501491,-501491
10/19/2004,0,799650,-799650
10/20/2004,0,536900,-536900
10/21/2004,0,739924,-739924
10/22/2004,0,526047,-526047
10/23/2004,0,416482,-416482
10/24/2004,0,342105,-342105
10/25/2004,0,292874,-292874
10/26/2004,0,253935,-253935
10/27/2004,0,222203,-222203
10/28/2004,0,201489,-201489
10/29/2004,0,213359,-213359
10/30/2004,0,351215,-351215
10/31/2004,0,204643,-204643
11/1/2004,0,193791,-193791
11/2/2004,0,184853,-184853
11/3/2004,0,177352,-177352
11/4/2004,0,794720,-794720
11/5/2004,0,333508,-333508
11/6/2004,0,338335,-338335
11/7/2004,0,311557,-311557
11/8/2004,0,285429,-285429
11/9/2004,0,263385,-263385
11/10/2004,0,245378,-245378
11/11/2004,0,229461,-229461
11/12/2004,0,1144848,-1144850
11/13/2004,0,495903,-495903
11/14/2004,0,434299,-434299
11/15/2004,0,387706,-387706
11/16/2004,0,346259,-346259
11/17/2004,0,310682,-310682
11/18/2004,0,280868,-280868
11/19/2004,0,263252,-263252
11/20/2004,0,384185,-384185
11/21/2004,0,246445,-246445
11/22/2004,0,242713,-242713
11/23/2004,0,204662,-204662
11/24/2004,0,496325,-496325
11/25/2004,0,322755,-322755
11/26/2004,0,271206,-271206
11/27/2004,0,479664,-479664
11/28/2004,0,4236088,-4236090
11/29/2004,0,1377068,-1377070
11/30/2004,0,1138988,-1138990
12/1/2004,0,2849328,-2849330
12/2/2004,0,1370398,-1370400
12/3/2004,0,910449,-910449
12/4/2004,0,671453,-671453
12/5/2004,0,523805,-523805
12/6/2004,0,427723,-427723
12/7/2004,0,910031,-910031
12/8/2004,0,531301,-531301
12/9/2004,0,1434308,-1434310
12/10/2004,0,1432178,-1432180
12/11/2004,0,931578,-931578
12/12/2004,0,768034,-768034
12/13/2004,0,703943,-703943
12/14/2004,0,592673,-592673
12/15/2004,0,492008,-492008
12/16/2004,0,427696,-427696
12/17/2004,0,363382,-363382
12/18/2004,0,316132,-316132
12/19/2004,0,291660,-291660
12/20/2004,0,265475,-265475
12/21/2004,0,249456,-249456
12/22/2004,0,236494,-236494
12/23/2004,0,1297608,-1297610
12/24/2004,0,434006,-434006
12/25/2004,0,464387,-464387
12/26/2004,0,473601,-473601
12/27/2004,0,464045,-464045
12/28/2004,0,442407,-442407
12/29/2004,0,413301,-413301
12/30/2004,0,381370,-381370
12/31/2004,0,316839,-316839
1/1/2005,0,274840,-274840
1/2/2005,0,264543,-264543
1/3/2005,0,469765,-469765
1/4/2005,0,287450,-287450
1/5/2005,0,1151147,-1151150
1/6/2005,0,862129,-862129
1/7/2005,0,429656,-429656
1/8/2005,0,1186934,-1186930
1/9/2005,0,510024,-510024
1/10/2005,0,478487,-478487
1/11/2005,0,680181,-680181
1/12/2005,0,519075,-519075
1/13/2005,0,686782,-686782
1/14/2005,0,3042149,-3042150
1/15/2005,0,1277985,-1277980
1/16/2005,0,917435,-917435
1/17/2005,0,704870,-704870
1/18/2005,0,576290,-576290
1/19/2005,0,481247,-481247
1/20/2005,0,419123,-419123
1/21/2005,0,368883,-368883
1/22/2005,0,308047,-308047
1/23/2005,0,274498,-274498
1/24/2005,0,252681,-252681
1/25/2005,0,236717,-236717
1/26/2005,0,248486,-248486
1/27/2005,0,216798,-216798
1/28/2005,0,207738,-207738
1/29/2005,0,199818,-199818
1/30/2005,0,192507,-192507
1/31/2005,0,185676,-185676
2/1/2005,0,179322,-179322
2/2/2005,0,173399,-173399
2/3/2005,0,201338,-201338
2/4/2005,0,372213,-372213
2/5/2005,0,668543,-668543
2/6/2005,0,682281,-682281
2/7/2005,0,355755,-355755
2/8/2005,0,270895,-270895
2/9/2005,0,283103,-283103
2/10/2005,0,450103,-450103
2/11/2005,0,301948,-301948
2/12/2005,0,270722,-270722
2/13/2005,0,238586,-238586
2/14/2005,0,1318853,-1318850
2/15/2005,0,711440,-711440
2/16/2005,0,713287,-713287
2/17/2005,0,409110,-409110
2/18/2005,0,362889,-362889
2/19/2005,0,326414,-326414
2/20/2005,0,336310,-336310
2/21/2005,0,398758,-398758
2/22/2005,0,403334,-403334
2/23/2005,0,331622,-331622
2/24/2005,0,290855,-290855
2/25/2005,0,253476,-253476
2/26/2005,0,281583,-281583
2/27/2005,0,238551,-238551
2/28/2005,0,339518,-339518
3/1/2005,0,384535,-384535
3/2/2005,0,398677,-398677
3/3/2005,0,238425,-238425
3/4/2005,0,222552,-222552
3/5/2005,0,308989,-308989
3/6/2005,0,372659,-372659
3/7/2005,0,447658,-447658
3/8/2005,0,538887,-538887
3/9/2005,0,265088,-265088
3/10/2005,0,242683,-242683
3/11/2005,0,296443,-296443
3/12/2005,0,300034,-300034
3/13/2005,0,220462,-220462
3/14/2005,0,197785,-197785
3/15/2005,0,179288,-179288
3/16/2005,0,162734,-162734
3/17/2005,0,150460,-150460
3/18/2005,0,140886,-140886
3/19/2005,0,132670,-132670
3/20/2005,0,308933,-308933
3/21/2005,0,132988,-132988
3/22/2005,0,127159,-127159
3/23/2005,0,1777084,-1777080
3/24/2005,0,280090,-280090
3/25/2005,0,285897,-285897
3/26/2005,0,285054,-285054
3/27/2005,0,689040,-689040
3/28/2005,0,3835936,-3835940
3/29/2005,0,1276732,-1276730
3/30/2005,0,927705,-927705
3/31/2005,0,603729,-603729
4/1/2005,0,562232,-562232
4/2/2005,0,6229548,-6229550
4/3/2005,0,2648284,-2648280
4/4/2005,0,1328421,-1328420
4/5/2005,0,756932,-756932
4/6/2005,0,542016,-542016
4/7/2005,0,1207090,-1207090
4/8/2005,0,764564,-764564
4/9/2005,0,581175,-581175
4/10/2005,0,414665,-414665
4/11/2005,0,343730,-343730
4/12/2005,0,306581,-306581
4/13/2005,0,282348,-282348
4/14/2005,0,263849,-263849
4/15/2005,0,243730,-243730
4/16/2005,0,229071,-229071
4/17/2005,0,217409,-217409
4/18/2005,0,207361,-207361
4/19/2005,0,198497,-198497
4/20/2005,0,190964,-190964
4/21/2005,0,183355,-183355
4/22/2005,0,214398,-214398
4/23/2005,0,1187252,-1187250
4/24/2005,0,311885,-311885
4/25/2005,0,328845,-328845
4/26/2005,0,429221,-429221
4/27/2005,0,556048,-556048
4/28/2005,0,437741,-437741
4/29/2005,0,387594,-387594
4/30/2005,0,679062,-679062
5/1/2005,0,399782,-399782
5/2/2005,0,398992,-398992
5/3/2005,0,288285,-288285
5/4/2005,0,245536,-245536
5/5/2005,0,215220,-215220
5/6/2005,0,194822,-194822
5/7/2005,0,180298,-180298
5/8/2005,0,166709,-166709
5/9/2005,0,156804,-156804
5/10/2005,0,148636,-148636
5/11/2005,0,142152,-142152
5/12/2005,0,136782,-136782
5/13/2005,0,132223,-132223
5/14/2005,0,149140,-149140
5/15/2005,0,141789,-141789
5/16/2005,0,132156,-132156
5/17/2005,0,119815,-119815
5/18/2005,0,116603,-116603
5/19/2005,0,113928,-113928
5/20/2005,0,449012,-449012
5/21/2005,0,145585,-145585
5/22/2005,0,175775,-175775
5/23/2005,0,147358,-147358
5/24/2005,0,164531,-164531
5/25/2005,0,217229,-217229
5/26/2005,0,200247,-200247
5/27/2005,0,164480,-164480
5/28/2005,0,255369,-255369
5/29/2005,0,171852,-171852
5/30/2005,0,155582,-155582
5/31/2005,0,129992,-129992
6/1/2005,0,120250,-120250
6/2/2005,0,110512,-110512
6/3/2005,0,485448,-485448
6/4/2005,0,190688,-190688
6/5/2005,0,156335,-156335
6/6/2005,0,848731,-848731
6/7/2005,0,283292,-283292
6/8/2005,0,243519,-243519
6/9/2005,0,264242,-264242
6/10/2005,0,322550,-322550
6/11/2005,0,223991,-223991
6/12/2005,0,161719,-161719
6/13/2005,0,135229,-135229
6/14/2005,0,112830,-112830
6/15/2005,0,101441,-101441
6/16/2005,0,121068,-121068
6/17/2005,0,94126.2,-94126.2
6/18/2005,0,89992.2,-89992.2
6/19/2005,0,87045.4,-87045.4
6/20/2005,0,84807,-84807
6/21/2005,0,82954.5,-82954.5
6/22/2005,0,98651.1,-98651.1
6/23/2005,0,80347,-80347
6/24/2005,0,78798.7,-78798.7
6/25/2005,0,77387.7,-77387.7
6/26/2005,0,76078.3,-76078.3
6/27/2005,0,186494,-186494
6/28/2005,0,83634.7,-83634.7
6/29/2005,0,855013,-855013
6/30/2005,0,139357,-139357
7/1/2005,0,449528,-449528
7/2/2005,0,239407,-239407
7/3/2005,0,205291,-205291
7/4/2005,0,183614,-183614
7/5/2005,0,325008,-325008
7/6/2005,0,374534,-374534
7/7/2005,0,260170,-260170
7/8/2005,0,2537646,-2537650
7/9/2005,0,775506,-775506
7/10/2005,0,523834,-523834
7/11/2005,0,369248,-369248
7/12/2005,0,270001,-270001
7/13/2005,0,345218,-345218
7/14/2005,0,228827,-228827
7/15/2005,0,216991,-216991
7/16/2005,0,301720,-301720
7/17/2005,0,684020,-684020
7/18/2005,0,399718,-399718
7/19/2005,0,243600,-243600
7/20/2005,0,193558,-193558
7/21/2005,0,161404,-161404
7/22/2005,0,140302,-140302
7/23/2005,0,125383,-125383
7/24/2005,0,119542,-119542
7/25/2005,0,338581,-338581
7/26/2005,0,135197,-135197
7/27/2005,0,269076,-269076
7/28/2005,0,130670,-130670
7/29/2005,0,119567,-119567
7/30/2005,0,111086,-111086
7/31/2005,0,104211,-104211
8/1/2005,0,98667.1,-98667.1
8/2/2005,0,92497.4,-92497.4
8/3/2005,0,88402.6,-88402.6
8/4/2005,0,85740.5,-85740.5
8/5/2005,0,84680.9,-84680.9
8/6/2005,0,81163.8,-81163.8
8/7/2005,0,80257,-80257
8/8/2005,0,203464,-203464
8/9/2005,0,98001.1,-98001.1
8/10/2005,0,80206.6,-80206.6
8/11/2005,0,85729.2,-85729.2
8/12/2005,0,78224.8,-78224.8
8/13/2005,0,75787.1,-75787.1
8/14/2005,0,634601,-634601
8/15/2005,0,146866,-146866
8/16/2005,0,179832,-179832
8/17/2005,0,150815,-150815
8/18/2005,0,125940,-125940
8/19/2005,0,186245,-186245
8/20/2005,0,123222,-123222
8/21/2005,0,111189,-111189
8/22/2005,0,92269.8,-92269.8
8/23/2005,0,82184.6,-82184.6
8/24/2005,0,76094.7,-76094.7
8/25/2005,0,72229.5,-72229.5
8/26/2005,0,69635.7,-69635.7
8/27/2005,0,80251.9,-80251.9
8/28/2005,0,260017,-260017
8/29/2005,0,99035.5,-99035.5
8/30/2005,0,93356,-93356
8/31/2005,0,123383,-123383
9/1/2005,0,81392.4,-81392.4
9/2/2005,0,78662.9,-78662.9
9/3/2005,0,75908.8,-75908.8
9/4/2005,0,72962.5,-72962.5
9/5/2005,0,68218.5,-68218.5
9/6/2005,0,64928.5,-64928.5
9/7/2005,0,62611.3,-62611.3
9/8/2005,0,60805.2,-60805.2
9/9/2005,0,59478.7,-59478.7
9/10/2005,0,58448.7,-58448.7
9/11/2005,0,57601.7,-57601.7
9/12/2005,0,56864.3,-56864.3
9/13/2005,0,56199,-56199
9/14/2005,0,115857,-115857
9/15/2005,0,89636.7,-89636.7
9/16/2005,0,131234,-131234
9/17/2005,0,75412,-75412
9/18/2005,0,61537.6,-61537.6
9/19/2005,0,61413.3,-61413.3
9/20/2005,0,60811.2,-60811.2
9/21/2005,0,59925.6,-59925.6
9/22/2005,0,57887.7,-57887.7
9/23/2005,0,55919.7,-55919.7
9/24/2005,0,54036.9,-54036.9
9/25/2005,0,52666.8,-52666.8
9/26/2005,0,115746,-115746
9/27/2005,0,54711.2,-54711.2
9/28/2005,0,53633.8,-53633.8
9/29/2005,0,87010.1,-87010.1
9/30/2005,0,54992.5,-54992.5
10/1/2005,0,54130.6,-54130.6
10/2/2005,0,53494.6,-53494.6
10/3/2005,0,52762.7,-52762.7
10/4/2005,0,55272.5,-55272.5
10/5/2005,0,50535.3,-50535.3
10/6/2005,0,49533,-49533
10/7/2005,0,1953014,-1953010
10/8/2005,0,20581604,-20581600
10/9/2005,0,2197654,-2197650
10/10/2005,0,1769314,-1769310
10/11/2005,0,2116994,-2116990
10/12/2005,0,1501504,-1501500
10/13/2005,0,1414284,-1414280
10/14/2005,0,1439504,-1439500
10/15/2005,0,760364,-760364
10/16/2005,0,406490,-406490
10/17/2005,0,296270,-296270
10/18/2005,0,260171,-260171
10/19/2005,0,224860,-224860
10/20/2005,0,206835,-206835
10/21/2005,0,253012,-253012
10/22/2005,0,1038335,-1038330
10/23/2005,0,352570,-352570
10/24/2005,0,891478,-891478
10/25/2005,0,1627405,-1627400
10/26/2005,0,872780,-872780
10/27/2005,0,762035,-762035
10/28/2005,0,639317,-639317
10/29/2005,0,525040,-525040
10/30/2005,0,402259,-402259
10/31/2005,0,330828,-330828
11/1/2005,0,284542,-284542
11/2/2005,0,241265,-241265
11/3/2005,0,217371,-217371
11/4/2005,0,201588,-201588
11/5/2005,0,189967,-189967
11/6/2005,0,261869,-261869
11/7/2005,0,184937,-184937
11/8/2005,0,177729,-177729
11/9/2005,0,302881,-302881
11/10/2005,0,187434,-187434
11/11/2005,0,184102,-184102
11/12/2005,0,180838,-180838
11/13/2005,0,177252,-177252
11/14/2005,0,170125,-170125
11/15/2005,0,189020,-189020
11/16/2005,0,1142585,-1142590
11/17/2005,0,398394,-398394
11/18/2005,0,403553,-403553
11/19/2005,0,392924,-392924
11/20/2005,0,370309,-370309
11/21/2005,0,1051705,-1051710
11/22/2005,0,940415,-940415
11/23/2005,0,666175,-666175
11/24/2005,0,543537,-543537
11/25/2005,0,410469,-410469
11/26/2005,0,343539,-343539
11/27/2005,0,308171,-308171
11/28/2005,0,304909,-304909
11/29/2005,0,1526735,-1526740
11/30/2005,0,629809,-629809
12/1/2005,0,540972,-540972
12/2/2005,0,472413,-472413
12/3/2005,0,419026,-419026
12/4/2005,0,421115,-421115
12/5/2005,0,355015,-355015
12/6/2005,0,324720,-324720
12/7/2005,0,270515,-270515
12/8/2005,0,238037,-238037
12/9/2005,0,216366,-216366
12/10/2005,0,200774,-200774
12/11/2005,0,188977,-188977
12/12/2005,0,179221,-179221
12/13/2005,0,171286,-171286
12/14/2005,0,164713,-164713
12/15/2005,0,158947,-158947
12/16/2005,0,609605,-609605
12/17/2005,0,171508,-171508
12/18/2005,0,169797,-169797
12/19/2005,0,167804,-167804
12/20/2005,0,165570,-165570
12/21/2005,0,163038,-163038
12/22/2005,0,160119,-160119
12/23/2005,0,156777,-156777
12/24/2005,0,149382,-149382
12/25/2005,0,965479,-965479
12/26/2005,0,278206,-278206
12/27/2005,0,430886,-430886
12/28/2005,0,568501,-568501
12/29/2005,0,1295875,-1295880
12/30/2005,0,849767,-849767
12/31/2005,0,1090495,-1090500
1/1/2006,0,1013501,-1013500
1/2/2006,0,2971417,-2971420
1/3/2006,0,2427178,-2427180
1/4/2006,0,1016786,-1016790
1/5/2006,0,860678,-860678
1/6/2006,0,733608,-733608
1/7/2006,0,560934,-560934
1/8/2006,0,564477,-564477
1/9/2006,0,583502,-583502
1/10/2006,0,507009,-507009
1/11/2006,0,1050485,-1050490
1/12/2006,0,499281,-499281
1/13/2006,0,437297,-437297
1/14/2006,0,1742528,-1742530
1/15/2006,0,589408,-589408
1/16/2006,0,506760,-506760
1/17/2006,0,446973,-446973
1/18/2006,0,2298442,-2298440
1/19/2006,0,887811,-887811
1/20/2006,0,703108,-703108
1/21/2006,0,572682,-572682
1/22/2006,0,528830,-528830
1/23/2006,0,1068096,-1068100
1/24/2006,0,758900,-758900
1/25/2006,0,659094,-659094
1/26/2006,0,503811,-503811
1/27/2006,0,421157,-421157
1/28/2006,0,385977,-385977
1/29/2006,0,579514,-579514
1/30/2006,0,398366,-398366
1/31/2006,0,445222,-445222
2/1/2006,0,329524,-329524
2/2/2006,0,308257,-308257
2/3/2006,0,1009471,-1009470
2/4/2006,0,1380210,-1380210
2/5/2006,0,640290,-640290
2/6/2006,0,563569,-563569
2/7/2006,0,496872,-496872
2/8/2006,0,435423,-435423
2/9/2006,0,388856,-388856
2/10/2006,0,351101,-351101
2/11/2006,0,383367,-383367
2/12/2006,0,301341,-301341
2/13/2006,0,266174,-266174
2/14/2006,0,263925,-263925
2/15/2006,0,370291,-370291
2/16/2006,0,740576,-740576
2/17/2006,0,688474,-688474
2/18/2006,0,435459,-435459
2/19/2006,0,415132,-415132
2/20/2006,0,388853,-388853
2/21/2006,0,360030,-360030
2/22/2006,0,330472,-330472
2/23/2006,0,295389,-295389
2/24/2006,0,257646,-257646
2/25/2006,0,227707,-227707
2/26/2006,0,207162,-207162
2/27/2006,0,192253,-192253
2/28/2006,0,184485,-184485
3/1/2006,0,174265,-174265
3/2/2006,0,258966,-258966
3/3/2006,0,165797,-165797
3/4/2006,0,206205,-206205
3/5/2006,0,255846,-255846
3/6/2006,0,213808,-213808
3/7/2006,0,175257,-175257
3/8/2006,0,159040,-159040
3/9/2006,0,151839,-151839
3/10/2006,0,145127,-145127
3/11/2006,0,139234,-139234
3/12/2006,0,514695,-514695
3/13/2006,0,188350,-188350
3/14/2006,0,169676,-169676
3/15/2006,0,145997,-145997
