Reservoir Inflows and Outflows
"Scenario: GridMet, Reservoir: Assenpink Lake"
Cubic Meter
"Sources and Destinations","Increase in Storage for Assenpink Lake","Inflow from Upstream","Outflow to Downstream"
8/23/2003,0,47305.6,-47305.6
8/24/2003,0,45958.7,-45958.7
8/25/2003,0,42707.5,-42707.5
8/26/2003,0,39706.1,-39706.1
8/27/2003,0,44021,-44021
8/28/2003,0,37233.4,-37233.4
8/29/2003,0,35417.3,-35417.3
8/30/2003,0,125569,-125569
8/31/2003,0,52884.1,-52884.1
9/1/2003,0,209328,-209328
9/2/2003,0,100521,-100521
9/3/2003,0,168029,-168029
9/4/2003,0,201928,-201928
9/5/2003,0,79302.7,-79302.7
9/6/2003,0,80735.7,-80735.7
9/7/2003,0,77254.9,-77254.9
9/8/2003,0,73612.9,-73612.9
9/9/2003,0,67400,-67400
9/10/2003,0,62180.4,-62180.4
9/11/2003,0,57254.9,-57254.9
9/12/2003,0,61048.7,-61048.7
9/13/2003,0,204610,-204610
9/14/2003,0,199508,-199508
9/15/2003,0,607251,-607251
9/16/2003,0,115971,-115971
9/17/2003,0,116300,-116300
9/18/2003,0,375819,-375819
9/19/2003,0,193852,-193852
9/20/2003,0,150126,-150126
9/21/2003,0,133472,-133472
9/22/2003,0,118343,-118343
9/23/2003,0,655269,-655269
9/24/2003,0,175912,-175912
9/25/2003,0,155406,-155406
9/26/2003,0,134132,-134132
9/27/2003,0,245251,-245251
9/28/2003,0,433798,-433798
9/29/2003,0,166769,-166769
9/30/2003,0,156927,-156927
10/1/2003,0,137423,-137423
10/2/2003,0,123819,-123819
10/3/2003,0,114053,-114053
10/4/2003,0,126609,-126609
10/5/2003,0,102184,-102184
10/6/2003,0,93425.5,-93425.5
10/7/2003,0,86724.2,-86724.2
10/8/2003,0,81270.8,-81270.8
10/9/2003,0,76629.8,-76629.8
10/10/2003,0,72663,-72663
10/11/2003,0,69767.2,-69767.2
10/12/2003,0,78649.6,-78649.6
10/13/2003,0,64496.2,-64496.2
10/14/2003,0,340439,-340439
10/15/2003,0,99203.2,-99203.2
10/16/2003,0,108625,-108625
10/17/2003,0,187416,-187416
10/18/2003,0,106372,-106372
10/19/2003,0,100307,-100307
10/20/2003,0,100641,-100641
10/21/2003,0,99776.6,-99776.6
10/22/2003,0,103758,-103758
10/23/2003,0,88282.2,-88282.2
10/24/2003,0,81887.8,-81887.8
10/25/2003,0,76286.5,-76286.5
10/26/2003,0,128833,-128833
10/27/2003,0,764841,-764841
10/28/2003,0,424580,-424580
10/29/2003,0,1135506,-1135510
10/30/2003,0,298372,-298372
10/31/2003,0,301464,-301464
11/1/2003,0,288514,-288514
11/2/2003,0,267227,-267227
11/3/2003,0,240754,-240754
11/4/2003,0,202227,-202227
11/5/2003,0,477702,-477702
11/6/2003,0,366118,-366118
11/7/2003,0,208208,-208208
11/8/2003,0,185696,-185696
11/9/2003,0,170764,-170764
11/10/2003,0,160119,-160119
11/11/2003,0,151735,-151735
11/12/2003,0,258517,-258517
11/13/2003,0,164499,-164499
11/14/2003,0,144396,-144396
11/15/2003,0,135937,-135937
11/16/2003,0,128767,-128767
11/17/2003,0,122328,-122328
11/18/2003,0,116419,-116419
11/19/2003,0,923016,-923016
11/20/2003,0,336261,-336261
11/21/2003,0,221577,-221577
11/22/2003,0,221571,-221571
11/23/2003,0,217441,-217441
11/24/2003,0,275584,-275584
11/25/2003,0,216706,-216706
11/26/2003,0,208340,-208340
11/27/2003,0,184179,-184179
11/28/2003,0,444620,-444620
11/29/2003,0,200230,-200230
11/30/2003,0,184824,-184824
12/1/2003,0,172720,-172720
12/2/2003,0,161948,-161948
12/3/2003,0,153443,-153443
12/4/2003,0,146427,-146427
12/5/2003,0,271001,-271001
12/6/2003,0,220989,-220989
12/7/2003,0,153728,-153728
12/8/2003,0,147960,-147960
12/9/2003,0,142743,-142743
12/10/2003,0,170852,-170852
12/11/2003,0,1196790,-1196790
12/12/2003,0,391579,-391579
12/13/2003,0,408269,-408269
12/14/2003,0,1701952,-1701950
12/15/2003,0,389923,-389923
12/16/2003,0,369824,-369824
12/17/2003,0,947090,-947090
12/18/2003,0,393035,-393035
12/19/2003,0,369090,-369090
12/20/2003,0,349354,-349354
12/21/2003,0,322536,-322536
12/22/2003,0,294287,-294287
12/23/2003,0,262907,-262907
12/24/2003,0,1112952,-1112950
12/25/2003,0,345625,-345625
12/26/2003,0,326649,-326649
12/27/2003,0,308360,-308360
12/28/2003,0,290079,-290079
12/29/2003,0,272542,-272542
12/30/2003,0,278893,-278893
12/31/2003,0,244646,-244646
1/1/2004,0,219792,-219792
1/2/2004,0,206275,-206275
1/3/2004,0,187285,-187285
1/4/2004,0,282273,-282273
1/5/2004,0,336124,-336124
1/6/2004,0,193532,-193532
1/7/2004,0,186738,-186738
1/8/2004,0,180773,-180773
1/9/2004,0,175204,-175204
1/10/2004,0,169967,-169967
1/11/2004,0,165097,-165097
1/12/2004,0,158167,-158167
1/13/2004,0,149518,-149518
1/14/2004,0,141906,-141906
1/15/2004,0,135295,-135295
1/16/2004,0,129421,-129421
1/17/2004,0,124029,-124029
1/18/2004,0,231947,-231947
1/19/2004,0,120893,-120893
1/20/2004,0,114516,-114516
1/21/2004,0,110816,-110816
1/22/2004,0,107319,-107319
1/23/2004,0,103979,-103979
1/24/2004,0,100829,-100829
1/25/2004,0,97850.2,-97850.2
1/26/2004,0,94623.8,-94623.8
1/27/2004,0,91515.9,-91515.9
1/28/2004,0,88542.2,-88542.2
1/29/2004,0,85722,-85722
1/30/2004,0,83054.9,-83054.9
1/31/2004,0,80512.7,-80512.7
2/1/2004,0,78076.9,-78076.9
2/2/2004,0,75733.9,-75733.9
2/3/2004,0,246598,-246598
2/4/2004,0,163130,-163130
2/5/2004,0,296587,-296587
2/6/2004,0,2175104,-2175100
2/7/2004,0,859237,-859237
2/8/2004,0,311870,-311870
2/9/2004,0,272930,-272930
2/10/2004,0,321157,-321157
2/11/2004,0,360606,-360606
2/12/2004,0,366186,-366186
2/13/2004,0,346820,-346820
2/14/2004,0,291312,-291312
2/15/2004,0,218836,-218836
2/16/2004,0,189670,-189670
2/17/2004,0,172661,-172661
2/18/2004,0,158457,-158457
2/19/2004,0,145850,-145850
2/20/2004,0,132494,-132494
2/21/2004,0,122089,-122089
2/22/2004,0,114092,-114092
2/23/2004,0,107607,-107607
2/24/2004,0,143782,-143782
2/25/2004,0,99042.7,-99042.7
2/26/2004,0,94787.8,-94787.8
2/27/2004,0,90887,-90887
2/28/2004,0,87299.7,-87299.7
3/1/2004,0,83933.8,-83933.8
3/2/2004,0,93077.8,-93077.8
3/3/2004,0,78041,-78041
3/4/2004,0,133176,-133176
3/5/2004,0,75507.4,-75507.4
3/6/2004,0,238885,-238885
3/7/2004,0,140935,-140935
3/8/2004,0,400520,-400520
3/9/2004,0,141606,-141606
3/10/2004,0,148034,-148034
3/11/2004,0,130386,-130386
3/12/2004,0,128278,-128278
3/13/2004,0,127339,-127339
3/14/2004,0,121405,-121405
3/15/2004,0,114492,-114492
3/16/2004,0,341042,-341042
3/17/2004,0,159324,-159324
3/18/2004,0,198491,-198491
3/19/2004,0,336967,-336967
3/20/2004,0,195359,-195359
3/21/2004,0,174405,-174405
3/22/2004,0,153270,-153270
3/23/2004,0,147380,-147380
3/24/2004,0,135840,-135840
3/25/2004,0,149142,-149142
3/26/2004,0,119080,-119080
3/27/2004,0,131691,-131691
3/28/2004,0,101353,-101353
3/29/2004,0,93927.3,-93927.3
3/30/2004,0,144910,-144910
3/31/2004,0,178728,-178728
4/1/2004,0,148480,-148480
4/2/2004,0,221235,-221235
4/3/2004,0,170817,-170817
4/4/2004,0,217367,-217367
4/5/2004,0,118568,-118568
4/6/2004,0,117678,-117678
4/7/2004,0,113996,-113996
4/8/2004,0,157107,-157107
4/9/2004,0,110054,-110054
4/10/2004,0,101937,-101937
4/11/2004,0,109412,-109412
4/12/2004,0,582646,-582646
4/13/2004,0,903284,-903284
4/14/2004,0,644121,-644121
4/15/2004,0,293614,-293614
4/16/2004,0,265247,-265247
4/17/2004,0,247066,-247066
4/18/2004,0,224764,-224764
4/19/2004,0,201972,-201972
4/20/2004,0,172543,-172543
4/21/2004,0,149832,-149832
4/22/2004,0,117971,-117971
4/23/2004,0,241529,-241529
4/24/2004,0,124126,-124126
4/25/2004,0,187082,-187082
4/26/2004,0,700191,-700191
4/27/2004,0,193673,-193673
4/28/2004,0,185417,-185417
4/29/2004,0,172033,-172033
4/30/2004,0,165183,-165183
5/1/2004,0,152340,-152340
5/2/2004,0,138319,-138319
5/3/2004,0,358446,-358446
5/4/2004,0,154790,-154790
5/5/2004,0,225190,-225190
5/6/2004,0,138871,-138871
5/7/2004,0,180353,-180353
5/8/2004,0,134839,-134839
5/9/2004,0,114570,-114570
5/10/2004,0,104752,-104752
5/11/2004,0,89726.6,-89726.6
5/12/2004,0,88482.1,-88482.1
5/13/2004,0,76344.4,-76344.4
5/14/2004,0,75296.4,-75296.4
5/15/2004,0,164724,-164724
5/16/2004,0,104456,-104456
5/17/2004,0,90310.9,-90310.9
5/18/2004,0,70431.2,-70431.2
5/19/2004,0,159485,-159485
5/20/2004,0,75640.4,-75640.4
5/21/2004,0,62413.1,-62413.1
5/22/2004,0,57321.5,-57321.5
5/23/2004,0,53143.5,-53143.5
5/24/2004,0,72365.3,-72365.3
5/25/2004,0,52786.8,-52786.8
5/26/2004,0,116619,-116619
5/27/2004,0,106746,-106746
5/28/2004,0,74820.3,-74820.3
5/29/2004,0,49483.3,-49483.3
5/30/2004,0,46437.9,-46437.9
5/31/2004,0,223154,-223154
6/1/2004,0,111306,-111306
6/2/2004,0,87866.4,-87866.4
6/3/2004,0,72853,-72853
6/4/2004,0,50706.9,-50706.9
6/5/2004,0,142757,-142757
6/6/2004,0,99829.1,-99829.1
6/7/2004,0,53305.1,-53305.1
6/8/2004,0,45391.1,-45391.1
6/9/2004,0,39180.3,-39180.3
6/10/2004,0,87681.1,-87681.1
6/11/2004,0,84343.5,-84343.5
6/12/2004,0,40598.8,-40598.8
6/13/2004,0,36496.5,-36496.5
6/14/2004,0,51998.4,-51998.4
6/15/2004,0,75274.2,-75274.2
6/16/2004,0,30492.2,-30492.2
6/17/2004,0,84057.7,-84057.7
6/18/2004,0,32604.8,-32604.8
6/19/2004,0,26271,-26271
6/20/2004,0,26367,-26367
6/21/2004,0,25049.2,-25049.2
6/22/2004,0,57182.1,-57182.1
6/23/2004,0,22497.9,-22497.9
6/24/2004,0,20008.8,-20008.8
6/25/2004,0,166834,-166834
6/26/2004,0,43252.4,-43252.4
6/27/2004,0,29608,-29608
6/28/2004,0,82836.8,-82836.8
6/29/2004,0,76194,-76194
6/30/2004,0,25242.4,-25242.4
7/1/2004,0,36870.9,-36870.9
7/2/2004,0,80491.3,-80491.3
7/3/2004,0,28923.6,-28923.6
7/4/2004,0,77800.1,-77800.1
7/5/2004,0,242685,-242685
7/6/2004,0,53740.7,-53740.7
7/7/2004,0,38801,-38801
7/8/2004,0,25980.3,-25980.3
7/9/2004,0,23437.9,-23437.9
7/10/2004,0,20761.5,-20761.5
7/11/2004,0,17926.6,-17926.6
7/12/2004,0,2542380,-2542380
7/13/2004,0,203577,-203577
7/14/2004,0,1048470,-1048470
7/15/2004,0,283984,-283984
7/16/2004,0,269215,-269215
7/17/2004,0,224707,-224707
7/18/2004,0,497254,-497254
7/19/2004,0,245768,-245768
7/20/2004,0,151054,-151054
7/21/2004,0,109867,-109867
7/22/2004,0,86341.1,-86341.1
7/23/2004,0,570671,-570671
7/24/2004,0,157574,-157574
7/25/2004,0,129904,-129904
7/26/2004,0,105563,-105563
7/27/2004,0,956911,-956911
7/28/2004,0,293005,-293005
7/29/2004,0,200981,-200981
7/30/2004,0,188381,-188381
7/31/2004,0,133307,-133307
8/1/2004,0,414428,-414428
8/2/2004,0,238934,-238934
8/3/2004,0,147835,-147835
8/4/2004,0,201219,-201219
8/5/2004,0,108798,-108798
8/6/2004,0,95522.3,-95522.3
8/7/2004,0,87191.5,-87191.5
8/8/2004,0,80060.2,-80060.2
8/9/2004,0,72313.9,-72313.9
8/10/2004,0,66766.7,-66766.7
8/11/2004,0,201335,-201335
8/12/2004,0,95683.4,-95683.4
8/13/2004,0,86978.8,-86978.8
8/14/2004,0,252013,-252013
8/15/2004,0,124173,-124173
8/16/2004,0,186811,-186811
8/17/2004,0,101320,-101320
8/18/2004,0,87078.1,-87078.1
8/19/2004,0,68350.5,-68350.5
8/20/2004,0,62313.7,-62313.7
8/21/2004,0,183412,-183412
8/22/2004,0,77285.6,-77285.6
8/23/2004,0,62069.6,-62069.6
8/24/2004,0,55219.5,-55219.5
8/25/2004,0,51280.5,-51280.5
8/26/2004,0,47908.2,-47908.2
8/27/2004,0,44394.5,-44394.5
8/28/2004,0,41301,-41301
8/29/2004,0,38776.5,-38776.5
8/30/2004,0,106471,-106471
8/31/2004,0,194950,-194950
9/1/2004,0,62354,-62354
9/2/2004,0,59772.1,-59772.1
9/3/2004,0,57980.1,-57980.1
9/4/2004,0,56106.9,-56106.9
9/5/2004,0,54228.5,-54228.5
9/6/2004,0,52472.7,-52472.7
9/7/2004,0,50331.4,-50331.4
9/8/2004,0,127419,-127419
9/9/2004,0,74119.8,-74119.8
9/10/2004,0,50090.7,-50090.7
9/11/2004,0,47980,-47980
9/12/2004,0,46175.7,-46175.7
9/13/2004,0,44534.6,-44534.6
9/14/2004,0,43008.6,-43008.6
9/15/2004,0,70307.5,-70307.5
9/16/2004,0,41827,-41827
9/17/2004,0,40109.8,-40109.8
9/18/2004,0,176032,-176032
9/19/2004,0,44973.4,-44973.4
9/20/2004,0,44364.8,-44364.8
9/21/2004,0,43627.6,-43627.6
9/22/2004,0,42699,-42699
9/23/2004,0,41219.3,-41219.3
9/24/2004,0,39812.9,-39812.9
9/25/2004,0,38537.2,-38537.2
9/26/2004,0,36494.4,-36494.4
9/27/2004,0,38050.7,-38050.7
9/28/2004,0,4174367,-4174370
9/29/2004,0,511437,-511437
9/30/2004,0,482235,-482235
10/1/2004,0,374506,-374506
10/2/2004,0,477949,-477949
10/3/2004,0,355155,-355155
10/4/2004,0,314446,-314446
10/5/2004,0,276054,-276054
10/6/2004,0,203814,-203814
10/7/2004,0,163083,-163083
10/8/2004,0,137790,-137790
10/9/2004,0,121627,-121627
10/10/2004,0,110525,-110525
10/11/2004,0,102743,-102743
10/12/2004,0,96906.6,-96906.6
10/13/2004,0,92190.1,-92190.1
10/14/2004,0,113375,-113375
10/15/2004,0,138557,-138557
10/16/2004,0,114501,-114501
10/17/2004,0,85748.5,-85748.5
10/18/2004,0,116592,-116592
10/19/2004,0,341013,-341013
10/20/2004,0,129831,-129831
10/21/2004,0,233341,-233341
10/22/2004,0,138001,-138001
10/23/2004,0,128150,-128150
10/24/2004,0,125609,-125609
10/25/2004,0,122422,-122422
10/26/2004,0,117632,-117632
10/27/2004,0,108382,-108382
10/28/2004,0,100545,-100545
10/29/2004,0,92983.4,-92983.4
10/30/2004,0,147147,-147147
10/31/2004,0,89018.7,-89018.7
11/1/2004,0,84003.1,-84003.1
11/2/2004,0,79825.4,-79825.4
11/3/2004,0,76254.1,-76254.1
11/4/2004,0,611189,-611189
11/5/2004,0,125738,-125738
11/6/2004,0,131860,-131860
11/7/2004,0,132597,-132597
11/8/2004,0,131722,-131722
11/9/2004,0,130196,-130196
11/10/2004,0,128346,-128346
11/11/2004,0,125633,-125633
11/12/2004,0,772387,-772387
11/13/2004,0,331965,-331965
11/14/2004,0,214607,-214607
11/15/2004,0,203529,-203529
11/16/2004,0,192310,-192310
11/17/2004,0,181376,-181376
11/18/2004,0,170932,-170932
11/19/2004,0,160942,-160942
11/20/2004,0,205290,-205290
11/21/2004,0,139924,-139924
11/22/2004,0,132796,-132796
11/23/2004,0,128024,-128024
11/24/2004,0,178163,-178163
11/25/2004,0,152105,-152105
11/26/2004,0,114590,-114590
11/27/2004,0,148487,-148487
11/28/2004,0,892530,-892530
11/29/2004,0,204090,-204090
11/30/2004,0,226258,-226258
12/1/2004,0,956142,-956142
12/2/2004,0,327034,-327034
12/3/2004,0,315136,-315136
12/4/2004,0,298609,-298609
12/5/2004,0,277992,-277992
12/6/2004,0,277321,-277321
12/7/2004,0,617439,-617439
12/8/2004,0,336090,-336090
12/9/2004,0,616288,-616288
12/10/2004,0,503730,-503730
12/11/2004,0,336632,-336632
12/12/2004,0,288036,-288036
12/13/2004,0,292240,-292240
12/14/2004,0,257546,-257546
12/15/2004,0,236127,-236127
12/16/2004,0,219222,-219222
12/17/2004,0,201294,-201294
12/18/2004,0,185312,-185312
12/19/2004,0,193178,-193178
12/20/2004,0,165328,-165328
12/21/2004,0,156468,-156468
12/22/2004,0,148726,-148726
12/23/2004,0,433004,-433004
12/24/2004,0,171405,-171405
12/25/2004,0,168983,-168983
12/26/2004,0,170092,-170092
12/27/2004,0,163537,-163537
12/28/2004,0,160309,-160309
12/29/2004,0,156738,-156738
12/30/2004,0,152646,-152646
12/31/2004,0,152339,-152339
1/1/2005,0,142185,-142185
1/2/2005,0,131515,-131515
1/3/2005,0,210084,-210084
1/4/2005,0,166374,-166374
1/5/2005,0,543793,-543793
1/6/2005,0,319645,-319645
1/7/2005,0,176266,-176266
1/8/2005,0,536090,-536090
1/9/2005,0,166118,-166118
1/10/2005,0,163044,-163044
1/11/2005,0,306886,-306886
1/12/2005,0,183972,-183972
1/13/2005,0,212742,-212742
1/14/2005,0,835941,-835941
1/15/2005,0,272764,-272764
1/16/2005,0,256564,-256564
1/17/2005,0,241607,-241607
1/18/2005,0,228399,-228399
1/19/2005,0,212944,-212944
1/20/2005,0,200090,-200090
1/21/2005,0,188623,-188623
1/22/2005,0,171139,-171139
1/23/2005,0,157939,-157939
1/24/2005,0,147557,-147557
1/25/2005,0,139020,-139020
1/26/2005,0,176535,-176535
1/27/2005,0,127681,-127681
1/28/2005,0,122206,-122206
1/29/2005,0,117358,-117358
1/30/2005,0,112862,-112862
1/31/2005,0,125049,-125049
2/1/2005,0,105915,-105915
2/2/2005,0,102237,-102237
2/3/2005,0,180932,-180932
2/4/2005,0,331560,-331560
2/5/2005,0,453942,-453942
2/6/2005,0,283187,-283187
2/7/2005,0,124837,-124837
2/8/2005,0,124868,-124868
2/9/2005,0,131133,-131133
2/10/2005,0,182805,-182805
2/11/2005,0,124500,-124500
2/12/2005,0,118945,-118945
2/13/2005,0,112031,-112031
2/14/2005,0,798926,-798926
2/15/2005,0,233151,-233151
2/16/2005,0,261784,-261784
2/17/2005,0,145694,-145694
2/18/2005,0,141153,-141153
2/19/2005,0,137047,-137047
2/20/2005,0,150073,-150073
2/21/2005,0,214624,-214624
2/22/2005,0,165875,-165875
2/23/2005,0,137492,-137492
2/24/2005,0,153153,-153153
2/25/2005,0,123809,-123809
2/26/2005,0,151213,-151213
2/27/2005,0,129108,-129108
2/28/2005,0,196484,-196484
3/1/2005,0,200421,-200421
3/2/2005,0,171783,-171783
3/3/2005,0,128232,-128232
3/4/2005,0,120863,-120863
3/5/2005,0,130058,-130058
3/6/2005,0,128441,-128441
3/7/2005,0,118577,-118577
3/8/2005,0,281882,-281882
3/9/2005,0,105092,-105092
3/10/2005,0,100511,-100511
3/11/2005,0,188436,-188436
3/12/2005,0,151244,-151244
3/13/2005,0,95139,-95139
3/14/2005,0,91485.6,-91485.6
3/15/2005,0,88045.3,-88045.3
3/16/2005,0,83939.1,-83939.1
3/17/2005,0,80216.3,-80216.3
3/18/2005,0,76799.2,-76799.2
3/19/2005,0,73387.8,-73387.8
3/20/2005,0,192017,-192017
3/21/2005,0,74931,-74931
3/22/2005,0,72327.6,-72327.6
3/23/2005,0,849988,-849988
3/24/2005,0,101602,-101602
3/25/2005,0,104177,-104177
3/26/2005,0,105298,-105298
3/27/2005,0,189170,-189170
3/28/2005,0,1363686,-1363690
3/29/2005,0,279820,-279820
3/30/2005,0,278448,-278448
3/31/2005,0,246685,-246685
4/1/2005,0,254591,-254591
4/2/2005,0,1619199,-1619200
4/3/2005,0,471224,-471224
4/4/2005,0,389751,-389751
4/5/2005,0,310215,-310215
4/6/2005,0,259213,-259213
4/7/2005,0,422677,-422677
4/8/2005,0,500999,-500999
4/9/2005,0,271492,-271492
4/10/2005,0,228818,-228818
4/11/2005,0,201502,-201502
4/12/2005,0,182905,-182905
4/13/2005,0,169236,-169236
4/14/2005,0,153184,-153184
4/15/2005,0,139662,-139662
4/16/2005,0,129543,-129543
4/17/2005,0,120628,-120628
4/18/2005,0,112732,-112732
4/19/2005,0,105993,-105993
4/20/2005,0,99347.9,-99347.9
4/21/2005,0,95912.3,-95912.3
4/22/2005,0,98046.5,-98046.5
4/23/2005,0,118632,-118632
4/24/2005,0,100800,-100800
4/25/2005,0,83450.4,-83450.4
4/26/2005,0,81988.2,-81988.2
4/27/2005,0,124608,-124608
4/28/2005,0,84878.6,-84878.6
4/29/2005,0,72525.2,-72525.2
4/30/2005,0,331339,-331339
5/1/2005,0,243273,-243273
5/2/2005,0,145784,-145784
5/3/2005,0,110432,-110432
5/4/2005,0,111453,-111453
5/5/2005,0,109257,-109257
5/6/2005,0,132394,-132394
5/7/2005,0,98265.7,-98265.7
5/8/2005,0,86410,-86410
5/9/2005,0,77448.4,-77448.4
5/10/2005,0,70419.2,-70419.2
5/11/2005,0,64729.3,-64729.3
5/12/2005,0,60785.3,-60785.3
5/13/2005,0,58261,-58261
5/14/2005,0,61024.8,-61024.8
5/15/2005,0,55969.7,-55969.7
5/16/2005,0,48400.6,-48400.6
5/17/2005,0,46814.7,-46814.7
5/18/2005,0,44859.3,-44859.3
5/19/2005,0,45746.2,-45746.2
5/20/2005,0,424601,-424601
5/21/2005,0,85953.3,-85953.3
5/22/2005,0,90405.7,-90405.7
5/23/2005,0,76839.2,-76839.2
5/24/2005,0,91778.3,-91778.3
5/25/2005,0,253036,-253036
5/26/2005,0,131654,-131654
5/27/2005,0,102286,-102286
5/28/2005,0,147862,-147862
5/29/2005,0,76238.6,-76238.6
5/30/2005,0,66314.8,-66314.8
5/31/2005,0,59178.6,-59178.6
6/1/2005,0,53215.8,-53215.8
6/2/2005,0,47925.3,-47925.3
6/3/2005,0,241904,-241904
6/4/2005,0,91271.8,-91271.8
6/5/2005,0,65153.2,-65153.2
6/6/2005,0,311020,-311020
6/7/2005,0,83533.9,-83533.9
6/8/2005,0,63424.1,-63424.1
6/9/2005,0,51952.2,-51952.2
6/10/2005,0,74142.2,-74142.2
6/11/2005,0,43676,-43676
6/12/2005,0,37998.1,-37998.1
6/13/2005,0,37164,-37164
6/14/2005,0,29715.4,-29715.4
6/15/2005,0,27981.3,-27981.3
6/16/2005,0,46440.9,-46440.9
6/17/2005,0,28958.2,-28958.2
6/18/2005,0,27227.6,-27227.6
6/19/2005,0,25620.2,-25620.2
6/20/2005,0,24053.1,-24053.1
6/21/2005,0,22128.4,-22128.4
6/22/2005,0,38559.4,-38559.4
6/23/2005,0,21911.1,-21911.1
6/24/2005,0,19795,-19795
6/25/2005,0,17664.3,-17664.3
6/26/2005,0,16100.2,-16100.2
6/27/2005,0,415493,-415493
6/28/2005,0,56396.5,-56396.5
6/29/2005,0,200155,-200155
6/30/2005,0,227223,-227223
7/1/2005,0,565995,-565995
7/2/2005,0,301282,-301282
7/3/2005,0,142089,-142089
7/4/2005,0,132334,-132334
7/5/2005,0,140348,-140348
7/6/2005,0,140764,-140764
7/7/2005,0,118937,-118937
7/8/2005,0,998573,-998573
7/9/2005,0,231765,-231765
7/10/2005,0,163855,-163855
7/11/2005,0,136108,-136108
7/12/2005,0,96950.1,-96950.1
7/13/2005,0,165286,-165286
7/14/2005,0,80197.8,-80197.8
7/15/2005,0,78716.2,-78716.2
7/16/2005,0,134988,-134988
7/17/2005,0,269691,-269691
7/18/2005,0,164309,-164309
7/19/2005,0,87669.4,-87669.4
7/20/2005,0,59776.5,-59776.5
7/21/2005,0,52118.1,-52118.1
7/22/2005,0,46256.4,-46256.4
7/23/2005,0,43390.1,-43390.1
7/24/2005,0,40693.5,-40693.5
7/25/2005,0,60884.8,-60884.8
7/26/2005,0,34796.7,-34796.7
7/27/2005,0,87384.7,-87384.7
7/28/2005,0,35607.4,-35607.4
7/29/2005,0,31199.9,-31199.9
7/30/2005,0,29231.1,-29231.1
7/31/2005,0,28539.1,-28539.1
8/1/2005,0,27364.5,-27364.5
8/2/2005,0,25166.1,-25166.1
8/3/2005,0,23389.5,-23389.5
8/4/2005,0,22664.3,-22664.3
8/5/2005,0,23093.2,-23093.2
8/6/2005,0,26225.7,-26225.7
8/7/2005,0,51585.8,-51585.8
8/8/2005,0,163335,-163335
8/9/2005,0,126123,-126123
8/10/2005,0,44099.1,-44099.1
8/11/2005,0,30687.6,-30687.6
8/12/2005,0,23868.1,-23868.1
8/13/2005,0,25930.8,-25930.8
8/14/2005,0,127660,-127660
8/15/2005,0,71010.1,-71010.1
8/16/2005,0,56097.8,-56097.8
8/17/2005,0,26479.3,-26479.3
8/18/2005,0,23804,-23804
8/19/2005,0,48181.4,-48181.4
8/20/2005,0,21431.5,-21431.5
8/21/2005,0,17977.7,-17977.7
8/22/2005,0,17118.5,-17118.5
8/23/2005,0,17021.9,-17021.9
8/24/2005,0,16263.8,-16263.8
8/25/2005,0,15664.8,-15664.8
8/26/2005,0,14143.6,-14143.6
8/27/2005,0,20555.8,-20555.8
8/28/2005,0,20691.1,-20691.1
8/29/2005,0,13341.3,-13341.3
8/30/2005,0,39447.9,-39447.9
8/31/2005,0,20092.4,-20092.4
9/1/2005,0,29077.5,-29077.5
9/2/2005,0,28292.5,-28292.5
9/3/2005,0,27557.6,-27557.6
9/4/2005,0,26862.3,-26862.3
9/5/2005,0,26203.8,-26203.8
9/6/2005,0,25586.4,-25586.4
9/7/2005,0,24991.6,-24991.6
9/8/2005,0,24432.7,-24432.7
9/9/2005,0,23911.2,-23911.2
9/10/2005,0,23419.7,-23419.7
9/11/2005,0,22952.6,-22952.6
9/12/2005,0,22505.8,-22505.8
9/13/2005,0,22076.6,-22076.6
9/14/2005,0,90684.2,-90684.2
9/15/2005,0,117403,-117403
9/16/2005,0,29771.1,-29771.1
9/17/2005,0,25300.1,-25300.1
9/18/2005,0,24529.1,-24529.1
9/19/2005,0,24686.1,-24686.1
9/20/2005,0,24672.2,-24672.2
9/21/2005,0,24478.7,-24478.7
9/22/2005,0,23358.6,-23358.6
9/23/2005,0,22035.5,-22035.5
9/24/2005,0,20906.8,-20906.8
9/25/2005,0,20086.1,-20086.1
9/26/2005,0,36831.2,-36831.2
9/27/2005,0,19506.1,-19506.1
9/28/2005,0,18953.9,-18953.9
9/29/2005,0,27175.2,-27175.2
9/30/2005,0,18339,-18339
10/1/2005,0,17956.3,-17956.3
10/2/2005,0,17593,-17593
10/3/2005,0,17244.7,-17244.7
10/4/2005,0,16868,-16868
10/5/2005,0,16522.3,-16522.3
10/6/2005,0,18162.7,-18162.7
10/7/2005,0,82573.8,-82573.8
10/8/2005,0,3301877,-3301880
10/9/2005,0,166692,-166692
10/10/2005,0,255951,-255951
10/11/2005,0,1335297,-1335300
10/12/2005,0,2522519,-2522520
10/13/2005,0,3376072,-3376070
10/14/2005,0,1433756,-1433760
10/15/2005,0,767191,-767191
10/16/2005,0,491489,-491489
10/17/2005,0,366848,-366848
10/18/2005,0,299213,-299213
10/19/2005,0,253371,-253371
10/20/2005,0,221695,-221695
10/21/2005,0,243887,-243887
10/22/2005,0,497401,-497401
10/23/2005,0,211103,-211103
10/24/2005,0,773040,-773040
10/25/2005,0,698643,-698643
10/26/2005,0,359211,-359211
10/27/2005,0,330371,-330371
10/28/2005,0,325371,-325371
10/29/2005,0,311301,-311301
10/30/2005,0,284314,-284314
10/31/2005,0,261327,-261327
11/1/2005,0,233492,-233492
