Reservoir Inflows and Outflows
"Scenario: GridMet, Reservoir: Lake Wallenpoupack"
Cubic Meter
"Sources and Destinations","Increase in Storage for Lake Wallenpoupack","Inflow from Upstream","Outflow to Downstream"
11/27/2003,0,1128874,-1128870
11/28/2003,0,5883004,-5883000
11/29/2003,0,2226294,-2226290
11/30/2003,0,1711714,-1711710
12/1/2003,0,1476074,-1476070
12/2/2003,0,1264084,-1264080
12/3/2003,0,1111494,-1111490
12/4/2003,0,1000684,-1000680
12/5/2003,0,906923,-906923
12/6/2003,0,745048,-745048
12/7/2003,0,637456,-637456
12/8/2003,0,563182,-563182
12/9/2003,0,508853,-508853
12/10/2003,0,726012,-726012
12/11/2003,0,11157604,-11157600
12/12/2003,0,1300704,-1300700
12/13/2003,0,1359484,-1359480
12/14/2003,0,1367494,-1367490
12/15/2003,0,1330094,-1330090
12/16/2003,0,1260614,-1260610
12/17/2003,0,2483044,-2483040
12/18/2003,0,1294484,-1294480
12/19/2003,0,1016104,-1016100
12/20/2003,0,832207,-832207
12/21/2003,0,705582,-705582
12/22/2003,0,615022,-615022
12/23/2003,0,546708,-546708
12/24/2003,0,5603384,-5603380
12/25/2003,0,921107,-921107
12/26/2003,0,876644,-876644
12/27/2003,0,835499,-835499
12/28/2003,0,794246,-794246
12/29/2003,0,751353,-751353
12/30/2003,0,1456244,-1456240
12/31/2003,0,764972,-764972
1/1/2004,0,661473,-661473
1/2/2004,0,743691,-743691
1/3/2004,0,1741816,-1741820
1/4/2004,0,5658313,-5658310
1/5/2004,0,3224750,-3224750
1/6/2004,0,1250897,-1250900
1/7/2004,0,1183884,-1183880
1/8/2004,0,1121112,-1121110
1/9/2004,0,1054179,-1054180
1/10/2004,0,984777,-984777
1/11/2004,0,896509,-896509
1/12/2004,0,761199,-761199
1/13/2004,0,645061,-645061
1/14/2004,0,562154,-562154
1/15/2004,0,502484,-502484
1/16/2004,0,457639,-457639
1/17/2004,0,422306,-422306
1/18/2004,0,393327,-393327
1/19/2004,0,369423,-369423
1/20/2004,0,349823,-349823
1/21/2004,0,333410,-333410
1/22/2004,0,318930,-318930
1/23/2004,0,305914,-305914
1/24/2004,0,294377,-294377
1/25/2004,0,284057,-284057
1/26/2004,0,274591,-274591
1/27/2004,0,265711,-265711
1/28/2004,0,257289,-257289
1/29/2004,0,249380,-249380
1/30/2004,0,242096,-242096
1/31/2004,0,235247,-235247
2/1/2004,0,228626,-228626
2/2/2004,0,222217,-222217
2/3/2004,0,215953,-215953
2/4/2004,0,209858,-209858
2/5/2004,0,204114,-204114
2/6/2004,0,677629,-677629
2/7/2004,0,394225,-394225
2/8/2004,0,212146,-212146
2/9/2004,0,209402,-209402
2/10/2004,0,565357,-565357
2/11/2004,0,499286,-499286
2/12/2004,0,230634,-230634
2/13/2004,0,231049,-231049
2/14/2004,0,226984,-226984
2/15/2004,0,221309,-221309
2/16/2004,0,216345,-216345
2/17/2004,0,211586,-211586
2/18/2004,0,204880,-204880
2/19/2004,0,196428,-196428
2/20/2004,0,677405,-677405
2/21/2004,0,1989194,-1989190
2/22/2004,0,3708358,-3708360
2/23/2004,0,1082121,-1082120
2/24/2004,0,633419,-633419
2/25/2004,0,671473,-671473
2/26/2004,0,690432,-690432
2/27/2004,0,1236147,-1236150
2/28/2004,0,2636320,-2636320
3/1/2004,0,5516464,-5516460
3/2/2004,0,7967856,-7967860
3/3/2004,0,9908169,-9908170
3/4/2004,0,9033311,-9033310
3/5/2004,0,3287293,-3287290
3/6/2004,0,3227856,-3227860
3/7/2004,0,2500368,-2500370
3/8/2004,0,2285000,-2285000
3/9/2004,0,1457182,-1457180
3/10/2004,0,1106534,-1106530
3/11/2004,0,907851,-907851
3/12/2004,0,701407,-701407
3/13/2004,0,520634,-520634
3/14/2004,0,449813,-449813
3/15/2004,0,461668,-461668
3/16/2004,0,643364,-643364
3/17/2004,0,409022,-409022
3/18/2004,0,384027,-384027
3/19/2004,0,440759,-440759
3/20/2004,0,594320,-594320
3/21/2004,0,647989,-647989
3/22/2004,0,371290,-371290
3/23/2004,0,358037,-358037
3/24/2004,0,2227505,-2227500
3/25/2004,0,2103847,-2103850
3/26/2004,0,551055,-551055
3/27/2004,0,1211772,-1211770
3/28/2004,0,529413,-529413
3/29/2004,0,487431,-487431
3/30/2004,0,456550,-456550
3/31/2004,0,936380,-936380
4/1/2004,0,1923983,-1923980
4/2/2004,0,746520,-746520
4/3/2004,0,666255,-666255
4/4/2004,0,512336,-512336
4/5/2004,0,394820,-394820
4/6/2004,0,368211,-368211
4/7/2004,0,342394,-342394
4/8/2004,0,324212,-324212
4/9/2004,0,278148,-278148
4/10/2004,0,251159,-251159
4/11/2004,0,229490,-229490
4/12/2004,0,2150367,-2150370
4/13/2004,0,3305579,-3305580
4/14/2004,0,1281761,-1281760
4/15/2004,0,930723,-930723
4/16/2004,0,920272,-920272
4/17/2004,0,859586,-859586
4/18/2004,0,762536,-762536
4/19/2004,0,654278,-654278
4/20/2004,0,502903,-502903
4/21/2004,0,422574,-422574
4/22/2004,0,628434,-628434
4/23/2004,0,1087811,-1087810
4/24/2004,0,432814,-432814
4/25/2004,0,1215015,-1215020
4/26/2004,0,3739388,-3739390
4/27/2004,0,1368560,-1368560
4/28/2004,0,1045122,-1045120
4/29/2004,0,979716,-979716
4/30/2004,0,843346,-843346
5/1/2004,0,672949,-672949
5/2/2004,0,3264961,-3264960
5/3/2004,0,1801583,-1801580
5/4/2004,0,1016535,-1016540
5/5/2004,0,1382857,-1382860
5/6/2004,0,849532,-849532
5/7/2004,0,1698062,-1698060
5/8/2004,0,1220104,-1220100
5/9/2004,0,1456626,-1456630
5/10/2004,0,2109078,-2109080
5/11/2004,0,935878,-935878
5/12/2004,0,2270903,-2270900
5/13/2004,0,899658,-899658
5/14/2004,0,718693,-718693
5/15/2004,0,1042919,-1042920
5/16/2004,0,558055,-558055
5/17/2004,0,446372,-446372
5/18/2004,0,377422,-377422
5/19/2004,0,404576,-404576
5/20/2004,0,340274,-340274
5/21/2004,0,329337,-329337
5/22/2004,0,254600,-254600
5/23/2004,0,248960,-248960
5/24/2004,0,365954,-365954
5/25/2004,0,235259,-235259
5/26/2004,0,2089224,-2089220
5/27/2004,0,406309,-406309
5/28/2004,0,802639,-802639
5/29/2004,0,413947,-413947
5/30/2004,0,400810,-400810
5/31/2004,0,1386325,-1386320
6/1/2004,0,2002315,-2002320
6/2/2004,0,2063792,-2063790
6/3/2004,0,885808,-885808
6/4/2004,0,700492,-700492
6/5/2004,0,2472963,-2472960
6/6/2004,0,1356740,-1356740
6/7/2004,0,850992,-850992
6/8/2004,0,644896,-644896
6/9/2004,0,981142,-981142
6/10/2004,0,628402,-628402
6/11/2004,0,407438,-407438
6/12/2004,0,331114,-331114
6/13/2004,0,267880,-267880
6/14/2004,0,326302,-326302
6/15/2004,0,450530,-450530
6/16/2004,0,219137,-219137
6/17/2004,0,905449,-905449
6/18/2004,0,668833,-668833
6/19/2004,0,267251,-267251
6/20/2004,0,243053,-243053
6/21/2004,0,224277,-224277
6/22/2004,0,830972,-830972
6/23/2004,0,273601,-273601
6/24/2004,0,244674,-244674
6/25/2004,0,409311,-409311
6/26/2004,0,502384,-502384
6/27/2004,0,221788,-221788
6/28/2004,0,410419,-410419
6/29/2004,0,230360,-230360
6/30/2004,0,278534,-278534
7/1/2004,0,198382,-198382
7/2/2004,0,170934,-170934
7/3/2004,0,149998,-149998
7/4/2004,0,142682,-142682
7/5/2004,0,156919,-156919
7/6/2004,0,125959,-125959
7/7/2004,0,165227,-165227
7/8/2004,0,125404,-125404
7/9/2004,0,116713,-116713
7/10/2004,0,112813,-112813
7/11/2004,0,110363,-110363
7/12/2004,0,1069649,-1069650
7/13/2004,0,160004,-160004
7/14/2004,0,899415,-899415
7/15/2004,0,432820,-432820
7/16/2004,0,721136,-721136
7/17/2004,0,311188,-311188
7/18/2004,0,2043641,-2043640
7/19/2004,0,1948848,-1948850
7/20/2004,0,729165,-729165
7/21/2004,0,570858,-570858
7/22/2004,0,502774,-502774
7/23/2004,0,1755395,-1755400
7/24/2004,0,557728,-557728
7/25/2004,0,432534,-432534
7/26/2004,0,406140,-406140
7/27/2004,0,4956713,-4956710
7/28/2004,0,1667970,-1667970
7/29/2004,0,926224,-926224
7/30/2004,0,976878,-976878
7/31/2004,0,1985821,-1985820
8/1/2004,0,2301798,-2301800
8/2/2004,0,1072075,-1072070
8/3/2004,0,758199,-758199
8/4/2004,0,1905228,-1905230
8/5/2004,0,799804,-799804
8/6/2004,0,521799,-521799
8/7/2004,0,408833,-408833
8/8/2004,0,316238,-316238
8/9/2004,0,245913,-245913
8/10/2004,0,1926610,-1926610
8/11/2004,0,590077,-590077
8/12/2004,0,14828404,-14828400
8/13/2004,0,7337551,-7337550
8/14/2004,0,2585028,-2585030
8/15/2004,0,2796325,-2796320
8/16/2004,0,1846312,-1846310
8/17/2004,0,1363748,-1363750
8/18/2004,0,947722,-947722
8/19/2004,0,715518,-715518
8/20/2004,0,2546739,-2546740
8/21/2004,0,3599746,-3599750
8/22/2004,0,1113373,-1113370
8/23/2004,0,972112,-972112
8/24/2004,0,680028,-680028
8/25/2004,0,549330,-549330
8/26/2004,0,459481,-459481
8/27/2004,0,393651,-393651
8/28/2004,0,370548,-370548
8/29/2004,0,268449,-268449
8/30/2004,0,563880,-563880
8/31/2004,0,278155,-278155
9/1/2004,0,227819,-227819
9/2/2004,0,209722,-209722
9/3/2004,0,196548,-196548
9/4/2004,0,186433,-186433
9/5/2004,0,178315,-178315
9/6/2004,0,171929,-171929
9/7/2004,0,165615,-165615
9/8/2004,0,5427898,-5427900
9/9/2004,0,4271323,-4271320
9/10/2004,0,935996,-935996
9/11/2004,0,1075654,-1075650
9/12/2004,0,1094809,-1094810
9/13/2004,0,1020445,-1020440
9/14/2004,0,899043,-899043
9/15/2004,0,941482,-941482
9/16/2004,0,601868,-601868
9/17/2004,0,12279867,-12279900
9/18/2004,0,28679262,-28679300
9/19/2004,0,4863618,-4863620
9/20/2004,0,3715513,-3715510
9/21/2004,0,2736098,-2736100
9/22/2004,0,2010124,-2010120
9/23/2004,0,1495989,-1495990
9/24/2004,0,1144075,-1144070
9/25/2004,0,773138,-773138
9/26/2004,0,531093,-531093
9/27/2004,0,460017,-460017
9/28/2004,0,7349716,-7349720
9/29/2004,0,1339262,-1339260
9/30/2004,0,2507697,-2507700
10/1/2004,0,1410323,-1410320
10/2/2004,0,1439118,-1439120
10/3/2004,0,1210794,-1210790
10/4/2004,0,1082879,-1082880
10/5/2004,0,959704,-959704
10/6/2004,0,721068,-721068
10/7/2004,0,575582,-575582
10/8/2004,0,471156,-471156
10/9/2004,0,403151,-403151
10/10/2004,0,358311,-358311
10/11/2004,0,328152,-328152
10/12/2004,0,306549,-306549
10/13/2004,0,312935,-312935
10/14/2004,0,312112,-312112
10/15/2004,0,2476839,-2476840
10/16/2004,0,886439,-886439
10/17/2004,0,568481,-568481
10/18/2004,0,1361915,-1361920
10/19/2004,0,4488261,-4488260
10/20/2004,0,1706346,-1706350
10/21/2004,0,2282652,-2282650
10/22/2004,0,1716427,-1716430
10/23/2004,0,1366352,-1366350
10/24/2004,0,1102278,-1102280
10/25/2004,0,902954,-902954
10/26/2004,0,739171,-739171
10/27/2004,0,580597,-580597
10/28/2004,0,478800,-478800
10/29/2004,0,433825,-433825
10/30/2004,0,602708,-602708
10/31/2004,0,372141,-372141
11/1/2004,0,339775,-339775
11/2/2004,0,415713,-415713
11/3/2004,0,366411,-366411
11/4/2004,0,900797,-900797
11/5/2004,0,698758,-698758
11/6/2004,0,446914,-446914
11/7/2004,0,422571,-422571
11/8/2004,0,410129,-410129
11/9/2004,0,399417,-399417
11/10/2004,0,386978,-386978
11/11/2004,0,375859,-375859
11/12/2004,0,791990,-791990
11/13/2004,0,437948,-437948
11/14/2004,0,402157,-402157
11/15/2004,0,414758,-414758
11/16/2004,0,360751,-360751
11/17/2004,0,336642,-336642
11/18/2004,0,317393,-317393
11/19/2004,0,300221,-300221
11/20/2004,0,648159,-648159
11/21/2004,0,307742,-307742
11/22/2004,0,288653,-288653
11/23/2004,0,271492,-271492
11/24/2004,0,3929441,-3929440
11/25/2004,0,1674311,-1674310
11/26/2004,0,624100,-624100
11/27/2004,0,782964,-782964
11/28/2004,0,13126771,-13126800
11/29/2004,0,2951471,-2951470
11/30/2004,0,3002221,-3002220
12/1/2004,0,7539090,-7539090
12/2/2004,0,3369811,-3369810
12/3/2004,0,2503451,-2503450
12/4/2004,0,1914661,-1914660
12/5/2004,0,1502531,-1502530
12/6/2004,0,1135731,-1135730
12/7/2004,0,1395191,-1395190
12/8/2004,0,859473,-859473
12/9/2004,0,1947721,-1947720
12/10/2004,0,3480691,-3480690
12/11/2004,0,1491131,-1491130
12/12/2004,0,1357421,-1357420
12/13/2004,0,1167271,-1167270
12/14/2004,0,1075861,-1075860
12/15/2004,0,985454,-985454
12/16/2004,0,907584,-907584
12/17/2004,0,796491,-796491
12/18/2004,0,673511,-673511
12/19/2004,0,584205,-584205
12/20/2004,0,518774,-518774
12/21/2004,0,470895,-470895
12/22/2004,0,433214,-433214
12/23/2004,0,7237850,-7237850
12/24/2004,0,895537,-895537
12/25/2004,0,915941,-915941
12/26/2004,0,918768,-918768
12/27/2004,0,903864,-903864
12/28/2004,0,876108,-876108
12/29/2004,0,836482,-836482
12/30/2004,0,786940,-786940
12/31/2004,0,657822,-657822
1/1/2005,0,564001,-564001
1/2/2005,0,680116,-680116
1/3/2005,0,3574193,-3574190
1/4/2005,0,1243220,-1243220
1/5/2005,0,2327068,-2327070
1/6/2005,0,1296535,-1296540
1/7/2005,0,864343,-864343
1/8/2005,0,832450,-832450
1/9/2005,0,792814,-792814
1/10/2005,0,751943,-751943
1/11/2005,0,1076682,-1076680
1/12/2005,0,806401,-806401
1/13/2005,0,1001637,-1001640
1/14/2005,0,8226185,-8226180
1/15/2005,0,1457882,-1457880
1/16/2005,0,1392930,-1392930
1/17/2005,0,1308987,-1308990
1/18/2005,0,1218685,-1218680
1/19/2005,0,1117952,-1117950
1/20/2005,0,1020729,-1020730
1/21/2005,0,922849,-922849
1/22/2005,0,750516,-750516
1/23/2005,0,632842,-632842
1/24/2005,0,549375,-549375
1/25/2005,0,487847,-487847
1/26/2005,0,440670,-440670
1/27/2005,0,404748,-404748
1/28/2005,0,377567,-377567
1/29/2005,0,355762,-355762
1/30/2005,0,336955,-336955
1/31/2005,0,320440,-320440
2/1/2005,0,305869,-305869
2/2/2005,0,292880,-292880
2/3/2005,0,281096,-281096
2/4/2005,0,299603,-299603
2/5/2005,0,804144,-804144
2/6/2005,0,1549452,-1549450
2/7/2005,0,2678016,-2678020
2/8/2005,0,3989630,-3989630
2/9/2005,0,6390084,-6390080
2/10/2005,0,5004018,-5004020
2/11/2005,0,1755802,-1755800
2/12/2005,0,1771896,-1771900
2/13/2005,0,1655500,-1655500
2/14/2005,0,1446934,-1446930
2/15/2005,0,2652128,-2652130
2/16/2005,0,5078272,-5078270
2/17/2005,0,3531216,-3531220
2/18/2005,0,1448360,-1448360
2/19/2005,0,1162814,-1162810
2/20/2005,0,975988,-975988
2/21/2005,0,843222,-843222
2/22/2005,0,750863,-750863
2/23/2005,0,980984,-980984
2/24/2005,0,614189,-614189
2/25/2005,0,529828,-529828
2/26/2005,0,471001,-471001
2/27/2005,0,426895,-426895
2/28/2005,0,392630,-392630
3/1/2005,0,365005,-365005
3/2/2005,0,342291,-342291
3/3/2005,0,321579,-321579
3/4/2005,0,304560,-304560
3/5/2005,0,289932,-289932
3/6/2005,0,276860,-276860
3/7/2005,0,1725198,-1725200
3/8/2005,0,2634460,-2634460
3/9/2005,0,485233,-485233
3/10/2005,0,510661,-510661
3/11/2005,0,528370,-528370
3/12/2005,0,1471550,-1471550
3/13/2005,0,874384,-874384
3/14/2005,0,627368,-627368
3/15/2005,0,588278,-588278
3/16/2005,0,784516,-784516
3/17/2005,0,494527,-494527
3/18/2005,0,3206874,-3206870
3/19/2005,0,3940256,-3940260
3/20/2005,0,5806058,-5806060
3/21/2005,0,2579210,-2579210
3/22/2005,0,2318152,-2318150
3/23/2005,0,6933945,-6933940
3/24/2005,0,2469657,-2469660
3/25/2005,0,2278970,-2278970
3/26/2005,0,1537292,-1537290
3/27/2005,0,2514694,-2514690
3/28/2005,0,15796776,-15796800
3/29/2005,0,5779078,-5779080
3/30/2005,0,2998911,-2998910
3/31/2005,0,1975723,-1975720
4/1/2005,0,1643156,-1643160
4/2/2005,0,29713888,-29713900
4/3/2005,0,8970410,-8970410
4/4/2005,0,3862072,-3862070
4/5/2005,0,2518505,-2518500
4/6/2005,0,1769397,-1769400
4/7/2005,0,1870009,-1870010
4/8/2005,0,1129882,-1129880
4/9/2005,0,924784,-924784
4/10/2005,0,691795,-691795
4/11/2005,0,561412,-561412
4/12/2005,0,488709,-488709
4/13/2005,0,442355,-442355
4/14/2005,0,409632,-409632
4/15/2005,0,383788,-383788
4/16/2005,0,363811,-363811
4/17/2005,0,347333,-347333
4/18/2005,0,333077,-333077
4/19/2005,0,320497,-320497
4/20/2005,0,390497,-390497
4/21/2005,0,303740,-303740
4/22/2005,0,399971,-399971
4/23/2005,0,2965196,-2965200
4/24/2005,0,1142888,-1142890
4/25/2005,0,688496,-688496
4/26/2005,0,744422,-744422
4/27/2005,0,1588685,-1588690
4/28/2005,0,1094387,-1094390
4/29/2005,0,938410,-938410
4/30/2005,0,1482112,-1482110
5/1/2005,0,869986,-869986
5/2/2005,0,888002,-888002
5/3/2005,0,616908,-616908
5/4/2005,0,516844,-516844
5/5/2005,0,437779,-437779
5/6/2005,0,380596,-380596
5/7/2005,0,339797,-339797
5/8/2005,0,305861,-305861
5/9/2005,0,280734,-280734
5/10/2005,0,260357,-260357
5/11/2005,0,244653,-244653
5/12/2005,0,232682,-232682
5/13/2005,0,223512,-223512
5/14/2005,0,560370,-560370
5/15/2005,0,259628,-259628
5/16/2005,0,245233,-245233
5/17/2005,0,218051,-218051
5/18/2005,0,211414,-211414
5/19/2005,0,205224,-205224
5/20/2005,0,210417,-210417
5/21/2005,0,215676,-215676
5/22/2005,0,229066,-229066
5/23/2005,0,187113,-187113
5/24/2005,0,239065,-239065
5/25/2005,0,245708,-245708
5/26/2005,0,195191,-195191
5/27/2005,0,314236,-314236
5/28/2005,0,1115476,-1115480
5/29/2005,0,298616,-298616
5/30/2005,0,624977,-624977
5/31/2005,0,289507,-289507
6/1/2005,0,280006,-280006
6/2/2005,0,259892,-259892
6/3/2005,0,768670,-768670
6/4/2005,0,371744,-371744
6/5/2005,0,268311,-268311
6/6/2005,0,978300,-978300
6/7/2005,0,296639,-296639
6/8/2005,0,250391,-250391
6/9/2005,0,467296,-467296
6/10/2005,0,239521,-239521
6/11/2005,0,1516854,-1516850
6/12/2005,0,339065,-339065
6/13/2005,0,290519,-290519
6/14/2005,0,235848,-235848
6/15/2005,0,219665,-219665
6/16/2005,0,667707,-667707
6/17/2005,0,353075,-353075
6/18/2005,0,226336,-226336
6/19/2005,0,188706,-188706
6/20/2005,0,164500,-164500
6/21/2005,0,148097,-148097
6/22/2005,0,181806,-181806
6/23/2005,0,133085,-133085
6/24/2005,0,124204,-124204
6/25/2005,0,117610,-117610
6/26/2005,0,112930,-112930
6/27/2005,0,114387,-114387
6/28/2005,0,173077,-173077
6/29/2005,0,1483593,-1483590
6/30/2005,0,504719,-504719
7/1/2005,0,207380,-207380
7/2/2005,0,175324,-175324
7/3/2005,0,169919,-169919
7/4/2005,0,161733,-161733
7/5/2005,0,633423,-633423
7/6/2005,0,270441,-270441
7/7/2005,0,356867,-356867
7/8/2005,0,1946463,-1946460
7/9/2005,0,766810,-766810
7/10/2005,0,379954,-379954
7/11/2005,0,322855,-322855
7/12/2005,0,589361,-589361
7/13/2005,0,482518,-482518
7/14/2005,0,264469,-264469
7/15/2005,0,341497,-341497
7/16/2005,0,271033,-271033
7/17/2005,0,320069,-320069
7/18/2005,0,151729,-151729
7/19/2005,0,185436,-185436
7/20/2005,0,116826,-116826
7/21/2005,0,104376,-104376
7/22/2005,0,109330,-109330
7/23/2005,0,92215.2,-92215.2
7/24/2005,0,89979.4,-89979.4
7/25/2005,0,239694,-239694
7/26/2005,0,139420,-139420
7/27/2005,0,167248,-167248
7/28/2005,0,88142.9,-88142.9
7/29/2005,0,85154.8,-85154.8
7/30/2005,0,82497.6,-82497.6
7/31/2005,0,92748.4,-92748.4
8/1/2005,0,78620,-78620
8/2/2005,0,76333,-76333
8/3/2005,0,76018.5,-76018.5
8/4/2005,0,73027.9,-73027.9
8/5/2005,0,158095,-158095
8/6/2005,0,71997.9,-71997.9
8/7/2005,0,70622.4,-70622.4
8/8/2005,0,1337647,-1337650
8/9/2005,0,171204,-171204
8/10/2005,0,116916,-116916
8/11/2005,0,119784,-119784
8/12/2005,0,1215164,-1215160
8/13/2005,0,361647,-361647
8/14/2005,0,1300257,-1300260
8/15/2005,0,390980,-390980
8/16/2005,0,475818,-475818
8/17/2005,0,286379,-286379
8/18/2005,0,217669,-217669
8/19/2005,0,257140,-257140
8/20/2005,0,156162,-156162
8/21/2005,0,123747,-123747
8/22/2005,0,99206.9,-99206.9
8/23/2005,0,85534,-85534
8/24/2005,0,76834.3,-76834.3
8/25/2005,0,71250.2,-71250.2
8/26/2005,0,67497.4,-67497.4
8/27/2005,0,88503.5,-88503.5
8/28/2005,0,316112,-316112
8/29/2005,0,102243,-102243
8/30/2005,0,341223,-341223
8/31/2005,0,635323,-635323
9/1/2005,0,115183,-115183
9/2/2005,0,116354,-116354
9/3/2005,0,114595,-114595
9/4/2005,0,110048,-110048
9/5/2005,0,99220.6,-99220.6
9/6/2005,0,90111.6,-90111.6
9/7/2005,0,80340.2,-80340.2
9/8/2005,0,70770.1,-70770.1
9/9/2005,0,64501.2,-64501.2
9/10/2005,0,60345.3,-60345.3
9/11/2005,0,57492.8,-57492.8
9/12/2005,0,55399.2,-55399.2
9/13/2005,0,53786.3,-53786.3
9/14/2005,0,161476,-161476
9/15/2005,0,120232,-120232
9/16/2005,0,156690,-156690
9/17/2005,0,107152,-107152
9/18/2005,0,58482.8,-58482.8
9/19/2005,0,57409.7,-57409.7
9/20/2005,0,84008.9,-84008.9
9/21/2005,0,58193.2,-58193.2
9/22/2005,0,54455.9,-54455.9
9/23/2005,0,52229.5,-52229.5
9/24/2005,0,50183.9,-50183.9
9/25/2005,0,48512.9,-48512.9
9/26/2005,0,912062,-912062
9/27/2005,0,110528,-110528
9/28/2005,0,93176.8,-93176.8
9/29/2005,0,573120,-573120
9/30/2005,0,151821,-151821
10/1/2005,0,163692,-163692
10/2/2005,0,168864,-168864
10/3/2005,0,167517,-167517
10/4/2005,0,138557,-138557
10/5/2005,0,116143,-116143
10/6/2005,0,104689,-104689
10/7/2005,0,7154502,-7154500
10/8/2005,0,26638336,-26638300
10/9/2005,0,3384502,-3384500
10/10/2005,0,3525817,-3525820
10/11/2005,0,6014682,-6014680
10/12/2005,0,19929816,-19929800
10/13/2005,0,13123412,-13123400
10/14/2005,0,9255947,-9255950
10/15/2005,0,4208962,-4208960
10/16/2005,0,2173966,-2173970
10/17/2005,0,1454532,-1454530
10/18/2005,0,1073226,-1073230
10/19/2005,0,765114,-765114
10/20/2005,0,556376,-556376
10/21/2005,0,456671,-456671
10/22/2005,0,5023976,-5023980
10/23/2005,0,1288031,-1288030
10/24/2005,0,2983536,-2983540
10/25/2005,0,8204181,-8204180
10/26/2005,0,4171936,-4171940
10/27/2005,0,3095131,-3095130
10/28/2005,0,2592466,-2592470
10/29/2005,0,2160291,-2160290
10/30/2005,0,1562346,-1562350
10/31/2005,0,1187356,-1187360
11/1/2005,0,1211106,-1211110
11/2/2005,0,794795,-794795
11/3/2005,0,628947,-628947
11/4/2005,0,528626,-528626
11/5/2005,0,463066,-463066
11/6/2005,0,836996,-836996
11/7/2005,0,448888,-448888
11/8/2005,0,419494,-419494
11/9/2005,0,1400666,-1400670
11/10/2005,0,579117,-579117
11/11/2005,0,531982,-531982
11/12/2005,0,523261,-523261
11/13/2005,0,512125,-512125
11/14/2005,0,518001,-518001
11/15/2005,0,1147776,-1147780
11/16/2005,0,2892656,-2892660
11/17/2005,0,1015966,-1015970
11/18/2005,0,967783,-967783
11/19/2005,0,916620,-916620
11/20/2005,0,859326,-859326
11/21/2005,0,1374586,-1374590
11/22/2005,0,1661956,-1661960
11/23/2005,0,1058926,-1058930
11/24/2005,0,895395,-895395
11/25/2005,0,776974,-776974
11/26/2005,0,687704,-687704
11/27/2005,0,621965,-621965
11/28/2005,0,594992,-594992
11/29/2005,0,11014626,-11014600
11/30/2005,0,2467786,-2467790
12/1/2005,0,2127056,-2127060
12/2/2005,0,2015466,-2015470
12/3/2005,0,1751666,-1751670
12/4/2005,0,1551816,-1551820
12/5/2005,0,1368396,-1368400
12/6/2005,0,1206176,-1206180
12/7/2005,0,905172,-905172
12/8/2005,0,722982,-722982
12/9/2005,0,606313,-606313
12/10/2005,0,527114,-527114
12/11/2005,0,471570,-471570
12/12/2005,0,431214,-431214
12/13/2005,0,401395,-401395
12/14/2005,0,379083,-379083
12/15/2005,0,360878,-360878
12/16/2005,0,525757,-525757
12/17/2005,0,338604,-338604
12/18/2005,0,325624,-325624
12/19/2005,0,313936,-313936
12/20/2005,0,303369,-303369
12/21/2005,0,293596,-293596
12/22/2005,0,284292,-284292
12/23/2005,0,275298,-275298
12/24/2005,0,265749,-265749
12/25/2005,0,1514326,-1514330
12/26/2005,0,331295,-331295
12/27/2005,0,306400,-306400
12/28/2005,0,303624,-303624
12/29/2005,0,1318586,-1318590
12/30/2005,0,357372,-357372
12/31/2005,0,411515,-411515
1/1/2006,0,367229,-367229
1/2/2006,0,1437492,-1437490
1/3/2006,0,1464991,-1464990
1/4/2006,0,515320,-515320
1/5/2006,0,504935,-504935
1/6/2006,0,471377,-471377
1/7/2006,0,449091,-449091
1/8/2006,0,427768,-427768
1/9/2006,0,407082,-407082
1/10/2006,0,376315,-376315
1/11/2006,0,2419936,-2419940
1/12/2006,0,484151,-484151
1/13/2006,0,460513,-460513
1/14/2006,0,6518861,-6518860
1/15/2006,0,1214649,-1214650
1/16/2006,0,1013047,-1013050
1/17/2006,0,1010176,-1010180
1/18/2006,0,12505574,-12505600
1/19/2006,0,2702092,-2702090
1/20/2006,0,2994800,-2994800
1/21/2006,0,3110678,-3110680
1/22/2006,0,3280477,-3280480
1/23/2006,0,3694825,-3694820
1/24/2006,0,1552313,-1552310
1/25/2006,0,1445691,-1445690
1/26/2006,0,1000120,-1000120
1/27/2006,0,808449,-808449
1/28/2006,0,911280,-911280
1/29/2006,0,2595594,-2595590
1/30/2006,0,2922802,-2922800
1/31/2006,0,4886177,-4886180
2/1/2006,0,4493022,-4493020
2/2/2006,0,5125966,-5125970
2/3/2006,0,12371290,-12371300
2/4/2006,0,11868995,-11869000
2/5/2006,0,6165399,-6165400
2/6/2006,0,4076204,-4076200
2/7/2006,0,2564888,-2564890
2/8/2006,0,1911362,-1911360
2/9/2006,0,1462407,-1462410
2/10/2006,0,1148211,-1148210
2/11/2006,0,894981,-894981
2/12/2006,0,714106,-714106
2/13/2006,0,601200,-601200
2/14/2006,0,528541,-528541
2/15/2006,0,805430,-805430
2/16/2006,0,1627098,-1627100
2/17/2006,0,1349762,-1349760
2/18/2006,0,577043,-577043
2/19/2006,0,560951,-560951
2/20/2006,0,546608,-546608
2/21/2006,0,530322,-530322
2/22/2006,0,555544,-555544
2/23/2006,0,516836,-516836
2/24/2006,0,464281,-464281
2/25/2006,0,422298,-422298
2/26/2006,0,394306,-394306
2/27/2006,0,370984,-370984
2/28/2006,0,351213,-351213
3/1/2006,0,333854,-333854
3/2/2006,0,318330,-318330
