name,type,lat,long,capacity,comid,reachcode,start_data,end_date,Data,description
outflow_montague,rivergauge,41.30916667,-74.79527778,,,,,,,
outflow_trenton,rivergauge,40.221041,-74.780647,,,,,,,
outflow_wallenpaupack,link,41.460825,-75.18423,,,,,,,
outflow_prompton,link,41.589961,-75.32768,,,,,,,
outflow_shoholaMarsh,link,41.392015,-74.96866,,,,,,,
outflow_mongaupeCombined,link,41.478898,-74.755352,,,,,,,
outflow_beltzvilleCombined,link,40.851266,-75.638495,,,,,,,
outflow_fewalter,link,41.113559,-75.720849,,,,,,,
outflow_merrillCreek,link,40.727174,-75.10281,,,,,,,
outflow_hopatcong,link,40.917661,-74.664516,,,,,,,
outflow_nockamixon,link,40.471662,-75.184604,,,,,,,
outflow_assunpink,link,40.219222,-74.524199,,,,,,,
outflow_ontelaunee,link,40.447622,-75.933283,,,,,,,
outflow_stillCreek,link,40.85809,-75.990719,,,,,,,
outflow_blueMarsh,link,40.379002,-76.031525,,,,,,,
outflow_greenLane,link,40.332875,-75.481018,,,,,,,
inflow_prompton,inflow,41.67452998,-75.37601299,,,,,,,
inflow_shoholamarsh,inflow,41.45,-74.9216667,,,,,,,
inflow_mongaupeCombined,inflow,41.56727778,-74.78327778,,,,,,,
inflow_beltzvilleCombined,inflow,40.8975919,-75.5024077,,,,,,,
inflow_fewalter,inflow,41.1302794,-75.62545259,,,,,,,
inflow_hopatcong,inflow,40.98916667,-74.60527778,,,,,,,
inflow_hopatcong,inflow,40.9761111,-74.6286111,,,,,,,
inflow_hopatcong,inflow,40.96944444,-74.5983333,,,,,,,
inflow_greenLane,inflow,40.39398789,-75.51545918,,,,,,,
inflow_ontelaunee,inflow,40.52537159,-75.8749251,,,,,,,
inflow_greenLane,inflow,40.3739879,-75.5224034,,,,,,,
outlet_cannonsville,outflow,42.07491667,-75.3958056,,,,,,,
outlet_pepacton,outflow,42.07502778,-74.97627778,,,,,,,
outlet_neversink,outflow,41.82,-74.6355556,,,,,,,
outlet_prompton,outflow,41.5619407,-75.2479377,,,,,,,
outlet_mongaupeCombined,outflow,41.4612222,-74.75877778,,,,,,,
outlet_beltzvilleCombined,outflow,40.84564756,-75.6457437,,,,,,,
outlet_fewalter,outflow,41.10472447,-75.73212288,,,,,,,
outlet_hopatcong,outflow,40.9172222,-74.6655556,,,,,,,
outlet_hopatcong,outflow,40.9175,-74.6641667,,,,,,,
outlet_blueMarsh,outflow,40.3706482,-76.0252159,,,,,,,
outlet_ontelaunee,outflow,40.42852778,-75.9396944,,,,,,,
outlet_stillCreek,outflow,40.8069505,-75.97185458,,,,,,,
outlet_assupink,outflow,40.2697222,-74.6719444,,,,,,,
outlet_assupink,outflow,40.2475,-74.72777778,,,,,,,
outlet_assupink,outflow,40.22416667,-74.7491667,,,,,,,
outlet_assupink,outflow,40.22166667,-74.7780556,,,,,,,
