Reservoir Inflows and Outflows
"Scenario: GridMet, Reservoir: Pepacton Reservoir"
Cubic Meter
"Sources and Destinations","Decrease in Storage for Pepacton Reservoir","Increase in Storage for Pepacton Reservoir","Inflow from Upstream","Net Evaporation","Outflow to Downstream"
11/25/2004, ,-2248950,4451522,236113,-2438680
11/26/2004, ,-601083,2864156,174354,-2437430
11/27/2004,663693, ,1804554,-30122.3,-2438120
11/28/2004, ,-4112800,6571318,-21160.2,-2437350
11/29/2004, ,-8459910,8476086,842592,-858765
11/30/2004, ,-3801250,4607290,-34698.1,-771341
12/1/2004, ,-6974180,7772474,-22541.2,-775757
12/2/2004, ,-9048990,9300434,532416,-783859
12/3/2004, ,-1963270,5146084,-32821.3,-3150000
12/4/2004, ,0,3745760,-19488,-3726270
12/5/2004, ,0,2874312,-20025.8,-2854290
12/6/2004, ,0,2179427,-21714.5,-2157710
12/7/2004, ,0,2075407,-16729.9,-2058680
12/8/2004, ,0,2031690,654.262,-2032340
12/9/2004, ,0,1925624,-19128.5,-1906500
12/10/2004, ,0,3509334,187857,-3697190
12/11/2004, ,0,3990867,381846,-4372710
12/12/2004, ,0,2745664,51884.4,-2797550
12/13/2004, ,0,2476105,3267.15,-2479370
12/14/2004, ,0,2185364,7577.49,-2192940
12/15/2004, ,0,1925452,-19575.4,-1905880
12/16/2004, ,0,1751523,-13832.9,-1737690
12/17/2004, ,0,1578042,-15372.1,-1562670
12/18/2004, ,0,1378369,-18994.8,-1359370
12/19/2004,163093, ,1206831,-16856.1,-1353070
12/20/2004,287194, ,1083016,-17331.2,-1352880
12/21/2004,1227476, ,993295,-11104.5,-2209670
12/22/2004,1492192, ,927638,-9343.41,-2410490
12/23/2004, ,-2714440,5180120,-15805.6,-2449880
12/24/2004, ,-455520,5866406,394442,-5805330
12/25/2004,349660, ,2105040,-27266.1,-2427430
12/26/2004,325081, ,2122924,-13719.3,-2434290
12/27/2004,424693, ,2075619,-13907.2,-2486400
12/28/2004, ,-620756,1985199,-12653.2,-1351790
12/29/2004, ,-478678,1867977,-9608.16,-1379690
12/30/2004, ,0,1737565,-13508.5,-1724060
12/31/2004, ,0,1564661,-23245.3,-1541420
1/1/2005,1712107, ,1322858,-12408.1,-3022560
1/2/2005,1833446, ,1217084,-29961.3,-3020570
1/3/2005,327636, ,2674088,16713.9,-3018440
1/4/2005, ,-110677,2963493,165242,-3018060
1/5/2005,1340998, ,1676284,904.758,-3018190
1/6/2005,1475490, ,1392067,149072,-3016630
1/7/2005,1677829, ,1310279,26807.1,-3014910
1/8/2005,1779416, ,1254110,-20560.1,-3012970
1/9/2005,1826456, ,1203854,-19411.1,-3010900
1/10/2005,1874272, ,1155032,-20526.9,-3008780
1/11/2005,1932430, ,1094346,-20177.1,-3006600
1/12/2005,1590000, ,1407098,7256.49,-3004350
1/13/2005,1286688, ,1716479,2969.55,-3006140
1/14/2005, ,-1562360,4516322,39554.3,-2993510
1/15/2005, ,-2041310,4465483,563654,-2987830
1/16/2005,533315, ,1979650,-17006.6,-2495960
1/17/2005, ,-586626,1935397,-13681.6,-1335090
1/18/2005, ,-514797,1864652,-14083.2,-1335770
1/19/2005, ,-432071,1778275,-9834.77,-1336370
1/20/2005,585879, ,1663687,-6946.88,-2242620
1/21/2005,883454, ,1534072,-10839.5,-2406690
1/22/2005,1101713, ,1352886,-7812.15,-2446790
1/23/2005,1256970, ,1184057,-6648.73,-2434380
1/24/2005,1389102, ,1063164,-8219.58,-2444050
1/25/2005,1480052, ,974279,-8027.13,-2446300
1/26/2005,2034180, ,906971,-10065.9,-2931090
1/27/2005,2152506, ,855866,-16024.1,-2992350
1/28/2005,1347701, ,817494,-9972.51,-2155220
1/29/2005,543091, ,787582,-8011,-1322660
1/30/2005,569361, ,762560,-9890.09,-1322030
1/31/2005,595274, ,741104,-15008.1,-1321370
2/1/2005,612492, ,722666,-14479.9,-1320680
2/2/2005,72314.7, ,706538,-15301.6,-763551
2/3/2005,87349.9, ,692143,-16026.1,-763467
2/4/2005, ,-53678.4,835436,-18392.5,-763365
2/5/2005, ,-653784,1385954,31258.2,-763428
2/6/2005, ,-1724160,2474757,13588.6,-764187
2/7/2005, ,-3470770,4032719,204242,-766190
2/8/2005, ,-5413610,5933330,250500,-770222
2/9/2005, ,-8542930,9889583,279477,-1626130
2/10/2005, ,-7945430,9934552,459304,-2448430
2/11/2005, ,-849321,5407831,299128,-4857640
2/12/2005, ,0,4129816,-25451.7,-4104360
2/13/2005, ,0,3449788,-19986.4,-3429800
2/14/2005, ,0,2792624,-20869.1,-2771760
2/15/2005, ,0,3114694,-20070,-3094620
2/16/2005, ,0,5156366,101535,-5257900
2/17/2005, ,0,4773705,307327,-5081030
2/18/2005,62774.9, ,2439294,-28427.7,-2473640
2/19/2005,613042, ,1862402,-20745.9,-2454700
2/20/2005,893282, ,1594304,-14730.3,-2472860
2/21/2005,1069554, ,1419545,-17280.3,-2471820
2/22/2005,1195402, ,1296699,-21525.6,-2470580
2/23/2005,1226688, ,1190278,48350.3,-2465320
2/24/2005,1405113, ,1085819,-27040.8,-2463890
2/25/2005,500970, ,979390,-17472.8,-1462890
2/26/2005, ,-101994,908210,-17657.2,-788558
2/27/2005, ,-48140.7,854824,-18006.3,-788677
2/28/2005,773854, ,813440,-20062.7,-1567230
3/1/2005,1197318, ,780319,-22055.6,-1955580
3/2/2005,1093656, ,753357,-23701.3,-1823310
3/3/2005,1052742, ,731569,-22265.6,-1762050
3/4/2005,1123403, ,713538,-19993.7,-1816950
3/5/2005,1077281, ,697922,-19314.5,-1755890
3/6/2005,1235460, ,683911,-18856,-1900510
3/7/2005,74325.1, ,1708808,-22431.8,-1760700
3/8/2005, ,-431709,2060511,244064,-1872870
3/9/2005,279220, ,1002937,486459,-1768620
3/10/2005,955613, ,901760,-21827.5,-1835550
3/11/2005,846497, ,914560,-16374,-1744680
3/12/2005,994441, ,919800,-20793.3,-1893450
3/13/2005,1160946, ,918307,-26083.4,-2053170
3/14/2005,646096, ,912204,33148,-1591450
3/15/2005,683294, ,878198,-26920.3,-1534570
3/16/2005,975219, ,830856,-25296.9,-1780780
3/17/2005,1633804, ,830281,-25691.8,-2438390
3/18/2005,1627666, ,848393,-32064,-2443990
3/19/2005,1134039, ,1147485,160580,-2442100
3/20/2005, ,-1729380,4146166,24000.3,-2440790
3/21/2005, ,-3923250,6021432,344614,-2442800
3/22/2005, ,-5945400,8285984,106765,-2447350
3/23/2005, ,-9151570,11578064,20267.1,-2446760
3/24/2005, ,-4200260,10211874,320910,-6332530
3/25/2005, ,0,5852609,23080.9,-5875690
3/26/2005, ,0,4452133,-7204.15,-4444930
3/27/2005, ,0,4607406,-37184.7,-4570220
3/28/2005, ,0,16919050,14031.4,-16933100
3/29/2005, ,0,22668420,724757,-23393200
3/30/2005, ,0,11969393,457796,-12427200
3/31/2005, ,0,5104369,34539.6,-5138910
4/1/2005, ,0,3294602,-69658.1,-3224940
4/2/2005, ,0,17592510,-67951,-17524600
4/3/2005, ,0,21151900,1447420,-22599300
4/4/2005, ,0,9205682,197228,-9402910
4/5/2005, ,0,5027382,-45168.7,-4982210
4/6/2005, ,0,3300524,-44358.5,-3256170
4/7/2005, ,0,2598544,-80239.2,-2518310
4/8/2005, ,0,2205993,-33870.4,-2172120
4/9/2005, ,0,1698360,-83098.1,-1615260
4/10/2005, ,0,1363880,-71030.1,-1292850
4/11/2005, ,0,1115533,-75518.8,-1040010
4/12/2005, ,0,982169,-74317.5,-907851
4/13/2005,1346058, ,904215,-65000.3,-2185270
4/14/2005,1680868, ,852102,-64763,-2468210
4/15/2005,1848150, ,813628,-71902.3,-2589880
4/16/2005,1956817, ,784510,-74974.4,-2666350
4/17/2005,1975568, ,761688,-73176.2,-2664080
4/18/2005,2000841, ,742777,-81834.4,-2661780
4/19/2005,1852221, ,726732,-91741.2,-2487210
4/20/2005,1217765, ,768890,-93087.8,-1893570
4/21/2005,1204731, ,738024,-28104.9,-1914650
4/22/2005,1828234, ,740622,-105237,-2463620
4/23/2005,762644, ,1725546,-26695.1,-2461500
4/24/2005, ,-703602,2774910,370431,-2441740
4/25/2005,72507.8, ,2178589,191460,-2442560
4/26/2005,718109, ,1797634,-54401.5,-2461340
4/27/2005, ,-795721,3305796,-45938.9,-2464140
4/28/2005, ,-1628040,3970446,119029,-2461430
4/29/2005, ,-616402,3107368,-46512,-2444450
4/30/2005, ,-501427,3035182,-69714.9,-2464040
5/1/2005, ,-338552,2848122,27627.7,-2537200
5/2/2005,302648, ,2308572,-73627.9,-2537590
5/3/2005,733931, ,1820371,-17062.2,-2537240
5/4/2005,1086108, ,1505719,-59310.5,-2532520
5/5/2005,1356751, ,1244305,-69800.5,-2531250
5/6/2005,1554591, ,1051380,-72421.3,-2533550
5/7/2005,1683748, ,930842,-82846.9,-2531740
5/8/2005,1767331, ,847252,-84794.8,-2529790
5/9/2005,1837186, ,786396,-95847.3,-2527730
5/10/2005,1874556, ,740609,-89565.3,-2525600
5/11/2005,1934301, ,706278,-117156,-2523420
5/12/2005,1969508, ,681136,-129468,-2521180
5/13/2005,1977722, ,663680,-126385,-2515020
5/14/2005,1680819, ,913061,-81160.9,-2512720
5/15/2005,1034498, ,834950,203444,-2072890
5/16/2005,1198292, ,776004,-93480.6,-1880820
5/17/2005,1817662, ,721431,-105674,-2433420
5/18/2005,1337671, ,702546,-91781.3,-1948440
5/19/2005,1245890, ,693975,-94105.6,-1845760
5/20/2005,1876998, ,684158,-91722.1,-2469430
5/21/2005,1877911, ,721844,-102504,-2497250
5/22/2005,1772575, ,794752,-72257.9,-2495070
5/23/2005,1705118, ,839912,-52019.9,-2493010
5/24/2005,1589095, ,965889,-67825.5,-2487160
5/25/2005,1285482, ,1222028,-22198,-2485310
5/26/2005,1366876, ,1239743,-70302.8,-2536320
5/27/2005,1253438, ,1310111,-84946.1,-2478600
5/28/2005,536737, ,1979806,-24397.7,-2492150
5/29/2005,273812, ,2163029,54681.2,-2491520
5/30/2005,760978, ,1819304,-107948,-2472330
5/31/2005,313736, ,1624232,-16643.3,-1921320
6/1/2005,674595, ,1394349,-88471.6,-1980470
6/2/2005,815289, ,1188370,-102594,-1901060
6/3/2005,1053972, ,1021020,-111249,-1963740
6/4/2005,1099249, ,878064,-85920,-1891390
6/5/2005,1284858, ,765745,-115489,-1935110
6/6/2005,922337, ,1108510,-123353,-1907490
6/7/2005,800785, ,1138522,75495.3,-2014800
6/8/2005,1250619, ,810743,-129743,-1931620
6/9/2005,1126944, ,900669,-101317,-1926300
6/10/2005,1111474, ,860736,-73350.4,-1898860
6/11/2005,1212118, ,873788,-109714,-1976190
6/12/2005,1205317, ,867387,-94049.4,-1978650
6/13/2005,992792, ,1105977,-117885,-1980880
6/14/2005,1566455, ,1002166,-79891.3,-2488730
6/15/2005,1787279, ,847278,-121278,-2513280
6/16/2005,1031426, ,1760696,-127541,-2664580
6/17/2005,245676, ,2290030,172674,-2708380
6/18/2005,789818, ,1914427,3848.9,-2708090
6/19/2005,1288696, ,1509762,-95152.1,-2703310
6/20/2005,1534471, ,1269485,-102148,-2701810
6/21/2005,1722358, ,1091484,-109945,-2703900
6/22/2005,1797005, ,998702,-116310,-2679400
6/23/2005,1857363, ,905367,-85420,-2677310
6/24/2005,2004761, ,775078,-104687,-2675150
6/25/2005,2123138, ,682484,-114172,-2691450
6/26/2005,2087577, ,709213,-130304,-2666490
6/27/2005,2003610, ,785464,-125013,-2664060
6/28/2005,2098657, ,726560,-144614,-2680600
6/29/2005,938962, ,1814718,-75514.7,-2678170
6/30/2005,595644, ,1786180,291380,-2673200
7/1/2005,428381, ,1815714,-136709,-2107390
7/2/2005, ,-145775,1915244,-40701,-1728770
7/3/2005,853773, ,1351701,-128414,-2077060
7/4/2005,964586, ,1229584,-114231,-2079940
7/5/2005, ,-195221,2390399,-120230,-2074950
7/6/2005, ,-1645560,3558471,177263,-2090170
7/7/2005, ,-1653650,3726724,4010.24,-2077090
7/8/2005, ,-4109760,5571900,137864,-1600010
7/9/2005, ,-3344560,5180018,248318,-2083780
7/10/2005, ,-798750,2970718,-99300.6,-2072670
7/11/2005,433085, ,2105316,-120311,-2418090
7/12/2005,879080, ,1757645,-125757,-2510970
7/13/2005,1220978, ,1401337,-112369,-2509950
7/14/2005,1391310, ,1228581,-111363,-2508530
7/15/2005,1196415, ,1417066,-125197,-2488280
7/16/2005,1516710, ,1074147,-103963,-2486890
7/17/2005,1586797, ,1042548,-125585,-2503760
7/18/2005,1098693, ,1408666,-5442.07,-2501920
7/19/2005,1411510, ,1199766,-110635,-2500640
7/20/2005,1653891, ,912565,-86083.3,-2480370
7/21/2005,1835175, ,786774,-128499,-2493450
7/22/2005,1650726, ,943615,-121650,-2472690
7/23/2005,1615664, ,920194,-65085.2,-2470770
7/24/2005,625886, ,744148,-121382,-1248650
7/25/2005,191720, ,720393,-113434,-798679
7/26/2005,1200583, ,710600,-83356.9,-1827830
7/27/2005,1747169, ,804188,-77305.4,-2474050
7/28/2005,1740950, ,707175,23897,-2472020
7/29/2005,1950092, ,634917,-115009,-2470000
7/30/2005,1976266, ,604799,-113331,-2467730
7/31/2005,1407482, ,1076310,-115848,-2367940
8/1/2005,1481804, ,940865,41134,-2463800
8/2/2005,1872647, ,725905,-128971,-2469580
8/3/2005,1908736, ,682072,-130901,-2459910
8/4/2005,1952166, ,641178,-128155,-2465190
8/5/2005,1929672, ,665101,-131853,-2462920
8/6/2005,1924816, ,615924,-87561.1,-2453180
8/7/2005,1977204, ,589477,-115737,-2450940
8/8/2005,1949076, ,618925,-119354,-2448650
8/9/2005,1722994, ,565780,153738,-2442510
8/10/2005,2019086, ,545027,-123602,-2440510
8/11/2005,2028166, ,534786,-124787,-2438160
8/12/2005,1821666, ,741158,-127016,-2435810
8/13/2005,1535096, ,797762,100834,-2433690
8/14/2005,1160464, ,1122640,148805,-2431910
8/15/2005,1499921, ,957295,-30283.5,-2426930
8/16/2005,1674846, ,875337,-124994,-2425190
8/17/2005,1204640, ,838090,-86807.2,-1955920
8/18/2005,1286531, ,771983,-106220,-1952290
8/19/2005,1270012, ,784362,-102080,-1952290
8/20/2005,1303414, ,743202,-94321.4,-1952290
8/21/2005,1230165, ,826883,-104753,-1952290
8/22/2005,1258498, ,785728,-91931.1,-1952290
8/23/2005,1416498, ,647232,-107807,-1955920
8/24/2005,1447837, ,604933,-92975.5,-1959790
8/25/2005,1639204, ,575174,-90078.3,-2124300
8/26/2005,1693698, ,554050,-93450.8,-2154300
8/27/2005,1698374, ,554834,-98909.9,-2154300
8/28/2005,1489972, ,732257,-90430.2,-2131800
8/29/2005,1406697, ,739612,-14510.2,-2131800
8/30/2005,214234, ,1838555,-77995.5,-1974790
8/31/2005, ,-2310930,3935862,349859,-1974790
9/1/2005, ,-1933170,3725306,154595,-1946730
9/2/2005, ,-203686,2250708,-100292,-1946730
9/3/2005, ,-47645.1,2091373,-96997.3,-1946730
9/4/2005,161344, ,1879626,-97868.6,-1943100
9/5/2005,426122, ,1607069,-90089.6,-1943100
9/6/2005,674664, ,1353041,-88474.1,-1939230
9/7/2005,920303, ,1095822,-91893.3,-1924230
9/8/2005,1168774, ,862685,-92228.2,-1939230
9/9/2005,1318555, ,713197,-92521.5,-1939230
9/10/2005,1396904, ,630113,-91414.2,-1935600
9/11/2005,773813, ,582621,-83450.7,-1272980
9/12/2005,767809, ,553759,-78583.1,-1242980
9/13/2005,1451738, ,535109,-85113.7,-1901730
9/14/2005,1307136, ,708651,-99055.1,-1916730
9/15/2005,1018188, ,818554,3785.37,-1840530
9/16/2005,1066826, ,827893,-39192.3,-1855530
9/17/2005,1079218, ,831847,-48038.8,-1863030
9/18/2005,1225279, ,720550,-82803.2,-1863030
9/19/2005,1293330, ,668309,-87485,-1874150
9/20/2005,1422304, ,716232,-84634.9,-2053900
9/21/2005,1415782, ,706215,-71967.7,-2050030
9/22/2005,1479006, ,653545,-82520.8,-2050030
9/23/2005,1513825, ,618896,-82690.6,-2050030
9/24/2005,1545964, ,588088,-87650.2,-2046400
9/25/2005,1534304, ,592115,-68890,-2057530
9/26/2005, ,-350985,2447484,-35099.4,-2061400
9/27/2005, ,-1240490,2822559,479327,-2061400
9/28/2005,543552, ,1584290,-66441.6,-2061400
9/29/2005, ,-331841,2448064,-62322.4,-2053900
9/30/2005, ,-858334,2767008,148856,-2057530
10/1/2005, ,-10135.4,2096154,-56309.8,-2029710
10/2/2005,184127, ,1909892,-60681.8,-2033340
10/3/2005,413729, ,1685684,-69704.6,-2029710
10/4/2005,732706, ,1350965,-72832,-2010840
10/5/2005,1042723, ,1060350,-73364.3,-2029710
10/6/2005,52377.4, ,879441,-73728.4,-858090
10/7/2005, ,-3033230,3276824,-74251.9,-169344
10/8/2005, ,-18929900,18438890,660367,-169344
10/9/2005, ,-29819900,29175146,814090,-169344
10/10/2005, ,-8735080,9427470,-44986,-647408
10/11/2005, ,-6427980,7131171,-45631.9,-657556
10/12/2005, ,-12698200,13332069,31132.8,-665023
10/13/2005, ,-20918200,20615056,982870,-679774
10/14/2005, ,-18221000,18645632,279432,-704074
10/15/2005, ,-12710700,13230067,205853,-725241
10/16/2005, ,-6051840,6812344,-20497.6,-740007
10/17/2005, ,-3047280,3822968,-28646.3,-747037
10/18/2005, ,-1811440,2606043,-44027.4,-750577
10/19/2005, ,-1245470,2034743,-36590.9,-752682
10/20/2005, ,-744617,1556346,-57600.1,-754128
10/21/2005, ,-431750,1243368,-56624.8,-754993
10/22/2005, ,-3626390,4428562,-46677.1,-755495
10/23/2005, ,-6764830,6720801,803740,-759708
10/24/2005, ,-5926870,6676080,18355,-767566
10/25/2005, ,-10928400,11610833,92003.7,-774451
10/26/2005, ,-8181990,13187330,627771,-5633110
10/27/2005, ,0,8853708,-1044.91,-8852660
10/28/2005, ,0,6431702,-23396,-6408310
10/29/2005, ,0,4875461,-30564.3,-4844900
10/30/2005, ,0,3528167,-36993.5,-3491170
10/31/2005, ,0,2503630,-42024.9,-2461610
11/1/2005, ,0,2227050,-49628.3,-2177420
11/2/2005, ,0,1884804,110821,-1995620
11/3/2005, ,0,1454242,-54613.5,-1399630
11/4/2005, ,0,1233706,-42549.7,-1191160
11/5/2005, ,0,1106113,-49978,-1056130
11/6/2005, ,0,1412763,-53511.8,-1359250
11/7/2005,200053, ,1423806,101040,-1724900
11/8/2005,826469, ,1084871,-55553.1,-1855790
11/9/2005, ,-204234,2097599,-42409.3,-1850960
11/10/2005, ,-822288,2548854,293062,-2019630
11/11/2005,443871, ,1796849,-32948.8,-2207770
11/12/2005,536193, ,1765107,-34048.2,-2267250
11/13/2005,565879, ,1726789,-26039.1,-2266630
11/14/2005,696041, ,1628123,-39564.7,-2284600
11/15/2005, ,-85153.7,2417288,-44714.5,-2287420
11/16/2005, ,-2156830,5489046,213483,-3545700
11/17/2005, ,0,5904788,430937,-6335720
11/18/2005, ,0,3657769,-42163.8,-3615610
11/19/2005, ,0,3062066,-25809.4,-3036260
11/20/2005, ,0,2609261,-25458.3,-2583800
11/21/2005, ,0,2350591,-29209,-2321380
11/22/2005, ,0,2446003,-6663.2,-2439340
11/23/2005, ,0,2280207,171693,-2451900
11/24/2005,39099.2, ,1783546,-22751.6,-1799890
11/25/2005,294553, ,1491314,-16017.6,-1769850
11/26/2005, ,-333653,1307150,-16116.2,-957382
11/27/2005, ,0,1183328,-15482.6,-1167850
11/28/2005, ,0,1113344,-20099.6,-1093240
11/29/2005, ,0,5727308,-19684.6,-5707620
11/30/2005, ,0,9440282,849810,-10290100
12/1/2005, ,0,6226176,-15721.3,-6210450
12/2/2005, ,0,4992078,10285.2,-5002360
12/3/2005, ,0,4139082,-7040.34,-4132040
12/4/2005, ,0,3550996,-18600,-3532400
12/5/2005, ,0,3027255,-18011.9,-3009240
12/6/2005, ,0,2587936,-18610.1,-2569330
12/7/2005, ,0,2057729,-18333,-2039400
12/8/2005, ,0,1586966,-16288.3,-1570680
12/9/2005,57140, ,1309224,-13296.5,-1353070
12/10/2005,226713, ,1140104,-13815.7,-1353000
12/11/2005,339160, ,1032237,-18659.1,-1352740
12/12/2005,409171, ,960471,-17298.3,-1352340
12/13/2005,672982, ,911371,-19111.3,-1565240
12/14/2005,484512, ,876881,-10306.4,-1351090
12/15/2005,507683, ,850921,-8080.42,-1350520
12/16/2005,1978107, ,930910,-9343.41,-2899670
12/17/2005,2191907, ,854092,-13874.5,-3032130
12/18/2005,2250893, ,804713,-18769.8,-3036840
12/19/2005,2259876, ,789952,-15605.5,-3034220
12/20/2005,2275586, ,776676,-16794.8,-3035470
12/21/2005,2280899, ,764485,-12560.3,-3032820
12/22/2005,2287328, ,752994,-14019.1,-3026300
12/23/2005,2293986, ,742196,-16164.7,-3020020
12/24/2005,2306692, ,730412,-19751.1,-3017350
12/25/2005,281827, ,1965305,-25957.2,-2221180
12/26/2005, ,-735788,1847976,214039,-1326230
12/27/2005,1248410, ,985360,-10858.4,-2222910
12/28/2005,1548194, ,935976,-23208.2,-2460960
12/29/2005, ,-721463,3193436,-20066.8,-2451910
12/30/2005, ,-3058250,3705313,121194,-768256
12/31/2005, ,-915674,1712758,-25275.5,-771808
1/1/2006, ,-962221,1753753,-18660.2,-772872
1/2/2006, ,-1116460,1911176,-20721.3,-773990
1/3/2006, ,-1283250,2022380,36155.3,-775287
1/4/2006, ,-957916,1612249,122445,-776778
1/5/2006, ,-684257,1481004,-18857.2,-777890
1/6/2006, ,-534886,1332267,-18695.8,-778685
1/7/2006, ,-352299,1155217,-23611,-779307
1/8/2006, ,-254775,1049038,-14547.5,-779716
1/9/2006, ,-172077,969756,-17666.6,-780012
1/10/2006, ,-103634,905919,-22073.7,-780212
1/11/2006, ,-1014490,1822053,-27228,-780332
1/12/2006, ,-789973,2040149,87750.6,-1337930
1/13/2006,315447, ,1052974,-29577.1,-1338840
1/14/2006, ,-2801430,4167965,-28059.9,-1338480
1/15/2006, ,-4161050,5064498,438282,-1341730
1/16/2006, ,-750820,2089024,8361.97,-1346570
1/17/2006, ,-701597,2061272,-12236.6,-1347440
1/18/2006, ,-4144200,9393451,-13055.7,-5236190
1/19/2006, ,0,12543932,246353,-12790300
1/20/2006, ,0,6037066,-25759.8,-6011310
1/21/2006, ,0,6523632,-26783.7,-6496850
1/22/2006, ,0,6543716,-23451.7,-6520260
1/23/2006, ,0,6420956,36726.9,-6457680
1/24/2006, ,0,5120568,151365,-5271930
1/25/2006, ,0,3061215,-19612.3,-3041600
1/26/2006, ,0,2317200,-16032.1,-2301170
1/27/2006, ,0,1787615,-18757.9,-1768860
1/28/2006, ,0,1520416,-14117.2,-1506300
1/29/2006, ,0,2288982,-19690.4,-2269290
1/30/2006, ,0,3437902,46222.2,-3484120
1/31/2006, ,0,5886104,9409.25,-5895510
2/1/2006, ,0,6317238,323363,-6640600
2/2/2006, ,0,6086166,170767,-6256930
2/3/2006, ,0,11179327,222183,-11401500
2/4/2006, ,0,13035359,631549,-13666900
2/5/2006, ,0,9929110,480923,-10410000
2/6/2006, ,0,6273560,257585,-6531150
2/7/2006, ,0,4254222,155418,-4409640
2/8/2006, ,0,3144624,-27029.7,-3117600
2/9/2006, ,0,2425948,-18614.5,-2407330
2/10/2006, ,0,1941740,-17149.5,-1924590
2/11/2006, ,0,1572437,-17139.1,-1555300
2/12/2006,69390.7, ,1302718,-19040.8,-1353070
2/13/2006,246732, ,1126709,-20454.6,-1352990
2/14/2006, ,-203138,1016322,-16899.6,-796284
2/15/2006, ,-112985,1244004,-20768.1,-1110250
2/16/2006, ,0,1576140,94963.5,-1671100
2/17/2006, ,0,1895468,182471,-2077940
2/18/2006, ,0,1619894,383320,-2003210
2/19/2006, ,0,1332488,85973.9,-1418460
2/20/2006, ,0,1127114,-18982.3,-1108130
2/21/2006, ,0,1110510,-16127.1,-1094380
2/22/2006, ,0,1085818,-20657.3,-1065160
2/23/2006, ,0,1185106,-23072.3,-1162030
2/24/2006, ,0,1182412,-6782.21,-1175630
2/25/2006, ,0,1012226,-14277,-997949
2/26/2006, ,0,933016,-25694.9,-907321
2/27/2006,1010279, ,886808,-22439.5,-1874650
2/28/2006,1650711, ,851288,-14775,-2487220
3/1/2006,1678393, ,822521,-15607,-2485310
3/2/2006,1858947, ,798475,-20445.9,-2636980
3/3/2006,1890248, ,776755,-21058.2,-2645950
3/4/2006,1924906, ,757371,-19657.3,-2662620
3/5/2006,1938377, ,740484,-18478.7,-2660380
3/6/2006,396522, ,725443,-24701.1,-1097260
3/7/2006,99240.5, ,711921,-25225.7,-785935
3/8/2006,109773, ,699695,-23647.7,-785820
3/9/2006, ,-1067580,1874380,-24733,-782064
3/10/2006, ,-1915830,2505956,193174,-783304
3/11/2006, ,-655098,1310398,130229,-785530
3/12/2006, ,-383489,1230115,-60335.6,-786291
3/13/2006, ,-1309760,3164910,-50418.9,-1804740
3/14/2006, ,-1770370,3959338,291037,-2480000
3/15/2006, ,-305465,2693828,-3553.84,-2384810
3/16/2006,614768, ,1917420,-49773.1,-2482420
3/17/2006,341073, ,1775405,-31525.7,-2084950
3/18/2006,915172, ,1591834,-32958.4,-2474050
3/19/2006,1084119, ,1435532,-28038.1,-2491610
3/20/2006,1127026, ,1307240,-26165.7,-2408100
3/21/2006,1356687, ,1167256,-27399.9,-2496540
3/22/2006,1485124, ,1035267,-25423.8,-2494970
3/23/2006,1580256, ,946853,-30238.4,-2496870
3/24/2006,1568377, ,933406,-32876.1,-2468910
3/25/2006,1522512, ,961666,-17092.6,-2467090
3/26/2006,1512495, ,939178,10015.9,-2461690
3/27/2006,1617020, ,864255,-21343.4,-2459930
3/28/2006,1685402, ,817563,-44911.7,-2458050
3/29/2006,1733075, ,776433,-53413.1,-2456090
3/30/2006,1460954, ,740848,-58587.8,-2143210
3/31/2006,1439810, ,721959,-65006.5,-2096760
4/1/2006,931063, ,1179667,-68137.6,-2042590
4/2/2006,1047557, ,1011557,38522.3,-2097640
4/3/2006,788447, ,1365825,-72851.3,-2081420
4/4/2006, ,-37849.3,2050836,67518.2,-2080500
4/5/2006, ,-862736,1582214,43573.7,-763052
4/6/2006, ,-424436,1233217,-44726.8,-764055
4/7/2006,41132, ,1699766,-36732.5,-1704160
4/8/2006, ,-116305,1793558,64120,-1741370
4/9/2006,485783, ,1404294,5050.06,-1895130
4/10/2006, ,-144934,1337571,-46816.9,-1145820
4/11/2006, ,-430117,1237208,-42852,-764239
4/12/2006, ,-262729,1103612,-76143.5,-764739
4/13/2006,815284, ,1048668,-84537.6,-1779410
4/14/2006,534432, ,1368814,-46154.9,-1857090
4/15/2006, ,-207658,1351505,117500,-1261350
4/16/2006,883744, ,1055331,-93733.4,-1845340
4/17/2006,1008570, ,932096,-96352,-1844310
4/18/2006,741139, ,857554,-73674.8,-1525020
4/19/2006,781363, ,798430,-85391.3,-1494400
4/20/2006,1205554, ,751038,-92718.7,-1863870
4/21/2006,1247379, ,712801,-97707,-1862470
4/22/2006, ,-1005500,2962410,-95886.3,-1861020
4/23/2006, ,-5565700,6724934,706833,-1866060
4/24/2006, ,-6423720,8490781,232218,-2299270
4/25/2006, ,-3329530,5714863,82282.3,-2467610
4/26/2006, ,-1669530,4210453,-65814.3,-2475110
4/27/2006, ,-2479700,3547612,-76734.6,-991177
4/28/2006, ,-2060490,2919424,-78243.9,-780685
4/29/2006,114397, ,2395146,-75844.4,-2433700
4/30/2006,127230, ,1851643,-80434.4,-1898440
5/1/2006,741907, ,1355262,-89047.2,-2008120
5/2/2006,1644601, ,1028433,-96778.3,-2576260
5/3/2006,1817391, ,849446,-92490.6,-2574350
5/4/2006,1919950, ,749816,-97531,-2572230
5/5/2006,1981818, ,690528,-102341,-2570000
5/6/2006,1450521, ,654985,-117928,-1987580
5/7/2006,1368430, ,635024,-107314,-1896140
