Reservoir Inflows and Outflows
"Scenario: GridMet, Reservoir: Lake Ontelaunee"
Cubic Meter
"Sources and Destinations","Increase in Storage for Lake Ontelaunee","Inflow from Upstream","Net Evaporation","Outflow to Downstream"
6/5/2003,0,1714695,0,-1714700
6/6/2003,0,1201524,0,-1201520
6/7/2003,0,3796737,0,-3796740
6/8/2003,0,2051169,0,-2051170
6/9/2003,0,1498711,0,-1498710
6/10/2003,0,1117815,0,-1117810
6/11/2003,0,1296457,0,-1296460
6/12/2003,0,2085378,0,-2085380
6/13/2003,0,1627887,0,-1627890
6/14/2003,0,1438071,0,-1438070
6/15/2003,0,1019580,0,-1019580
6/16/2003,0,862187,0,-862187
6/17/2003,0,1005915,0,-1005910
6/18/2003,0,1466532,0,-1466530
6/19/2003,0,1322417,0,-1322420
6/20/2003,0,16157934,0,-16157900
6/21/2003,0,4605935,0,-4605940
6/22/2003,0,4038882,0,-4038880
6/23/2003,0,2372667,0,-2372670
6/24/2003,0,1760565,0,-1760570
6/25/2003,0,1421835,0,-1421840
6/26/2003,0,1210706,0,-1210710
6/27/2003,0,1075272,0,-1075270
6/28/2003,0,957770,0,-957770
6/29/2003,0,881478,0,-881478
6/30/2003,0,820473,0,-820473
7/1/2003,0,769827,0,-769827
7/2/2003,0,726036,0,-726036
7/3/2003,0,684957,0,-684957
7/4/2003,0,647834,0,-647834
7/5/2003,0,627720,0,-627720
7/6/2003,0,585331,0,-585331
7/7/2003,0,705943,0,-705943
7/8/2003,0,538303,0,-538303
7/9/2003,0,520978,0,-520978
7/10/2003,0,557950,0,-557950
7/11/2003,0,506958,0,-506958
7/12/2003,0,459625,0,-459625
7/13/2003,0,437987,0,-437987
7/14/2003,0,417137,0,-417137
7/15/2003,0,394720,0,-394720
7/16/2003,0,375437,0,-375437
7/17/2003,0,358435,0,-358435
7/18/2003,0,599003,0,-599003
7/19/2003,0,362893,0,-362893
7/20/2003,0,342355,0,-342355
7/21/2003,0,7365478,0,-7365480
7/22/2003,0,4397234,0,-4397230
7/23/2003,0,5752689,0,-5752690
7/24/2003,0,2400807,0,-2400810
7/25/2003,0,1591108,0,-1591110
7/26/2003,0,1136062,0,-1136060
7/27/2003,0,1244678,0,-1244680
7/28/2003,0,1000945,0,-1000950
7/29/2003,0,769360,0,-769360
7/30/2003,0,661662,0,-661662
7/31/2003,0,596166,0,-596166
8/1/2003,0,693636,0,-693636
8/2/2003,0,549591,0,-549591
8/3/2003,0,760244,0,-760244
8/4/2003,0,2754680,0,-2754680
8/5/2003,0,3120733,0,-3120730
8/6/2003,0,3095559,0,-3095560
8/7/2003,0,1727224,0,-1727220
8/8/2003,0,1340050,0,-1340050
8/9/2003,0,1502257,0,-1502260
8/10/2003,0,1110304,0,-1110300
8/11/2003,0,2734394,0,-2734390
8/12/2003,0,1555081,0,-1555080
8/13/2003,0,1111035,0,-1111040
8/14/2003,0,862885,0,-862885
8/15/2003,0,750452,0,-750452
8/16/2003,0,810768,0,-810768
8/17/2003,0,686988,0,-686988
8/18/2003,0,626000,0,-626000
8/19/2003,0,572412,0,-572412
8/20/2003,0,534740,0,-534740
8/21/2003,0,503723,0,-503723
8/22/2003,0,538524,0,-538524
8/23/2003,0,463195,0,-463195
8/24/2003,0,439171,0,-439171
8/25/2003,0,417432,0,-417432
8/26/2003,0,400912,0,-400912
8/27/2003,0,395134,0,-395134
8/28/2003,0,364363,0,-364363
8/29/2003,0,424611,0,-424611
8/30/2003,0,493365,0,-493365
8/31/2003,0,355835,0,-355835
9/1/2003,0,1179169,0,-1179170
9/2/2003,0,1329511,0,-1329510
9/3/2003,0,1551463,0,-1551460
9/4/2003,0,1442807,0,-1442810
9/5/2003,0,1039740,0,-1039740
9/6/2003,0,836672,0,-836672
9/7/2003,0,677716,0,-677716
9/8/2003,0,576608,0,-576608
9/9/2003,0,489483,0,-489483
9/10/2003,0,431006,0,-431006
9/11/2003,0,390633,0,-390633
9/12/2003,0,364829,0,-364829
9/13/2003,0,986698,0,-986698
9/14/2003,0,647930,0,-647930
9/15/2003,0,9058589,0,-9058590
9/16/2003,0,2206673,0,-2206670
9/17/2003,0,1902122,0,-1902120
9/18/2003,0,2895954,0,-2895950
9/19/2003,0,2901799,0,-2901800
9/20/2003,0,1868599,0,-1868600
9/21/2003,0,1288716,0,-1288720
9/22/2003,0,2309492,0,-2309490
9/23/2003,0,10124260,0,-10124300
9/24/2003,0,3440826,0,-3440830
9/25/2003,0,2668567,0,-2668570
9/26/2003,0,1914344,0,-1914340
9/27/2003,0,2303704,0,-2303700
9/28/2003,0,2064056,0,-2064060
9/29/2003,0,1664597,0,-1664600
9/30/2003,0,1395461,0,-1395460
10/1/2003,0,1226448,0,-1226450
10/2/2003,0,1076382,0,-1076380
10/3/2003,0,983121,0,-983121
10/4/2003,0,1231086,0,-1231090
10/5/2003,0,966525,0,-966525
10/6/2003,0,890762,0,-890762
10/7/2003,0,831312,0,-831312
10/8/2003,0,779849,0,-779849
10/9/2003,0,730977,0,-730977
10/10/2003,0,686809,0,-686809
10/11/2003,0,647233,0,-647233
10/12/2003,0,606548,0,-606548
10/13/2003,0,571353,0,-571353
10/14/2003,0,2933938,0,-2933940
10/15/2003,0,1192874,0,-1192870
10/16/2003,0,1287202,0,-1287200
10/17/2003,0,1712300,0,-1712300
10/18/2003,0,1314699,0,-1314700
10/19/2003,0,1168778,0,-1168780
10/20/2003,0,1035013,0,-1035010
10/21/2003,0,924648,0,-924648
10/22/2003,0,832346,0,-832346
10/23/2003,0,712967,0,-712967
10/24/2003,0,644342,0,-644342
10/25/2003,0,590118,0,-590118
10/26/2003,0,796597,0,-796597
10/27/2003,0,6801483,0,-6801480
10/28/2003,0,2875515,0,-2875510
10/29/2003,0,6801180,0,-6801180
10/30/2003,0,3092506,0,-3092510
10/31/2003,0,2239895,0,-2239900
11/1/2003,0,1744796,0,-1744800
11/2/2003,0,1494923,0,-1494920
11/3/2003,0,1271880,0,-1271880
11/4/2003,0,1058778,0,-1058780
11/5/2003,0,1255532,0,-1255530
11/6/2003,0,1185248,0,-1185250
11/7/2003,0,945247,0,-945247
11/8/2003,0,870659,0,-870659
11/9/2003,0,817954,0,-817954
11/10/2003,0,774354,0,-774354
11/11/2003,0,795858,0,-795858
11/12/2003,0,969478,0,-969478
11/13/2003,0,813123,0,-813123
11/14/2003,0,741155,0,-741155
11/15/2003,0,695312,0,-695312
11/16/2003,0,654336,0,-654336
11/17/2003,0,616626,0,-616626
11/18/2003,0,599066,0,-599066
11/19/2003,0,3304342,0,-3304340
11/20/2003,0,1504687,0,-1504690
11/21/2003,0,1355790,0,-1355790
11/22/2003,0,1209334,0,-1209330
11/23/2003,0,1070922,0,-1070920
11/24/2003,0,1550177,0,-1550180
11/25/2003,0,1213916,0,-1213920
11/26/2003,0,1064700,0,-1064700
11/27/2003,0,867981,0,-867981
11/28/2003,0,4126300,0,-4126300
11/29/2003,0,1975232,0,-1975230
11/30/2003,0,1629864,0,-1629860
12/1/2003,0,1388186,0,-1388190
12/2/2003,0,1182733,0,-1182730
12/3/2003,0,1054132,0,-1054130
12/4/2003,0,961617,0,-961617
12/5/2003,0,994184,0,-994184
12/6/2003,0,824612,0,-824612
12/7/2003,0,744456,0,-744456
12/8/2003,0,687508,0,-687508
12/9/2003,0,642665,0,-642665
12/10/2003,0,944646,0,-944646
12/11/2003,0,6435724,0,-6435720
12/12/2003,0,2174164,0,-2174160
12/13/2003,0,2629416,0,-2629420
12/14/2003,0,3794245,0,-3794250
12/15/2003,0,1924664,0,-1924660
12/16/2003,0,1651439,0,-1651440
12/17/2003,0,3217882,0,-3217880
12/18/2003,0,1726403,0,-1726400
12/19/2003,0,1320274,0,-1320270
12/20/2003,0,1125798,0,-1125800
12/21/2003,0,1004106,0,-1004110
12/22/2003,0,912542,0,-912542
12/23/2003,0,843648,0,-843648
12/24/2003,0,4117693,0,-4117690
12/25/2003,0,1244427,0,-1244430
12/26/2003,0,1710670,0,-1710670
12/27/2003,0,1945412,0,-1945410
12/28/2003,0,1934970,0,-1934970
12/29/2003,0,1846544,0,-1846540
12/30/2003,0,1866965,0,-1866970
12/31/2003,0,1559361,0,-1559360
1/1/2004,0,1349446,0,-1349450
1/2/2004,0,1274395,0,-1274400
1/3/2004,0,1267036,0,-1267040
1/4/2004,0,2740844,0,-2740840
1/5/2004,0,1949328,0,-1949330
1/6/2004,0,1404043,0,-1404040
1/7/2004,0,1215965,0,-1215960
1/8/2004,0,1090108,0,-1090110
1/9/2004,0,994845,0,-994845
1/10/2004,0,918725,0,-918725
1/11/2004,0,851909,0,-851909
1/12/2004,0,770406,0,-770406
1/13/2004,0,706162,0,-706162
1/14/2004,0,657340,0,-657340
1/15/2004,0,617490,0,-617490
1/16/2004,0,583326,0,-583326
1/17/2004,0,552960,0,-552960
1/18/2004,0,567195,0,-567195
1/19/2004,0,502372,0,-502372
1/20/2004,0,479301,0,-479301
1/21/2004,0,457965,0,-457965
1/22/2004,0,438013,0,-438013
1/23/2004,0,419277,0,-419277
1/24/2004,0,401720,0,-401720
1/25/2004,0,385222,0,-385222
1/26/2004,0,369499,0,-369499
1/27/2004,0,354610,0,-354610
1/28/2004,0,340491,0,-340491
1/29/2004,0,327130,0,-327130
1/30/2004,0,314496,0,-314496
1/31/2004,0,302453,0,-302453
2/1/2004,0,290987,0,-290987
2/2/2004,0,280048,0,-280048
2/3/2004,0,572996,0,-572996
2/4/2004,0,514270,0,-514270
2/5/2004,0,671453,0,-671453
2/6/2004,0,5107116,0,-5107120
2/7/2004,0,1605012,0,-1605010
2/8/2004,0,944880,0,-944880
2/9/2004,0,1547069,0,-1547070
2/10/2004,0,2267337,0,-2267340
2/11/2004,0,2369821,0,-2369820
2/12/2004,0,2052815,0,-2052810
2/13/2004,0,2359572,0,-2359570
2/14/2004,0,2156614,0,-2156610
2/15/2004,0,1338220,0,-1338220
2/16/2004,0,1039347,0,-1039350
2/17/2004,0,868670,0,-868670
2/18/2004,0,765177,0,-765177
2/19/2004,0,825096,0,-825096
2/20/2004,0,857470,0,-857470
2/21/2004,0,763194,0,-763194
2/22/2004,0,583622,0,-583622
2/23/2004,0,525864,0,-525864
2/24/2004,0,800574,0,-800574
2/25/2004,0,526918,0,-526918
2/26/2004,0,521445,0,-521445
2/27/2004,0,492967,0,-492967
2/28/2004,0,452243,0,-452243
3/1/2004,0,404816,0,-404816
3/2/2004,0,411678,0,-411678
3/3/2004,0,363182,0,-363182
3/4/2004,0,526559,0,-526559
3/5/2004,0,530202,0,-530202
3/6/2004,0,1016986,0,-1016990
3/7/2004,0,814272,0,-814272
3/8/2004,0,699437,0,-699437
3/9/2004,0,501948,0,-501948
3/10/2004,0,498996,0,-498996
3/11/2004,0,480803,0,-480803
3/12/2004,0,450701,0,-450701
3/13/2004,0,418692,0,-418692
3/14/2004,0,380347,0,-380347
3/15/2004,0,345931,0,-345931
3/16/2004,0,713240,0,-713240
3/17/2004,0,549335,0,-549335
3/18/2004,0,682433,0,-682433
3/19/2004,0,893265,0,-893265
3/20/2004,0,920084,0,-920084
3/21/2004,0,819153,0,-819153
3/22/2004,0,732805,0,-732805
3/23/2004,0,667232,0,-667232
3/24/2004,0,646811,0,-646811
3/25/2004,0,703888,0,-703888
3/26/2004,0,507594,0,-507594
3/27/2004,0,567352,0,-567352
3/28/2004,0,404263,0,-404263
3/29/2004,0,362660,0,-362660
3/30/2004,0,388343,0,-388343
3/31/2004,0,376553,0,-376553
4/1/2004,0,1270038,0,-1270040
4/2/2004,0,483586,0,-483586
4/3/2004,0,398365,0,-398365
4/4/2004,0,508553,0,-508553
4/5/2004,0,406454,0,-406454
4/6/2004,0,390513,0,-390513
4/7/2004,0,370150,0,-370150
4/8/2004,0,691981,0,-691981
4/9/2004,0,458137,0,-458137
4/10/2004,0,402252,0,-402252
4/11/2004,0,366209,0,-366209
4/12/2004,0,1889099,0,-1889100
4/13/2004,0,2773136,0,-2773140
4/14/2004,0,1574617,0,-1574620
4/15/2004,0,1193558,0,-1193560
4/16/2004,0,917859,0,-917859
4/17/2004,0,745548,0,-745548
4/18/2004,0,626484,0,-626484
4/19/2004,0,542636,0,-542636
4/20/2004,0,460596,0,-460596
4/21/2004,0,440219,0,-440219
4/22/2004,0,476740,0,-476740
4/23/2004,0,491222,0,-491222
4/24/2004,0,377462,0,-377462
4/25/2004,0,727239,0,-727239
4/26/2004,0,2375693,0,-2375690
4/27/2004,0,1077452,0,-1077450
4/28/2004,0,996944,0,-996944
4/29/2004,0,884923,0,-884923
4/30/2004,0,741470,0,-741470
5/1/2004,0,619893,0,-619893
5/2/2004,0,1821144,0,-1821140
5/3/2004,0,1606892,0,-1606890
5/4/2004,0,979763,0,-979763
5/5/2004,0,829052,0,-829052
5/6/2004,0,665084,0,-665084
5/7/2004,0,706868,0,-706868
5/8/2004,0,582782,0,-582782
5/9/2004,0,680655,0,-680655
5/10/2004,0,523891,0,-523891
5/11/2004,0,459050,0,-459050
5/12/2004,0,418077,0,-418077
5/13/2004,0,386203,0,-386203
5/14/2004,0,575983,0,-575983
5/15/2004,0,1048717,0,-1048720
5/16/2004,0,557077,0,-557077
5/17/2004,0,526911,0,-526911
5/18/2004,0,474011,0,-474011
5/19/2004,0,577112,0,-577112
5/20/2004,0,460543,0,-460543
5/21/2004,0,444989,0,-444989
5/22/2004,0,385651,0,-385651
5/23/2004,0,338226,0,-338226
5/24/2004,0,329695,0,-329695
5/25/2004,0,303257,0,-303257
5/26/2004,0,1238596,0,-1238600
5/27/2004,0,783254,0,-783254
5/28/2004,0,576450,0,-576450
5/29/2004,0,504168,0,-504168
5/30/2004,0,462667,0,-462667
5/31/2004,0,1014244,0,-1014240
6/1/2004,0,925240,0,-925240
6/2/2004,0,866672,0,-866672
6/3/2004,0,591162,0,-591162
6/4/2004,0,458600,0,-458600
6/5/2004,0,2903252,0,-2903250
6/6/2004,0,1741038,0,-1741040
6/7/2004,0,1128396,0,-1128400
6/8/2004,0,812487,0,-812487
6/9/2004,0,631942,0,-631942
6/10/2004,0,778746,0,-778746
6/11/2004,0,824921,0,-824921
6/12/2004,0,626114,0,-626114
6/13/2004,0,498323,0,-498323
6/14/2004,0,591015,0,-591015
6/15/2004,0,996129,0,-996129
6/16/2004,0,587728,0,-587728
6/17/2004,0,1239551,0,-1239550
6/18/2004,0,684018,0,-684018
6/19/2004,0,562312,0,-562312
6/20/2004,0,489787,0,-489787
6/21/2004,0,439909,0,-439909
6/22/2004,0,766893,0,-766893
6/23/2004,0,493485,0,-493485
6/24/2004,0,421334,0,-421334
6/25/2004,0,612953,0,-612953
6/26/2004,0,395980,0,-395980
6/27/2004,0,355983,0,-355983
6/28/2004,0,527747,0,-527747
6/29/2004,0,368883,0,-368883
6/30/2004,0,341784,0,-341784
7/1/2004,0,356496,0,-356496
7/2/2004,0,309404,0,-309404
7/3/2004,0,274954,0,-274954
7/4/2004,0,263494,0,-263494
7/5/2004,0,271041,0,-271041
7/6/2004,0,235168,0,-235168
7/7/2004,0,304801,0,-304801
7/8/2004,0,226404,0,-226404
7/9/2004,0,211309,0,-211309
7/10/2004,0,200621,0,-200621
7/11/2004,0,191421,0,-191421
7/12/2004,0,11357142,0,-11357100
7/13/2004,0,1629823,0,-1629820
7/14/2004,0,4463264,0,-4463260
7/15/2004,0,1929394,0,-1929390
7/16/2004,0,1460393,0,-1460390
7/17/2004,0,1036485,0,-1036480
7/18/2004,0,3158636,0,-3158640
7/19/2004,0,1961720,0,-1961720
7/20/2004,0,1028763,0,-1028760
7/21/2004,0,763344,0,-763344
7/22/2004,0,651489,0,-651489
7/23/2004,0,2469594,0,-2469590
7/24/2004,0,1144416,0,-1144420
7/25/2004,0,1002697,0,-1002700
7/26/2004,0,777613,0,-777613
7/27/2004,0,3260560,0,-3260560
7/28/2004,0,1892217,0,-1892220
7/29/2004,0,1337979,0,-1337980
7/30/2004,0,1070772,0,-1070770
7/31/2004,0,1135083,0,-1135080
8/1/2004,0,1741990,0,-1741990
8/2/2004,0,1109510,0,-1109510
8/3/2004,0,887754,0,-887754
8/4/2004,0,1111558,0,-1111560
8/5/2004,0,774001,0,-774001
8/6/2004,0,677792,0,-677792
8/7/2004,0,617099,0,-617099
8/8/2004,0,565550,0,-565550
8/9/2004,0,518756,0,-518756
8/10/2004,0,484345,0,-484345
8/11/2004,0,486999,0,-486999
8/12/2004,0,6608618,0,-6608620
8/13/2004,0,3478388,0,-3478390
8/14/2004,0,1835409,0,-1835410
8/15/2004,0,1477680,0,-1477680
8/16/2004,0,1180199,0,-1180200
8/17/2004,0,972428,0,-972428
8/18/2004,0,833041,0,-833041
8/19/2004,0,741625,0,-741625
8/20/2004,0,2043121,0,-2043120
8/21/2004,0,3477052,0,-3477050
8/22/2004,0,1502258,0,-1502260
8/23/2004,0,1190530,0,-1190530
8/24/2004,0,991363,0,-991363
8/25/2004,0,855808,0,-855808
8/26/2004,0,761096,0,-761096
8/27/2004,0,689505,0,-689505
8/28/2004,0,634409,0,-634409
8/29/2004,0,563971,0,-563971
8/30/2004,0,741798,0,-741798
8/31/2004,0,541643,0,-541643
9/1/2004,0,511345,0,-511345
9/2/2004,0,480111,0,-480111
9/3/2004,0,453475,0,-453475
9/4/2004,0,429938,0,-429938
9/5/2004,0,408485,0,-408485
9/6/2004,0,389145,0,-389145
9/7/2004,0,370023,0,-370023
9/8/2004,0,1117291,0,-1117290
9/9/2004,0,802475,0,-802475
9/10/2004,0,532975,0,-532975
9/11/2004,0,527479,0,-527479
9/12/2004,0,503209,0,-503209
9/13/2004,0,469448,0,-469448
9/14/2004,0,434091,0,-434091
9/15/2004,0,547331,0,-547331
9/16/2004,0,430132,0,-430132
9/17/2004,0,3363850,0,-3363850
9/18/2004,0,20480460,0,-20480500
9/19/2004,0,3950172,0,-3950170
9/20/2004,0,2555350,0,-2555350
9/21/2004,0,1826032,0,-1826030
9/22/2004,0,1434450,0,-1434450
9/23/2004,0,1186408,0,-1186410
9/24/2004,0,1027649,0,-1027650
9/25/2004,0,882211,0,-882211
9/26/2004,0,763903,0,-763903
9/27/2004,0,754223,0,-754223
9/28/2004,0,12411433,0,-12411400
9/29/2004,0,2496221,0,-2496220
9/30/2004,0,2925367,0,-2925370
10/1/2004,0,2182319,0,-2182320
10/2/2004,0,1797132,0,-1797130
10/3/2004,0,1486748,0,-1486750
10/4/2004,0,1283816,0,-1283820
10/5/2004,0,1133267,0,-1133270
10/6/2004,0,948414,0,-948414
10/7/2004,0,846179,0,-846179
10/8/2004,0,775401,0,-775401
10/9/2004,0,721293,0,-721293
10/10/2004,0,676550,0,-676550
10/11/2004,0,637780,0,-637780
10/12/2004,0,603199,0,-603199
10/13/2004,0,581220,0,-581220
10/14/2004,0,744232,0,-744232
10/15/2004,0,1273122,0,-1273120
10/16/2004,0,773818,0,-773818
10/17/2004,0,733743,0,-733743
10/18/2004,0,1516948,0,-1516950
10/19/2004,0,1956064,0,-1956060
10/20/2004,0,1470591,0,-1470590
10/21/2004,0,1811365,0,-1811370
10/22/2004,0,1374450,0,-1374450
10/23/2004,0,1060036,0,-1060040
10/24/2004,0,889205,0,-889205
10/25/2004,0,783087,0,-783087
10/26/2004,0,695729,0,-695729
10/27/2004,0,627731,0,-627731
10/28/2004,0,579354,0,-579354
10/29/2004,0,669391,0,-669391
10/30/2004,0,1080171,0,-1080170
10/31/2004,0,664242,0,-664242
11/1/2004,0,643058,0,-643058
11/2/2004,0,619412,0,-619412
11/3/2004,0,595309,0,-595309
11/4/2004,0,1420269,0,-1420270
11/5/2004,0,946327,0,-946327
11/6/2004,0,868009,0,-868009
11/7/2004,0,743518,0,-743518
11/8/2004,0,658187,0,-658187
11/9/2004,0,598336,0,-598336
11/10/2004,0,553935,0,-553935
11/11/2004,0,517235,0,-517235
11/12/2004,0,1487580,0,-1487580
11/13/2004,0,819957,0,-819957
11/14/2004,0,766759,0,-766759
11/15/2004,0,717014,0,-717014
11/16/2004,0,668555,0,-668555
11/17/2004,0,622614,0,-622614
11/18/2004,0,580240,0,-580240
11/19/2004,0,541602,0,-541602
11/20/2004,0,739099,0,-739099
11/21/2004,0,550659,0,-550659
11/22/2004,0,507234,0,-507234
11/23/2004,0,462948,0,-462948
11/24/2004,0,1133503,0,-1133500
11/25/2004,0,1142973,0,-1142970
11/26/2004,0,844131,0,-844131
11/27/2004,0,1219720,0,-1219720
11/28/2004,0,9879839,0,-9879840
11/29/2004,0,3378220,0,-3378220
11/30/2004,0,2477484,0,-2477480
12/1/2004,0,5104076,0,-5104080
12/2/2004,0,2808498,0,-2808500
12/3/2004,0,1942875,0,-1942870
12/4/2004,0,1569141,0,-1569140
12/5/2004,0,1340634,0,-1340630
12/6/2004,0,1129264,0,-1129260
12/7/2004,0,1349724,0,-1349720
12/8/2004,0,1080443,0,-1080440
12/9/2004,0,1733737,0,-1733740
12/10/2004,0,2784198,0,-2784200
12/11/2004,0,1749243,0,-1749240
12/12/2004,0,1642208,0,-1642210
12/13/2004,0,1521975,0,-1521980
12/14/2004,0,1366120,0,-1366120
12/15/2004,0,1213314,0,-1213310
12/16/2004,0,1099818,0,-1099820
12/17/2004,0,980821,0,-980821
12/18/2004,0,872926,0,-872926
12/19/2004,0,799998,0,-799998
12/20/2004,0,740867,0,-740867
12/21/2004,0,693531,0,-693531
12/22/2004,0,652815,0,-652815
12/23/2004,0,3903227,0,-3903230
12/24/2004,0,1233710,0,-1233710
12/25/2004,0,1334714,0,-1334710
12/26/2004,0,1323111,0,-1323110
12/27/2004,0,1244760,0,-1244760
12/28/2004,0,1147448,0,-1147450
12/29/2004,0,1050810,0,-1050810
12/30/2004,0,961235,0,-961235
12/31/2004,0,817480,0,-817480
1/1/2005,0,727499,0,-727499
1/2/2005,0,680239,0,-680239
1/3/2005,0,1308909,0,-1308910
1/4/2005,0,768963,0,-768963
1/5/2005,0,2891752,0,-2891750
1/6/2005,0,2573939,0,-2573940
1/7/2005,0,1251772,0,-1251770
1/8/2005,0,3231871,0,-3231870
1/9/2005,0,1494479,0,-1494480
1/10/2005,0,1311855,0,-1311860
1/11/2005,0,1893212,0,-1893210
1/12/2005,0,1358332,0,-1358330
1/13/2005,0,1565860,0,-1565860
1/14/2005,0,6785926,0,-6785930
1/15/2005,0,3067254,0,-3067250
1/16/2005,0,2152520,0,-2152520
1/17/2005,0,1719554,0,-1719550
1/18/2005,0,1479725,0,-1479720
1/19/2005,0,1297673,0,-1297670
1/20/2005,0,1172599,0,-1172600
1/21/2005,0,1065650,0,-1065650
1/22/2005,0,940092,0,-940092
1/23/2005,0,859267,0,-859267
1/24/2005,0,797922,0,-797922
1/25/2005,0,747119,0,-747119
1/26/2005,0,726650,0,-726650
1/27/2005,0,667328,0,-667328
1/28/2005,0,632283,0,-632283
1/29/2005,0,600446,0,-600446
1/30/2005,0,570968,0,-570968
1/31/2005,0,543472,0,-543472
2/1/2005,0,517839,0,-517839
2/2/2005,0,493903,0,-493903
2/3/2005,0,475899,0,-475899
2/4/2005,0,700464,0,-700464
2/5/2005,0,1079267,0,-1079270
2/6/2005,0,1600280,0,-1600280
2/7/2005,0,608625,0,-608625
2/8/2005,0,602272,0,-602272
2/9/2005,0,739168,0,-739168
2/10/2005,0,714597,0,-714597
2/11/2005,0,630505,0,-630505
2/12/2005,0,590306,0,-590306
2/13/2005,0,537650,0,-537650
2/14/2005,0,2341603,0,-2341600
2/15/2005,0,1499340,0,-1499340
2/16/2005,0,1682122,0,-1682120
2/17/2005,0,876374,0,-876374
2/18/2005,0,784959,0,-784959
2/19/2005,0,714676,0,-714676
2/20/2005,0,721079,0,-721079
2/21/2005,0,754175,0,-754175
2/22/2005,0,808445,0,-808445
2/23/2005,0,710418,0,-710418
2/24/2005,0,615223,0,-615223
2/25/2005,0,555192,0,-555192
2/26/2005,0,606001,0,-606001
2/27/2005,0,503584,0,-503584
2/28/2005,0,581813,0,-581813
3/1/2005,0,677173,0,-677173
3/2/2005,0,541578,0,-541578
3/3/2005,0,448560,0,-448560
3/4/2005,0,423690,0,-423690
3/5/2005,0,603186,0,-603186
3/6/2005,0,864615,0,-864615
3/7/2005,0,988177,0,-988177
3/8/2005,0,984777,0,-984777
3/9/2005,0,576679,0,-576679
3/10/2005,0,545124,0,-545124
3/11/2005,0,660964,0,-660964
3/12/2005,0,689679,0,-689679
3/13/2005,0,542351,0,-542351
3/14/2005,0,483874,0,-483874
3/15/2005,0,431696,0,-431696
3/16/2005,0,388988,0,-388988
3/17/2005,0,356560,0,-356560
3/18/2005,0,331863,0,-331863
3/19/2005,0,310118,0,-310118
3/20/2005,0,521440,0,-521440
3/21/2005,0,321005,0,-321005
3/22/2005,0,286580,0,-286580
3/23/2005,0,4182415,0,-4182420
3/24/2005,0,770939,0,-770939
3/25/2005,0,752115,0,-752115
3/26/2005,0,721758,0,-721758
3/27/2005,0,2017494,0,-2017490
3/28/2005,0,11311996,0,-11312000
3/29/2005,0,3243861,0,-3243860
3/30/2005,0,2016814,0,-2016810
3/31/2005,0,1339675,0,-1339680
4/1/2005,0,1328501,0,-1328500
4/2/2005,0,12649601,0,-12649600
4/3/2005,0,6010091,0,-6010090
4/4/2005,0,2996297,0,-2996300
4/5/2005,0,1951096,0,-1951100
4/6/2005,0,1574666,0,-1574670
4/7/2005,0,2100302,0,-2100300
4/8/2005,0,1622970,0,-1622970
4/9/2005,0,1394340,0,-1394340
4/10/2005,0,1157725,0,-1157720
4/11/2005,0,1033450,0,-1033450
4/12/2005,0,950182,0,-950182
4/13/2005,0,883526,0,-883526
4/14/2005,0,826388,0,-826388
4/15/2005,0,772024,0,-772024
4/16/2005,0,725352,0,-725352
4/17/2005,0,683690,0,-683690
4/18/2005,0,645717,0,-645717
4/19/2005,0,611055,0,-611055
4/20/2005,0,579120,0,-579120
4/21/2005,0,550466,0,-550466
4/22/2005,0,617030,0,-617030
4/23/2005,0,1910284,0,-1910280
4/24/2005,0,714770,0,-714770
4/25/2005,0,792492,0,-792492
4/26/2005,0,1063159,0,-1063160
4/27/2005,0,1205778,0,-1205780
4/28/2005,0,978257,0,-978257
4/29/2005,0,873915,0,-873915
4/30/2005,0,1434745,0,-1434740
5/1/2005,0,982013,0,-982013
5/2/2005,0,835452,0,-835452
5/3/2005,0,694323,0,-694323
5/4/2005,0,613539,0,-613539
5/5/2005,0,554734,0,-554734
5/6/2005,0,512709,0,-512709
5/7/2005,0,479568,0,-479568
5/8/2005,0,446965,0,-446965
5/9/2005,0,420471,0,-420471
5/10/2005,0,397593,0,-397593
5/11/2005,0,377532,0,-377532
5/12/2005,0,360206,0,-360206
5/13/2005,0,344490,0,-344490
5/14/2005,0,546902,0,-546902
5/15/2005,0,437120,0,-437120
5/16/2005,0,352084,0,-352084
5/17/2005,0,335162,0,-335162
5/18/2005,0,324384,0,-324384
5/19/2005,0,312453,0,-312453
5/20/2005,0,741057,0,-741057
5/21/2005,0,457540,0,-457540
5/22/2005,0,415705,0,-415705
5/23/2005,0,366512,0,-366512
5/24/2005,0,372096,0,-372096
5/25/2005,0,370544,0,-370544
5/26/2005,0,318037,0,-318037
5/27/2005,0,320118,0,-320118
5/28/2005,0,747237,0,-747237
5/29/2005,0,481760,0,-481760
5/30/2005,0,441566,0,-441566
5/31/2005,0,367527,0,-367527
6/1/2005,0,327806,0,-327806
6/2/2005,0,293111,0,-293111
6/3/2005,0,914756,0,-914756
6/4/2005,0,628249,0,-628249
6/5/2005,0,442699,0,-442699
6/6/2005,0,1222711,0,-1222710
6/7/2005,0,597346,0,-597346
6/8/2005,0,472945,0,-472945
6/9/2005,0,644140,0,-644140
6/10/2005,0,498765,0,-498765
6/11/2005,0,563500,0,-563500
6/12/2005,0,384593,0,-384593
6/13/2005,0,322918,0,-322918
6/14/2005,0,275609,0,-275609
