Reservoir Inflows and Outflows
"Scenario: GridMet, Reservoir: Cannonsville Reservoir"
Cubic Meter
"Sources and Destinations","Decrease in Storage for Cannonsville Reservoir","Increase in Storage for Cannonsville Reservoir","Inflow from Upstream","Net Evaporation","Outflow to Downstream"
11/20/2004, ,-706758,1227521,-26843.4,-493920
11/21/2004, ,-535917,963446,22902.9,-450432
11/22/2004, ,-251292,827100,-33216.1,-542592
11/23/2004, ,-352199,784338,-28363.5,-403776
11/24/2004, ,-2635400,3082724,-30013.9,-417312
11/25/2004, ,-4482540,4669778,187737,-374976
11/26/2004, ,-1947820,2130835,195415,-378432
11/27/2004, ,-1329390,1646128,-21245.6,-295488
11/28/2004, ,-711680,12359624,-19875.8,-11628100
11/29/2004, ,-131579,6621543,714697,-7204660
11/30/2004, ,-131579,4546094,-23075.8,-4391440
12/1/2004, ,-131579,12197667,-20271,-12045800
12/2/2004, ,-131579,8912522,417971,-9198920
12/3/2004, ,-131579,5414852,-22904.7,-5260370
12/4/2004, ,-131579,3982807,-14384.7,-3836840
12/5/2004, ,-131579,3066854,-16543.7,-2918730
12/6/2004, ,-131579,2272324,-17960.8,-2122780
12/7/2004, ,-131579,2427000,-15805.2,-2279620
12/8/2004, ,-131579,2006460,28332.6,-1903210
12/9/2004, ,-131579,2386290,-14856.1,-2239860
12/10/2004, ,-131579,5324752,154654,-5347830
12/11/2004, ,-131579,4692398,366721,-4927540
12/12/2004, ,-131579,3230285,160650,-3259360
12/13/2004, ,-131579,3248969,32928,-3150320
12/14/2004, ,-131579,2568223,26989.4,-2463630
12/15/2004, ,-131579,2294322,-15874.8,-2146870
12/16/2004, ,-131579,2077359,-11978.7,-1933800
12/17/2004, ,-131579,1844214,-13752.9,-1698880
12/18/2004, ,-108453,1575410,-15436.9,-1451520
12/19/2004,119375, ,1347432,-15286.7,-1451520
12/20/2004,279357, ,1185992,-13829.1,-1451520
12/21/2004,389594, ,1069979,-8052.51,-1451520
12/22/2004,471924, ,989620,-10024.1,-1451520
12/23/2004, ,-1941270,7617168,-15292.2,-5660610
12/24/2004, ,-131579,3013090,329070,-3210580
12/25/2004, ,-131579,1865324,-20644.3,-1713100
12/26/2004, ,-131579,1877194,-10585.5,-1735030
12/27/2004, ,-131579,1855041,-12202.5,-1711260
12/28/2004, ,-131579,1805423,-9616.38,-1664230
12/29/2004, ,-131579,1731715,-8290.64,-1591850
12/30/2004, ,-131579,1642954,-12990.8,-1498380
12/31/2004, ,-79934.6,1549816,-18361.6,-1451520
1/1/2005,163055, ,1302950,-14484.4,-1451520
1/2/2005,125750, ,1350801,-25030.9,-1451520
1/3/2005, ,-735186,4144446,10166.6,-3419430
1/4/2005, ,-131579,2572117,177185,-2617720
1/5/2005, ,-131579,1681854,54.9165,-1550330
1/6/2005, ,-56202.6,1430751,76971.5,-1451520
1/7/2005,101998, ,1288141,61381.3,-1451520
1/8/2005,235127, ,1232217,-15823.6,-1451520
1/9/2005,263032, ,1183266,5222.24,-1451520
1/10/2005,335262, ,1133680,-17422.5,-1451520
1/11/2005,396534, ,1072617,-17631.7,-1451520
1/12/2005, ,-252160,1717825,-14145.2,-1451520
1/13/2005, ,-67320,1504745,14094.9,-1451520
1/14/2005, ,-2140480,6622962,10718.8,-4493200
1/15/2005, ,-131579,2799922,480595,-3148940
1/16/2005, ,-131579,1873425,-13362.5,-1728480
1/17/2005, ,-131579,1860406,-11639.2,-1717190
1/18/2005, ,-131579,1818874,-11486.7,-1675810
1/19/2005, ,-131579,1757114,-7894.79,-1617640
1/20/2005, ,-131579,1661930,-5949.41,-1524400
1/21/2005, ,-86803.8,1547665,-9341.1,-1451520
1/22/2005,87257.3, ,1370140,-5876.78,-1451520
1/23/2005,255246, ,1202340,-6066.52,-1451520
1/24/2005,377930, ,1080382,-6791.83,-1451520
1/25/2005,469192, ,988770,-6442.13,-1451520
1/26/2005,542406, ,917905,-8791,-1451520
1/27/2005,599610, ,863812,-11902,-1451520
1/28/2005,636324, ,822685,-7488.55,-1451520
1/29/2005,1787790, ,789384,-6532.57,-2570640
1/30/2005,1826356, ,760797,-9012.35,-2578140
1/31/2005,1856961, ,736102,-14921.9,-2578140
2/1/2005,1875114, ,714704,-11676.9,-2578140
2/2/2005,645022, ,695799,-12196.3,-1328620
2/3/2005,662782, ,678756,-12913.3,-1328620
2/4/2005,432128, ,915911,-15785.5,-1332250
2/5/2005, ,-407177,1708764,27037.3,-1328620
2/6/2005, ,-1821000,3168316,-18695.8,-1328620
2/7/2005, ,-3756740,5056209,29156.5,-1328620
2/8/2005, ,-6188280,7416068,100841,-1328620
2/9/2005, ,-2425700,13102625,207026,-10884000
2/10/2005, ,-131579,9976056,388821,-10233300
2/11/2005, ,-131579,5064838,249795,-5183050
2/12/2005, ,-131579,3966046,-20989.6,-3813480
2/13/2005, ,-131579,3477995,-17403.6,-3329010
2/14/2005, ,-131579,2895244,-17154.4,-2746510
2/15/2005, ,-131579,4118784,-17180.3,-3970020
2/16/2005, ,-131579,7116546,84454.1,-7069420
2/17/2005, ,-131579,3722310,281542,-3872270
2/18/2005, ,-131579,2369898,-21804.1,-2216520
2/19/2005, ,-131579,1909018,-16141.1,-1761300
2/20/2005, ,-131579,1627488,-11977.2,-1483930
2/21/2005, ,-95822.4,1439754,-15307.2,-1328620
2/22/2005, ,-167336,1515147,-18419.3,-1329390
2/23/2005, ,-33561.5,1227442,134744,-1328620
2/24/2005,250208, ,1100434,-22017.3,-1328620
2/25/2005,344530, ,998138,-14042.5,-1328620
2/26/2005,419063, ,924302,-14740.4,-1328620
2/27/2005,476681, ,867725,-15781,-1328620
2/28/2005,522598, ,822978,-16951.6,-1328620
3/1/2005,561932, ,786285,-19592.8,-1328620
3/2/2005,595070, ,754086,-20530.9,-1328620
3/3/2005,607619, ,728064,-18428.6,-1317250
3/4/2005,639105, ,706290,-16769.8,-1328620
3/5/2005,658388, ,687245,-17007.6,-1328620
3/6/2005,673754, ,670116,-15245.8,-1328620
3/7/2005, ,-1529390,2875947,-17929,-1328620
3/8/2005, ,-1619370,2745943,202054,-1328620
3/9/2005,3600.34, ,933609,391415,-1328620
3/10/2005,383544, ,962783,-17703.2,-1328620
3/11/2005,363000, ,979172,-13547.3,-1328620
3/12/2005,292512, ,1055070,-18957.7,-1328620
3/13/2005,305003, ,1045406,-21783.6,-1328620
3/14/2005, ,-833957,966289,121926,-254258
3/15/2005,425577, ,909686,-21637.5,-1313630
3/16/2005,503907, ,834265,-20916.9,-1317250
3/17/2005,516798, ,775824,36002.9,-1328620
3/18/2005,360616, ,968324,-26684.9,-1302260
3/19/2005, ,-1127330,2321491,134459,-1328620
3/20/2005, ,-6899690,8212822,15494,-1328620
3/21/2005, ,-412836,9610226,240460,-9437850
3/22/2005, ,-131579,11829238,137532,-11835200
3/23/2005, ,-131579,15889349,21405.3,-15779200
3/24/2005, ,-131579,10478236,174691,-10521300
3/25/2005, ,-131579,6784658,44157.1,-6697240
3/26/2005, ,-131579,4830316,6863.59,-4705600
3/27/2005, ,-131579,5606344,-29143.6,-5445620
3/28/2005, ,-131579,22696634,9776.44,-22574800
3/29/2005, ,-131579,17517252,555773,-17941400
3/30/2005, ,-131579,8875376,346649,-9090450
3/31/2005, ,-131579,4544500,-15713.5,-4397210
4/1/2005, ,-131579,3083152,-56955.6,-2894620
4/2/2005, ,-131579,30031202,-56703.3,-29842900
4/3/2005, ,-131579,18366544,1223520,-19458500
4/4/2005, ,-131579,8738471,173169,-8780060
4/5/2005, ,-131579,5329867,-43114.4,-5155170
4/6/2005, ,-131579,3570805,-54468.3,-3384760
4/7/2005, ,-131579,3240225,-73218.3,-3035430
4/8/2005, ,-131579,2373065,-17308.4,-2224180
4/9/2005, ,-131579,1943094,-61250,-1750260
4/10/2005, ,-131579,1547792,-59838.6,-1356370
4/11/2005, ,-131579,1268336,-63974.7,-1072780
4/12/2005, ,-131579,1115633,-56774.5,-927279
4/13/2005, ,-131579,1021340,-53581.2,-836180
4/14/2005, ,-131579,955607,-54042.7,-769985
4/15/2005, ,-131579,904784,-60737.6,-712467
4/16/2005, ,-131579,865221,-60989,-672653
4/17/2005, ,-131579,833046,-63584.7,-637883
4/18/2005, ,-131579,805943,-69167.1,-605197
4/19/2005, ,-131579,782570,-78319.6,-572671
4/20/2005, ,-131579,889660,-79489.8,-678591
4/21/2005, ,-131579,783456,6045.97,-657923
4/22/2005, ,-131579,833941,-80868.6,-621493
4/23/2005, ,-131579,2752642,4275.04,-2625340
4/24/2005, ,-131579,3869374,289926,-4027720
4/25/2005, ,-131579,2127180,165805,-2161410
4/26/2005, ,-131579,1814034,-42523.4,-1639930
4/27/2005, ,-131579,3833842,-41352.5,-3660910
4/28/2005, ,-131579,3701951,10711.7,-3581080
4/29/2005, ,-131579,2939125,-38732.2,-2768810
4/30/2005, ,-131579,3213202,-43534.3,-3038090
5/1/2005, ,-131579,2708399,11292.9,-2588110
5/2/2005, ,-131579,2384125,-63445.7,-2189100
5/3/2005, ,-131579,1861476,-15158,-1714740
5/4/2005, ,-131579,1495375,-41008.8,-1322790
5/5/2005, ,-131579,1225470,-63759,-1030130
5/6/2005, ,-131579,1041506,-63847.3,-846080
5/7/2005, ,-131579,921186,-70512.4,-719095
5/8/2005, ,-131579,836002,-72465.8,-631957
5/9/2005, ,-131579,774825,-82766.7,-560479
5/10/2005,806755, ,727575,-79906.6,-1454420
5/11/2005,1454707, ,692119,-100908,-2045920
5/12/2005,1727659, ,666887,-112998,-2281550
5/13/2005,1725806, ,654202,-98460.6,-2281550
5/14/2005,1176931, ,1169187,-64569.9,-2281550
5/15/2005,1166310, ,982884,132354,-2281550
5/16/2005,847821, ,799454,-58102.9,-1589170
5/17/2005,951246, ,703421,-84122.7,-1570540
5/18/2005,960634, ,686259,-76348.4,-1570540
5/19/2005,975196, ,674685,-79335.9,-1570540
5/20/2005,981239, ,661514,-76078.9,-1566670
5/21/2005,926241, ,728710,-84407.2,-1570540
5/22/2005,773319, ,853216,-59860.9,-1566670
5/23/2005,756839, ,852372,-42537,-1566670
5/24/2005,649815, ,973321,-56462.3,-1566670
5/25/2005,599203, ,989388,-18046.3,-1570540
5/26/2005,725304, ,892601,-47360.1,-1570540
5/27/2005,665425, ,991721,-86600.9,-1570540
5/28/2005,95598.1, ,1502531,-27584.6,-1570540
5/29/2005,254372, ,1271619,44553.6,-1570540
5/30/2005,168684, ,1480357,-89866,-1559170
5/31/2005,486803, ,1111914,-28172.5,-1570540
6/1/2005,1354841, ,942081,-87881.2,-2209040
6/2/2005,1357732, ,840970,-104124,-2094580
6/3/2005,1604773, ,784961,-109972,-2279760
6/4/2005,1327732, ,697196,-86302.6,-1938630
6/5/2005,1622124, ,633661,-118480,-2137310
6/6/2005,1355928, ,1068984,-121551,-2303360
6/7/2005,1292735, ,807653,190732,-2291120
6/8/2005,1788141, ,679630,-121355,-2346420
6/9/2005,1754078, ,724974,-80795,-2398260
6/10/2005,1378567, ,763391,-111333,-2030620
6/11/2005,1304325, ,792178,-84741.7,-2011760
6/12/2005,1594799, ,833242,-121639,-2306400
6/13/2005,1016644, ,1462965,-59925,-2419680
6/14/2005,1360104, ,1123593,-9834.38,-2473860
6/15/2005,1772849, ,859469,-115993,-2516330
6/16/2005,282017, ,2286324,-124551,-2443790
6/17/2005, ,-264458,2519988,109607,-2365140
6/18/2005,486944, ,1763432,8632.16,-2259010
6/19/2005,1159770, ,1319676,-89829,-2389620
6/20/2005,1473726, ,1117478,-101363,-2489840
6/21/2005,1479661, ,944945,-111886,-2312720
6/22/2005,1465582, ,934253,-114468,-2285370
6/23/2005,1899962, ,776903,-56698.4,-2620170
6/24/2005,1848346, ,668637,-102766,-2414220
6/25/2005,1758377, ,595444,-115819,-2238000
6/26/2005,1978846, ,578618,-129422,-2428040
6/27/2005,1693990, ,574982,-140883,-2128090
6/28/2005,1869144, ,566788,-140042,-2295890
6/29/2005,478611, ,1913392,-109649,-2282350
6/30/2005,1214964, ,1138949,249371,-2603280
7/1/2005, ,-23963.1,1765768,-138048,-1603760
7/2/2005,289678, ,1293763,-19823.8,-1563620
7/3/2005,807638, ,829579,-123767,-1513450
7/4/2005,1031816, ,791993,-109689,-1714120
7/5/2005, ,-567211,1930329,-121132,-1241990
7/6/2005, ,-2173920,3299704,106729,-1232510
7/7/2005, ,-4479350,5690487,-10404.6,-1200740
7/8/2005, ,-5036370,6491212,187929,-1642770
7/9/2005, ,-2464680,4154010,167764,-1857100
7/10/2005, ,-720456,2562568,-73364.9,-1768750
7/11/2005, ,-227422,1864548,-122840,-1514290
7/12/2005,613741, ,1630208,-120125,-2123820
7/13/2005,594225, ,1361157,-69019.2,-1886360
7/14/2005,759212, ,1298382,-78141.8,-1979450
7/15/2005, ,-34400.8,1435161,-128116,-1272640
7/16/2005,931862, ,992923,-71309.6,-1853480
7/17/2005,739478, ,939568,-97870.4,-1581180
7/18/2005,1367242, ,904380,-39101.8,-2232520
7/19/2005,1423194, ,750714,-96907.4,-2077000
7/20/2005,1438133, ,652211,-106990,-1983350
7/21/2005,1840954, ,580496,-124548,-2296900
7/22/2005,1582287, ,824446,-118470,-2288260
7/23/2005,1752162, ,769766,-66719.7,-2455210
7/24/2005,1174417, ,577719,-118284,-1633850
7/25/2005,2190226, ,613777,-102189,-2701810
7/26/2005,2854631, ,671141,-118976,-3406800
7/27/2005,1847849, ,775873,-27414.4,-2596310
7/28/2005,3308802, ,575284,-42504,-3841580
7/29/2005,2474369, ,536408,-105349,-2905430
7/30/2005,2303206, ,518644,-112355,-2709500
7/31/2005,1904158, ,972153,-112598,-2763710
8/1/2005,3003393, ,837077,45180.7,-3885650
8/2/2005,3249893, ,586887,-124627,-3712150
8/3/2005,3119813, ,545126,-129348,-3535590
8/4/2005,2409213, ,523666,-107858,-2825020
8/5/2005,2637304, ,540997,-112058,-3066240
8/6/2005,2307038, ,502577,-95387.7,-2714230
8/7/2005,3468043, ,492128,-96266.4,-3863900
8/8/2005,3043518, ,652386,-99445.9,-3596460
8/9/2005,2738908, ,489677,33280.9,-3261870
8/10/2005,3582412, ,477404,-103792,-3956020
8/11/2005,3140053, ,471678,-105126,-3506600
8/12/2005,3094425, ,696480,-104677,-3686230
8/13/2005,3051069, ,1068299,36903.4,-4156270
8/14/2005,2522561, ,1247271,137691,-3907520
8/15/2005,2162246, ,747899,-59343.7,-2850800
8/16/2005,3207625, ,781134,-102551,-3886210
8/17/2005,2932026, ,645430,-65277.7,-3512180
8/18/2005,3398554, ,590651,-90316.1,-3898890
8/19/2005,3274219, ,586643,-84466.3,-3776400
8/20/2005,2925665, ,592045,-84963,-3432750
8/21/2005,2464400, ,821862,-81778.7,-3204480
8/22/2005,3304050, ,695817,-73417.4,-3926450
8/23/2005,3673024, ,541175,-88889.3,-4125310
8/24/2005,3403624, ,513472,-76577.1,-3840520
8/25/2005,3093690, ,493308,-74546.1,-3512450
8/26/2005,3439906, ,478761,-78447.2,-3840220
8/27/2005,3664177, ,478422,-82203.9,-4060400
8/28/2005,2929368, ,568596,-77593.4,-3420370
8/29/2005,2623263, ,677356,-59041.4,-3241580
8/30/2005,1512102, ,3051422,-3256.65,-4560270
8/31/2005, ,-3117280,6480400,336347,-3699470
9/1/2005, ,-864614,3820026,228221,-3183630
9/2/2005,1421178, ,1937796,-85311.6,-3273660
9/3/2005,1691830, ,1920075,-82672.2,-3529230
9/4/2005,1577017, ,1789958,-79212.9,-3287760
9/5/2005,2910032, ,1574289,-73358.5,-4410960
9/6/2005,2611327, ,1330884,-74877.6,-3867330
9/7/2005,2177590, ,1051338,-78264.6,-3150660
9/8/2005,2797092, ,804536,-76266.2,-3525360
9/9/2005,3316470, ,653113,-76398.9,-3893180
9/10/2005,2306392, ,571761,-61512.6,-2816640
9/11/2005,1525344, ,526448,-56504.6,-1995290
9/12/2005,2571105, ,499595,-53162.1,-3017540
9/13/2005,3959923, ,482820,-58253.9,-4384490
9/14/2005,3195960, ,648947,-67948.8,-3776960
9/15/2005,2258612, ,803353,-30776.5,-3031190
9/16/2005,3381814, ,864290,-47617.3,-4198490
9/17/2005,1971121, ,914992,-4603.48,-2881510
9/18/2005,3722884, ,655621,-46167.5,-4332340
9/19/2005,2401947, ,581853,-59090.2,-2924710
9/20/2005,2065699, ,689782,-56691.2,-2698790
9/21/2005,2372247, ,657561,-41819,-2987990
9/22/2005,2998034, ,586640,-52814.9,-3531860
9/23/2005,2918418, ,558578,-56005.6,-3420990
9/24/2005,2785486, ,530805,-59875,-3256420
9/25/2005,1473402, ,595622,-43808.1,-2025220
9/26/2005, ,-1422110,4260560,-8160.3,-2830290
9/27/2005, ,-634271,2581513,368520,-2315760
9/28/2005,1843630, ,1388413,-40427.1,-3191620
9/29/2005,84352, ,3531274,-42709,-3572920
9/30/2005,980040, ,2645391,124157,-3749590
10/1/2005,1285264, ,2060024,-36409.2,-3308880
10/2/2005,513231, ,1910939,-42982,-2381190
10/3/2005,2146855, ,1683019,-47984.9,-3781890
10/4/2005,424885, ,1315841,-48303.7,-1692420
10/5/2005,767001, ,1022303,-49235.9,-1740070
10/6/2005,821834, ,838318,-49822.3,-1610330
10/7/2005, ,-3734230,5134912,-49549.8,-1351130
10/8/2005, ,-16311800,18436084,396891,-2521150
10/9/2005, ,-11187900,13269155,351571,-2432800
10/10/2005, ,-4605570,6145006,-31670.2,-1507760
10/11/2005, ,-3906670,5347404,-33168.4,-1407570
10/12/2005, ,-15475100,17480740,19133.1,-2024770
10/13/2005, ,-14983100,16509549,536478,-2062950
10/14/2005, ,-13964400,16085620,250588,-2371760
10/15/2005, ,-9842930,11257747,129316,-1544140
10/16/2005, ,-4395120,6429750,-20176.2,-2014460
10/17/2005, ,-2559440,3986874,-14018.5,-1413420
10/18/2005, ,-1301470,2886096,-31154.5,-1553470
10/19/2005, ,-1116990,2209891,-28703.7,-1064200
10/20/2005,114703, ,1661401,-40912.9,-1735190
10/21/2005,526750, ,1332728,-38723,-1820750
10/22/2005, ,-5654090,7196138,-28710.9,-1513340
10/23/2005, ,-4888590,6051487,456632,-1619530
10/24/2005, ,-4681030,5792550,16920.6,-1128440
10/25/2005, ,-14051800,15507358,45522.7,-1501070
10/26/2005, ,-9988060,10981398,494362,-1487700
10/27/2005, ,-6415850,7301081,28597.9,-913833
10/28/2005, ,-4266380,5657018,-19718.4,-1370920
10/29/2005, ,-3409430,4443136,-26643.8,-1007060
10/30/2005, ,-2165960,3237445,-31954.3,-1039530
10/31/2005, ,-924122,2381191,-37656.2,-1419410
11/1/2005, ,-1821060,2923398,-41345,-1060990
11/2/2005, ,-1534710,2177450,130828,-773568
11/3/2005, ,-654715,1634552,-40381.4,-939456
11/4/2005, ,-194593,1364360,-38791.5,-1130980
11/5/2005, ,-295678,1202959,-42705.8,-864576
11/6/2005, ,-914396,1971378,-44949.4,-1012030
11/7/2005, ,-518435,1418677,100270,-1000510
11/8/2005, ,-320192,1207704,-45976.4,-841536
11/9/2005, ,-2647040,3599332,-30694.1,-921600
11/10/2005, ,-2371450,2714984,303600,-647136
11/11/2005, ,-914330,1950810,-24448.7,-1012030
11/12/2005, ,-1293720,1893033,-27057,-572256
11/13/2005, ,-913313,1817031,-24165.6,-879552
11/14/2005, ,-1047920,1698643,-33822.3,-616896
11/15/2005, ,-2549040,3380888,-36394.8,-795456
11/16/2005, ,-7977570,8453950,200132,-676512
11/17/2005, ,-5548810,5937243,361522,-749952
11/18/2005, ,-3194830,3785332,-32930.7,-557568
11/19/2005, ,-2551880,3195862,-20178.9,-623808
11/20/2005, ,-2074940,2730723,-22472.2,-633312
11/21/2005, ,-1972830,2423605,-26261.4,-424512
11/22/2005, ,-2245580,2768606,-19316.9,-503712
11/23/2005, ,-1993000,2280960,131947,-419904
11/24/2005, ,-1422640,1796272,-14781.6,-358848
11/25/2005, ,-1087770,1502340,-13669.4,-400896
11/26/2005, ,-875551,1314338,-13104.4,-425683
11/27/2005, ,-131579,1194568,-13204.6,-1049780
11/28/2005, ,-131579,1131439,-16553.3,-983307
11/29/2005, ,-131579,9848278,-19469.9,-9697230
11/30/2005, ,-131579,7815697,731514,-8415630
12/1/2005, ,-131579,5269184,-10116.3,-5127490
12/2/2005, ,-131579,4286718,-1920.13,-4153220
12/3/2005, ,-131579,3721522,-1012.15,-3588930
12/4/2005, ,-131579,3333828,-14528.9,-3187720
12/5/2005, ,-131579,2936686,-14668.7,-2790440
12/6/2005, ,-131579,2571420,-16255.8,-2423590
12/7/2005, ,-131579,2041630,-15742.3,-1894310
12/8/2005, ,-131579,1616529,-13230.3,-1471720
12/9/2005,113028, ,1349364,-10871.3,-1451520
12/10/2005,287493, ,1175643,-11615.7,-1451520
12/11/2005,407990, ,1059602,-16071.7,-1451520
12/12/2005,486245, ,979464,-14189.1,-1451520
12/13/2005,544030, ,923088,-15598.4,-1451520
12/14/2005,576878, ,882284,-7641.75,-1451520
12/15/2005,607978, ,850211,-6669.34,-1451520
12/16/2005,477394, ,982666,-8540.2,-1451520
12/17/2005,655100, ,809274,-12855,-1451520
12/18/2005,679918, ,786219,-14617,-1451520
12/19/2005,696575, ,767345,-12400.6,-1451520
12/20/2005,714126, ,750461,-13066.4,-1451520
12/21/2005,726306, ,734877,-9662.53,-1451520
12/22/2005,743595, ,720156,-12231.5,-1451520
12/23/2005,756132, ,710701,-15312.4,-1451520
12/24/2005,775817, ,692841,-17138,-1451520
12/25/2005, ,-986519,2460810,-22770.2,-1451520
12/26/2005, ,-219579,1538561,132538,-1451520
12/27/2005, ,-645757,856699,-5309.67,-205632
12/28/2005, ,-590329,814890,-18929.7,-205632
12/29/2005, ,-4161230,4384505,-17640.8,-205632
12/30/2005, ,-2790030,2852757,142909,-205632
12/31/2005, ,-1106770,1332245,-19839.9,-205632
1/1/2006, ,-1172770,1394070,-15665.6,-205632
1/2/2006, ,-865082,1929657,-17006.2,-1047570
1/3/2006, ,-131579,2295597,35557.6,-2199580
1/4/2006, ,-131579,1513958,126358,-1508740
1/5/2006, ,-131579,1482927,-13945.6,-1337400
1/6/2006, ,-131579,1292562,-11279.5,-1149700
1/7/2006, ,-131579,1154614,-18756.3,-1004280
1/8/2006, ,-131579,1057147,-12120.3,-913448
1/9/2006, ,-131579,977806,-17337.7,-828889
1/10/2006, ,-131579,909306,-19273,-758454
1/11/2006, ,-131579,2262694,-22394.8,-2108720
1/12/2006,209595, ,1194448,47476.1,-1451520
1/13/2006,468092, ,1007892,-24463.5,-1451520
1/14/2006, ,-1072420,6376484,-11997.6,-5292060
1/15/2006, ,-131579,2782696,318361,-2969480
1/16/2006, ,-131579,1775028,61180.2,-1704630
1/17/2006, ,-131579,1802248,-11342.3,-1659330
1/18/2006, ,-131579,14077964,-11905.3,-13934500
1/19/2006, ,-131579,7535946,304549,-7708920
1/20/2006, ,-131579,5463392,-19179.2,-5312630
1/21/2006, ,-131579,6020994,-24228.6,-5865190
1/22/2006, ,-131579,6063438,-16492,-5915370
1/23/2006, ,-131579,6409061,33502.7,-6310980
1/24/2006, ,-131579,4138554,141772,-4148750
1/25/2006, ,-131579,3041624,-16167.8,-2893880
1/26/2006, ,-131579,2356158,-16689.1,-2207890
1/27/2006, ,-131579,1839132,-15125.5,-1692430
1/28/2006, ,-131579,1612094,-12271,-1468240
1/29/2006, ,-131579,2965458,-6577.66,-2827300
1/30/2006, ,-131579,3525609,77584.8,-3471610
1/31/2006, ,-131579,7413184,133377,-7414980
2/1/2006, ,-131579,6106450,324571,-6299440
2/2/2006, ,-131579,6977534,174960,-7020920
2/3/2006, ,-131579,14976547,181170,-15026100
2/4/2006, ,-131579,14736268,498976,-15103700
2/5/2006, ,-131579,10904951,363913,-11137300
2/6/2006, ,-131579,8221288,218860,-8308570
2/7/2006, ,-131579,5042726,12465.5,-4923610
2/8/2006, ,-131579,3829151,-22648,-3674920
2/9/2006, ,-131579,2925397,-15706,-2778110
2/10/2006, ,-131579,2314522,-14330.7,-2168610
2/11/2006, ,-131579,1848200,-14407.7,-1702210
2/12/2006, ,-29710.6,1498341,-17110.4,-1451520
2/13/2006,202284, ,1266634,-17398.7,-1451520
2/14/2006, ,-567311,1116631,-15299.1,-534021
2/15/2006, ,-131579,1751430,-16165.7,-1603690
2/16/2006, ,-131579,1961742,151487,-1981650
2/17/2006, ,-131579,2795524,70922.5,-2734870
2/18/2006, ,-131579,1965025,73533.8,-1906980
2/19/2006, ,-131579,1371014,-26917.6,-1212520
2/20/2006, ,-131579,1362892,-12681,-1218630
2/21/2006, ,-131579,1338404,-14082,-1192740
2/22/2006, ,-131579,1364243,-18249.1,-1214420
2/23/2006, ,-131579,1596436,-20734,-1444120
2/24/2006, ,-131579,1510045,-16674.8,-1361790
2/25/2006, ,-131579,1142574,-18952.1,-992042
2/26/2006, ,-131579,1049575,-17149.7,-900846
2/27/2006, ,-131579,980604,-19997.6,-829027
2/28/2006, ,-131579,926943,-12954.7,-782409
3/1/2006, ,-131579,883258,-13041.1,-738638
3/2/2006, ,-131579,846642,-18906,-696157
3/3/2006, ,-131579,814127,-17614.3,-664934
3/4/2006, ,-131579,785109,-15953.1,-637577
3/5/2006, ,-131579,760383,-16203.2,-612601
3/6/2006, ,-131579,738597,-21958.3,-585059
3/7/2006, ,-131579,719287,-20637.4,-567071
3/8/2006,582225, ,701947,-19172.2,-1265000
3/9/2006, ,-845383,3091047,-22070.9,-2223590
3/10/2006, ,-131579,3184887,242525,-3295830
3/11/2006, ,-131579,1670330,-6920.4,-1531830
3/12/2006,213896, ,1163799,-45441.6,-1332250
3/13/2006, ,-477054,6621372,-40121.6,-6104200
3/14/2006, ,-131579,5470013,325107,-5663540
3/15/2006, ,-131579,2833587,18713.2,-2720720
3/16/2006, ,-131579,2157923,-32903.4,-1993440
3/17/2006, ,-131579,2012568,-25796.4,-1855190
3/18/2006, ,-131579,1791128,-27054.5,-1632490
3/19/2006, ,-131579,1595313,-22858.9,-1440880
3/20/2006, ,-131579,1437247,-20889.2,-1284780
3/21/2006, ,-131579,1251672,-23037.1,-1097060
3/22/2006, ,-131579,1086156,-22222.1,-932355
3/23/2006, ,-24031.3,1003276,-25112.4,-954132
3/24/2006, ,-37104.4,1022553,-27445.8,-958003
3/25/2006, ,-126784,1107474,-22686.9,-958003
3/26/2006, ,-65389.9,1011458,11935.2,-958003
3/27/2006,343239, ,888293,-4030.27,-1227500
3/28/2006,527367, ,828308,-30920.9,-1324750
3/29/2006,599830, ,768321,-43397,-1324750
3/30/2006,645836, ,729182,-50264.1,-1324750
3/31/2006,372286, ,746409,-55940,-1062750
4/1/2006, ,-842584,1482770,-60303.4,-579882
4/2/2006,262201, ,780538,1387.31,-1044130
4/3/2006, ,-92028.3,1433012,-60984.6,-1280000
4/4/2006, ,-508758,1815306,22076.8,-1328620
4/5/2006,128698, ,1161320,38606.2,-1328620
4/6/2006,305570, ,1057394,-34339,-1328620
4/7/2006, ,-493048,1852381,-30708.7,-1328620
4/8/2006, ,-240792,1499877,69539.7,-1328620
4/9/2006,150200, ,1176570,1855.03,-1328620
4/10/2006,233671, ,1137167,-42213,-1328620
4/11/2006,298976, ,1069846,-40197.1,-1328620
4/12/2006,412215, ,973089,-68049,-1317250
4/13/2006,338307, ,1063708,-73390.5,-1328620
4/14/2006, ,-416895,1774220,-28700,-1328620
4/15/2006, ,-493254,1314510,110620,-931876
4/16/2006,404857, ,1008367,-84599.6,-1328620
4/17/2006,512568, ,892690,-76633.2,-1328620
4/18/2006,1024391, ,817443,-64206.1,-1777630
4/19/2006,1330004, ,755922,-76054.5,-2009870
4/20/2006,729781, ,706511,-77911.4,-1358380
4/21/2006,734233, ,674775,-80383.5,-1328620
4/22/2006, ,-4915660,6313816,-69533.6,-1328620
4/23/2006, ,-5308430,10025365,676193,-5393130
4/24/2006, ,-131579,7394786,274565,-7537770
