Reservoir Inflows and Outflows
"Scenario: GridMet, Reservoir: Swinging Bridge Monagup and Rio Reservoirs"
Cubic Meter
"Sources and Destinations","Decrease in Storage for Swinging Bridge Monagup and Rio Reservoirs","Increase in Storage for Swinging Bridge Monagup and Rio Reservoirs","Inflow from Upstream","Outflow to Downstream"
4/5/2003,0,0,985026,-985026
4/6/2003,0,0,683817,-683817
4/7/2003,0,0,835136,-835136
4/8/2003,0,0,582993,-582993
4/9/2003,0,0,652924,-652924
4/10/2003,0,0,950271,-950271
4/11/2003,0,0,2416886,-2416890
4/12/2003,0,0,1051536,-1051540
4/13/2003,0,0,720065,-720065
4/14/2003,0,0,588410,-588410
4/15/2003,0,0,462712,-462712
4/16/2003,0,0,350208,-350208
4/17/2003,0,0,260687,-260687
4/18/2003,0,0,209935,-209935
4/19/2003,0,0,138809,-138809
4/20/2003,0,0,93833.6,-93833.6
4/21/2003,0,0,121144,-121144
4/22/2003,0,0,189154,-189154
4/23/2003,0,0,54763,-54763
4/24/2003,0,0,42079.2,-42079.2
4/25/2003,0,0,33577.8,-33577.8
4/26/2003,0,0,628566,-628566
4/27/2003,0,0,85335.1,-85335.1
4/28/2003,0,0,78770.6,-78770.6
4/29/2003,0,0,82767.9,-82767.9
4/30/2003,0,0,60401.2,-60401.2
5/1/2003,0,0,237675,-237675
5/2/2003,0,0,503983,-503983
5/3/2003,0,0,123115,-123115
5/4/2003,0,0,98286.6,-98286.6
5/5/2003,0,0,171583,-171583
5/6/2003,0,0,77859.6,-77859.6
5/7/2003,0,0,222754,-222754
5/8/2003,0,0,174887,-174887
5/9/2003,0,0,75489.6,-75489.6
5/10/2003,0,0,56134.8,-56134.8
5/11/2003,0,0,490626,-490626
5/12/2003,0,0,127214,-127214
5/13/2003,0,0,83254,-83254
5/14/2003,0,0,67731.5,-67731.5
5/15/2003,0,0,60096.3,-60096.3
5/16/2003,0,0,43885.5,-43885.5
5/17/2003,0,0,34718.2,-34718.2
5/18/2003,0,0,27828.7,-27828.7
5/19/2003,0,0,19227.9,-19227.9
5/20/2003,0,0,43326,-43326
5/21/2003,0,0,380646,-380646
5/22/2003,0,0,54718.3,-54718.3
5/23/2003,0,0,187341,-187341
5/24/2003,0,0,482106,-482106
5/25/2003,0,0,137087,-137087
5/26/2003,0,0,3241906,-3241910
5/27/2003,0,0,582824,-582824
5/28/2003,0,0,1294046,-1294050
5/29/2003,0,0,774771,-774771
5/30/2003,0,0,631395,-631395
5/31/2003,0,0,3973058,-3973060
6/1/2003,0,0,5618308,-5618310
6/2/2003,0,0,1966078,-1966080
6/3/2003,0,0,2396728,-2396730
6/4/2003,0,0,1794487,-1794490
6/5/2003,0,0,1059606,-1059610
6/6/2003,0,0,668229,-668229
6/7/2003,0,0,3508015,-3508020
6/8/2003,0,0,1087504,-1087500
6/9/2003,0,0,863049,-863049
6/10/2003,0,0,468597,-468597
6/11/2003,0,0,636252,-636252
6/12/2003,0,0,3142492,-3142490
6/13/2003,0,0,1579061,-1579060
6/14/2003,0,0,1017441,-1017440
6/15/2003,0,0,544458,-544458
6/16/2003,0,0,369566,-369566
6/17/2003,0,0,295024,-295024
6/18/2003,0,0,728650,-728650
6/19/2003,0,0,275629,-275629
6/20/2003,0,0,3420987,-3420990
6/21/2003,0,0,6187266,-6187270
6/22/2003,0,0,4976146,-4976150
6/23/2003,0,0,1649195,-1649200
6/24/2003,0,0,1252545,-1252540
6/25/2003,0,0,879681,-879681
6/26/2003,0,0,575671,-575671
6/27/2003,0,0,381503,-381503
6/28/2003,0,0,212769,-212769
6/29/2003,0,0,139450,-139450
6/30/2003,0,0,55489.9,-55489.9
7/1/2003,0,0,26382.9,-26382.9
7/2/2003,0,0,12886.4,-12886.4
7/3/2003,0,0,6484.49,-6484.49
7/4/2003,0,0,47160.5,-47160.5
7/5/2003,0,0,7323.9,-7323.9
7/6/2003,0,0,2084.31,-2084.31
7/7/2003,0,0,473839,-473839
7/8/2003,0,0,16320.8,-16320.8
7/9/2003,0,0,276538,-276538
7/10/2003,0,0,346150,-346150
7/11/2003,0,0,407245,-407245
7/12/2003,0,0,131429,-131429
7/13/2003,0,0,82248.9,-82248.9
7/14/2003,0,0,72859.4,-72859.4
7/15/2003,0,0,58700.6,-58700.6
7/16/2003,0,0,238395,-238395
7/17/2003,0,0,50982.3,-50982.3
7/18/2003,0,0,189076,-189076
7/19/2003,0,0,36275.7,-36275.7
7/20/2003,0,0,36236.6,-36236.6
7/21/2003,0,0,1969458,-1969460
7/22/2003,0,0,2261238,-2261240
7/23/2003,0,0,1421317,-1421320
7/24/2003,0,0,971207,-971207
7/25/2003,0,0,514921,-514921
7/26/2003,0,0,417697,-417697
7/27/2003,0,0,1106804,-1106800
7/28/2003,0,0,449081,-449081
7/29/2003,0,0,284588,-284588
7/30/2003,0,0,166809,-166809
7/31/2003,0,0,159292,-159292
8/1/2003,0,0,3085662,-3085660
8/2/2003,0,0,517815,-517815
8/3/2003,0,0,2694550,-2694550
8/4/2003,0,0,4870330,-4870330
8/5/2003,0,0,3694969,-3694970
8/6/2003,0,0,1722218,-1722220
8/7/2003,0,0,1743088,-1743090
8/8/2003,0,0,1221377,-1221380
8/9/2003,0,0,3079896,-3079900
8/10/2003,0,0,2287056,-2287060
8/11/2003,0,0,3526925,-3526930
8/12/2003,0,0,1546775,-1546770
8/13/2003,0,0,823621,-823621
8/14/2003,0,0,498664,-498664
8/15/2003,0,0,304883,-304883
8/16/2003,0,0,265401,-265401
8/17/2003,0,0,338992,-338992
8/18/2003,0,0,160668,-160668
8/19/2003,0,0,85790.2,-85790.2
8/20/2003,0,0,44821.8,-44821.8
8/21/2003,0,0,26348.4,-26348.4
8/22/2003,0,0,36164.6,-36164.6
8/23/2003,0,0,11500.1,-11500.1
8/24/2003,0,0,7548.27,-7548.27
8/25/2003,0,0,4707.68,-4707.68
8/26/2003,0,0,2873.58,-2873.58
8/27/2003,0,0,1739.42,-1739.42
8/28/2003,0,0,1066.83,-1066.83
8/29/2003,0,0,101946,-101946
8/30/2003,0,0,46989.1,-46989.1
8/31/2003,0,0,3413.67,-3413.67
9/1/2003,0,0,5091502,-5091500
9/2/2003,0,0,10630891,-10630900
9/3/2003,0,0,7708390,-7708390
9/4/2003,0,0,2808339,-2808340
9/5/2003,0,0,2424388,-2424390
9/6/2003,0,0,1986507,-1986510
9/7/2003,0,0,1505246,-1505250
9/8/2003,0,0,1098616,-1098620
9/9/2003,0,0,640493,-640493
9/10/2003,0,0,341811,-341811
9/11/2003,0,0,176020,-176020
9/12/2003,0,0,92471,-92471
9/13/2003,0,0,215716,-215716
9/14/2003,0,0,231749,-231749
9/15/2003,0,0,1289749,-1289750
9/16/2003,0,0,173512,-173512
9/17/2003,0,0,155879,-155879
9/18/2003,0,0,269529,-269529
9/19/2003,0,0,2593926,-2593930
9/20/2003,0,0,552544,-552544
9/21/2003,0,0,516328,-516328
9/22/2003,0,0,937993,-937993
9/23/2003,0,0,11830772,-11830800
9/24/2003,0,0,2425391,-2425390
9/25/2003,0,0,2572850,-2572850
9/26/2003,0,0,1831499,-1831500
9/27/2003,0,0,3907078,-3907080
9/28/2003,0,0,4598818,-4598820
9/29/2003,0,0,2502976,-2502980
9/30/2003,0,0,1585756,-1585760
10/1/2003,0,0,1111065,-1111060
10/2/2003,0,0,775985,-775985
10/3/2003,0,0,497109,-497109
10/4/2003,0,0,1707932,-1707930
10/5/2003,0,0,623859,-623859
10/6/2003,0,0,543206,-543206
10/7/2003,0,0,358373,-358373
10/8/2003,0,0,324277,-324277
10/9/2003,0,0,231115,-231115
10/10/2003,0,0,180870,-180870
10/11/2003,0,0,143146,-143146
10/12/2003,0,0,101154,-101154
10/13/2003,0,0,72760.9,-72760.9
10/14/2003,0,0,3407693,-3407690
10/15/2003,0,0,1312352,-1312350
10/16/2003,0,0,646321,-646321
10/17/2003,0,0,780155,-780155
10/18/2003,0,0,661000,-661000
10/19/2003,0,0,1209848,-1209850
10/20/2003,0,0,757905,-757905
10/21/2003,0,0,858198,-858198
10/22/2003,0,0,595634,-595634
10/23/2003,0,0,453311,-453311
10/24/2003,0,0,335741,-335741
10/25/2003,0,0,276703,-276703
10/26/2003,0,0,739604,-739604
10/27/2003,0,0,11651241,-11651200
10/28/2003,0,0,3804310,-3804310
10/29/2003,0,0,13763939,-13763900
10/30/2003,0,0,3823328,-3823330
10/31/2003,0,0,3066278,-3066280
11/1/2003,0,0,2296428,-2296430
11/2/2003,0,0,2115708,-2115710
11/3/2003,0,0,1385298,-1385300
11/4/2003,0,0,857960,-857960
11/5/2003,0,0,1798438,-1798440
11/6/2003,0,0,961966,-961966
11/7/2003,0,0,519318,-519318
11/8/2003,0,0,378542,-378542
11/9/2003,0,0,300066,-300066
11/10/2003,0,0,247926,-247926
11/11/2003,0,0,357854,-357854
11/12/2003,0,0,474610,-474610
11/13/2003,0,0,595614,-595614
11/14/2003,0,0,273610,-273610
11/15/2003,0,0,241296,-241296
11/16/2003,0,0,216325,-216325
11/17/2003,0,0,291238,-291238
11/18/2003,0,0,197238,-197238
11/19/2003,0,0,9108589,-9108590
11/20/2003,0,0,2608018,-2608020
11/21/2003,0,0,1809998,-1810000
11/22/2003,0,0,1678978,-1678980
11/23/2003,0,0,1469028,-1469030
11/24/2003,0,0,2974438,-2974440
11/25/2003,0,0,1423588,-1423590
11/26/2003,0,0,1171348,-1171350
11/27/2003,0,0,842430,-842430
11/28/2003,0,0,5942178,-5942180
11/29/2003,0,0,1932948,-1932950
11/30/2003,0,0,1419988,-1419990
12/1/2003,0,0,1209638,-1209640
12/2/2003,0,0,948088,-948088
12/3/2003,0,0,784952,-784952
12/4/2003,0,0,671444,-671444
12/5/2003,0,0,577876,-577876
12/6/2003,0,0,414110,-414110
12/7/2003,0,0,309386,-309386
12/8/2003,0,0,239984,-239984
12/9/2003,0,0,191040,-191040
12/10/2003,0,0,250571,-250571
12/11/2003,0,0,10399739,-10399700
12/12/2003,0,0,926498,-926498
12/13/2003,0,0,974024,-974024
12/14/2003,0,0,982316,-982316
12/15/2003,0,0,952174,-952174
12/16/2003,0,0,891302,-891302
12/17/2003,0,0,2605918,-2605920
12/18/2003,0,0,998246,-998246
12/19/2003,0,0,724800,-724800
12/20/2003,0,0,544100,-544100
12/21/2003,0,0,419686,-419686
12/22/2003,0,0,331512,-331512
12/23/2003,0,0,266246,-266246
12/24/2003,0,0,9484809,-9484810
12/25/2003,0,0,1034409,-1034410
12/26/2003,0,0,978192,-978192
12/27/2003,0,0,910902,-910902
12/28/2003,0,0,832492,-832492
12/29/2003,0,0,748066,-748066
12/30/2003,0,0,1224948,-1224950
12/31/2003,0,0,672232,-672232
1/1/2004,0,0,489751,-489751
1/2/2004,0,0,637714,-637714
1/3/2004,0,0,1490783,-1490780
1/4/2004,0,0,5509404,-5509400
1/5/2004,0,0,3026686,-3026690
1/6/2004,0,0,986731,-986731
1/7/2004,0,0,910765,-910765
1/8/2004,0,0,839231,-839231
1/9/2004,0,0,768756,-768756
1/10/2004,0,0,695300,-695300
1/11/2004,0,0,607384,-607384
1/12/2004,0,0,475705,-475705
1/13/2004,0,0,364084,-364084
1/14/2004,0,0,285774,-285774
1/15/2004,0,0,231248,-231248
1/16/2004,0,0,191708,-191708
1/17/2004,0,0,161702,-161702
1/18/2004,0,0,137947,-137947
1/19/2004,0,0,119059,-119059
1/20/2004,0,0,104374,-104374
1/21/2004,0,0,92850.2,-92850.2
1/22/2004,0,0,83175.3,-83175.3
1/23/2004,0,0,74781.9,-74781.9
1/24/2004,0,0,67773.6,-67773.6
1/25/2004,0,0,61969.2,-61969.2
1/26/2004,0,0,56938.1,-56938.1
1/27/2004,0,0,52451.2,-52451.2
1/28/2004,0,0,48295.8,-48295.8
1/29/2004,0,0,44449.9,-44449.9
1/30/2004,0,0,41095.1,-41095.1
1/31/2004,0,0,38171.8,-38171.8
2/1/2004,0,0,35381.8,-35381.8
2/2/2004,0,0,32679.9,-32679.9
2/3/2004,0,0,30057.7,-30057.7
2/4/2004,0,0,27540.4,-27540.4
2/5/2004,0,0,25210.2,-25210.2
2/6/2004,0,0,309175,-309175
2/7/2004,0,0,415844,-415844
2/8/2004,0,0,37083.4,-37083.4
2/9/2004,0,0,36897.5,-36897.5
2/10/2004,0,0,189798,-189798
2/11/2004,0,0,442575,-442575
2/12/2004,0,0,58855.7,-58855.7
2/13/2004,0,0,210716,-210716
2/14/2004,0,0,632438,-632438
2/15/2004,0,0,94286.9,-94286.9
2/16/2004,0,0,96091.2,-96091.2
2/17/2004,0,0,97655.5,-97655.5
2/18/2004,0,0,97794.7,-97794.7
2/19/2004,0,0,92381.1,-92381.1
2/20/2004,0,0,929965,-929965
2/21/2004,0,0,2290350,-2290350
2/22/2004,0,0,3990781,-3990780
2/23/2004,0,0,1009732,-1009730
2/24/2004,0,0,1470243,-1470240
2/25/2004,0,0,697131,-697131
2/26/2004,0,0,796288,-796288
2/27/2004,0,0,2676375,-2676380
2/28/2004,0,0,4772586,-4772590
3/1/2004,0,0,6906327,-6906330
3/2/2004,0,0,6905448,-6905450
3/3/2004,0,0,2382028,-2382030
3/4/2004,0,0,3313298,-3313300
3/5/2004,0,0,2132149,-2132150
3/6/2004,0,0,2935949,-2935950
3/7/2004,0,0,1604990,-1604990
3/8/2004,0,0,2280690,-2280690
3/9/2004,0,0,1058990,-1058990
3/10/2004,0,0,801405,-801405
3/11/2004,0,0,600334,-600334
3/12/2004,0,0,447232,-447232
3/13/2004,0,0,312100,-312100
3/14/2004,0,0,247859,-247859
3/15/2004,0,0,216995,-216995
3/16/2004,0,0,553367,-553367
3/17/2004,0,0,233315,-233315
3/18/2004,0,0,204267,-204267
3/19/2004,0,0,244649,-244649
3/20/2004,0,0,324894,-324894
3/21/2004,0,0,691538,-691538
3/22/2004,0,0,184804,-184804
3/23/2004,0,0,172455,-172455
3/24/2004,0,0,893571,-893571
3/25/2004,0,0,1250448,-1250450
3/26/2004,0,0,327047,-327047
3/27/2004,0,0,539567,-539567
3/28/2004,0,0,209360,-209360
3/29/2004,0,0,176263,-176263
3/30/2004,0,0,176744,-176744
3/31/2004,0,0,1503610,-1503610
4/1/2004,0,0,2629551,-2629550
4/2/2004,0,0,524734,-524734
4/3/2004,0,0,466777,-466777
4/4/2004,0,0,570898,-570898
4/5/2004,0,0,316485,-316485
4/6/2004,0,0,290950,-290950
4/7/2004,0,0,263938,-263938
4/8/2004,0,0,237700,-237700
4/9/2004,0,0,166324,-166324
4/10/2004,0,0,125495,-125495
4/11/2004,0,0,95203.3,-95203.3
4/12/2004,0,0,1618336,-1618340
4/13/2004,0,0,2787076,-2787080
4/14/2004,0,0,1092397,-1092400
4/15/2004,0,0,766761,-766761
4/16/2004,0,0,674448,-674448
4/17/2004,0,0,609340,-609340
4/18/2004,0,0,544541,-544541
4/19/2004,0,0,443369,-443369
4/20/2004,0,0,305251,-305251
4/21/2004,0,0,253917,-253917
4/22/2004,0,0,393826,-393826
4/23/2004,0,0,1119101,-1119100
4/24/2004,0,0,273312,-273312
4/25/2004,0,0,850232,-850232
4/26/2004,0,0,3154702,-3154700
4/27/2004,0,0,813298,-813298
4/28/2004,0,0,739114,-739114
4/29/2004,0,0,672350,-672350
4/30/2004,0,0,559566,-559566
5/1/2004,0,0,407404,-407404
5/2/2004,0,0,2079075,-2079080
5/3/2004,0,0,1430506,-1430510
5/4/2004,0,0,635817,-635817
5/5/2004,0,0,1140646,-1140650
5/6/2004,0,0,513644,-513644
5/7/2004,0,0,948520,-948520
5/8/2004,0,0,649515,-649515
5/9/2004,0,0,864098,-864098
5/10/2004,0,0,1296169,-1296170
5/11/2004,0,0,480672,-480672
5/12/2004,0,0,1298580,-1298580
5/13/2004,0,0,503204,-503204
5/14/2004,0,0,331804,-331804
5/15/2004,0,0,440221,-440221
5/16/2004,0,0,207894,-207894
5/17/2004,0,0,145858,-145858
5/18/2004,0,0,440896,-440896
5/19/2004,0,0,131334,-131334
5/20/2004,0,0,235789,-235789
5/21/2004,0,0,170922,-170922
5/22/2004,0,0,95659.7,-95659.7
5/23/2004,0,0,138020,-138020
5/24/2004,0,0,273933,-273933
5/25/2004,0,0,67824.9,-67824.9
5/26/2004,0,0,1707146,-1707150
5/27/2004,0,0,342539,-342539
5/28/2004,0,0,532990,-532990
5/29/2004,0,0,248625,-248625
5/30/2004,0,0,222543,-222543
5/31/2004,0,0,995183,-995183
6/1/2004,0,0,1254464,-1254460
6/2/2004,0,0,1027723,-1027720
6/3/2004,0,0,445246,-445246
6/4/2004,0,0,323697,-323697
6/5/2004,0,0,670834,-670834
6/6/2004,0,0,337343,-337343
6/7/2004,0,0,214248,-214248
6/8/2004,0,0,145558,-145558
6/9/2004,0,0,368750,-368750
6/10/2004,0,0,128204,-128204
6/11/2004,0,0,65583.7,-65583.7
6/12/2004,0,0,44506.5,-44506.5
6/13/2004,0,0,28806.3,-28806.3
6/14/2004,0,0,55989,-55989
6/15/2004,0,0,18036,-18036
6/16/2004,0,0,9229.69,-9229.69
6/17/2004,0,0,1849274,-1849270
6/18/2004,0,0,193745,-193745
6/19/2004,0,0,121077,-121077
6/20/2004,0,0,111157,-111157
6/21/2004,0,0,100854,-100854
6/22/2004,0,0,642022,-642022
6/23/2004,0,0,161424,-161424
6/24/2004,0,0,137132,-137132
6/25/2004,0,0,333610,-333610
6/26/2004,0,0,457603,-457603
6/27/2004,0,0,112878,-112878
6/28/2004,0,0,211407,-211407
6/29/2004,0,0,79823.6,-79823.6
6/30/2004,0,0,53879.7,-53879.7
7/1/2004,0,0,67040.7,-67040.7
7/2/2004,0,0,28071.2,-28071.2
7/3/2004,0,0,17811.3,-17811.3
7/4/2004,0,0,10218.4,-10218.4
7/5/2004,0,0,193531,-193531
7/6/2004,0,0,15097.2,-15097.2
7/7/2004,0,0,185442,-185442
7/8/2004,0,0,17202,-17202
7/9/2004,0,0,12599.7,-12599.7
7/10/2004,0,0,9420.23,-9420.23
7/11/2004,0,0,7075.18,-7075.18
7/12/2004,0,0,843873,-843873
7/13/2004,0,0,229442,-229442
7/14/2004,0,0,1585647,-1585650
7/15/2004,0,0,864147,-864147
7/16/2004,0,0,888851,-888851
7/17/2004,0,0,796548,-796548
7/18/2004,0,0,1357775,-1357770
7/19/2004,0,0,1731194,-1731190
7/20/2004,0,0,656072,-656072
7/21/2004,0,0,467429,-467429
7/22/2004,0,0,291691,-291691
7/23/2004,0,0,3866182,-3866180
7/24/2004,0,0,849439,-849439
7/25/2004,0,0,599363,-599363
7/26/2004,0,0,536690,-536690
7/27/2004,0,0,5722479,-5722480
7/28/2004,0,0,2247438,-2247440
7/29/2004,0,0,1165068,-1165070
7/30/2004,0,0,945564,-945564
7/31/2004,0,0,1239367,-1239370
8/1/2004,0,0,1571596,-1571600
8/2/2004,0,0,603694,-603694
8/3/2004,0,0,402907,-402907
8/4/2004,0,0,1459204,-1459200
8/5/2004,0,0,573283,-573283
8/6/2004,0,0,286753,-286753
8/7/2004,0,0,224996,-224996
8/8/2004,0,0,145909,-145909
8/9/2004,0,0,95413.2,-95413.2
8/10/2004,0,0,371350,-371350
8/11/2004,0,0,302097,-302097
8/12/2004,0,0,13781599,-13781600
8/13/2004,0,0,5010408,-5010410
8/14/2004,0,0,1833268,-1833270
8/15/2004,0,0,2213698,-2213700
8/16/2004,0,0,2129467,-2129470
8/17/2004,0,0,1240426,-1240430
8/18/2004,0,0,903715,-903715
8/19/2004,0,0,775630,-775630
8/20/2004,0,0,2349174,-2349170
8/21/2004,0,0,4413564,-4413560
8/22/2004,0,0,1161033,-1161030
8/23/2004,0,0,796500,-796500
8/24/2004,0,0,547808,-547808
8/25/2004,0,0,388750,-388750
8/26/2004,0,0,284938,-284938
8/27/2004,0,0,210756,-210756
8/28/2004,0,0,272225,-272225
8/29/2004,0,0,126502,-126502
8/30/2004,0,0,4116158,-4116160
8/31/2004,0,0,1052647,-1052650
9/1/2004,0,0,560350,-560350
9/2/2004,0,0,478932,-478932
9/3/2004,0,0,399935,-399935
9/4/2004,0,0,326502,-326502
9/5/2004,0,0,265978,-265978
9/6/2004,0,0,206088,-206088
9/7/2004,0,0,122934,-122934
9/8/2004,0,0,4970150,-4970150
9/9/2004,0,0,3886489,-3886490
9/10/2004,0,0,1104908,-1104910
9/11/2004,0,0,950184,-950184
9/12/2004,0,0,794821,-794821
9/13/2004,0,0,646592,-646592
9/14/2004,0,0,514927,-514927
9/15/2004,0,0,566878,-566878
9/16/2004,0,0,297308,-297308
9/17/2004,0,0,6639472,-6639470
9/18/2004,0,0,28703370,-28703400
9/19/2004,0,0,3979910,-3979910
9/20/2004,0,0,3253209,-3253210
9/21/2004,0,0,2456058,-2456060
9/22/2004,0,0,1772137,-1772140
9/23/2004,0,0,1244006,-1244010
9/24/2004,0,0,875425,-875425
9/25/2004,0,0,518642,-518642
9/26/2004,0,0,255516,-255516
9/27/2004,0,0,167281,-167281
9/28/2004,0,0,8105952,-8105950
9/29/2004,0,0,1249401,-1249400
9/30/2004,0,0,2699490,-2699490
10/1/2004,0,0,1278149,-1278150
10/2/2004,0,0,1657408,-1657410
10/3/2004,0,0,1109887,-1109890
10/4/2004,0,0,929770,-929770
10/5/2004,0,0,764953,-764953
10/6/2004,0,0,477689,-477689
10/7/2004,0,0,313309,-313309
10/8/2004,0,0,200241,-200241
10/9/2004,0,0,130231,-130231
10/10/2004,0,0,85197.2,-85197.2
10/11/2004,0,0,58343.6,-58343.6
10/12/2004,0,0,41688.8,-41688.8
10/13/2004,0,0,30674.9,-30674.9
10/14/2004,0,0,63873.8,-63873.8
10/15/2004,0,0,669954,-669954
10/16/2004,0,0,316699,-316699
10/17/2004,0,0,106542,-106542
10/18/2004,0,0,756492,-756492
10/19/2004,0,0,5223692,-5223690
10/20/2004,0,0,1041872,-1041870
10/21/2004,0,0,1399151,-1399150
10/22/2004,0,0,1274630,-1274630
10/23/2004,0,0,1081599,-1081600
10/24/2004,0,0,957396,-957396
10/25/2004,0,0,765740,-765740
10/26/2004,0,0,601076,-601076
10/27/2004,0,0,396196,-396196
10/28/2004,0,0,268672,-268672
10/29/2004,0,0,186753,-186753
10/30/2004,0,0,279586,-279586
10/31/2004,0,0,125359,-125359
11/1/2004,0,0,94404.1,-94404.1
11/2/2004,0,0,134451,-134451
11/3/2004,0,0,77448.2,-77448.2
11/4/2004,0,0,996618,-996618
11/5/2004,0,0,369746,-369746
11/6/2004,0,0,251700,-251700
11/7/2004,0,0,224761,-224761
11/8/2004,0,0,230610,-230610
11/9/2004,0,0,214829,-214829
11/10/2004,0,0,208113,-208113
11/11/2004,0,0,200577,-200577
11/12/2004,0,0,504870,-504870
11/13/2004,0,0,218959,-218959
11/14/2004,0,0,187800,-187800
11/15/2004,0,0,180785,-180785
11/16/2004,0,0,140806,-140806
11/17/2004,0,0,122614,-122614
11/18/2004,0,0,107166,-107166
11/19/2004,0,0,93834.6,-93834.6
11/20/2004,0,0,668872,-668872
11/21/2004,0,0,135772,-135772
11/22/2004,0,0,123061,-123061
11/23/2004,0,0,111514,-111514
11/24/2004,0,0,2577322,-2577320
11/25/2004,0,0,1157492,-1157490
11/26/2004,0,0,407018,-407018
11/27/2004,0,0,460724,-460724
11/28/2004,0,0,8539743,-8539740
11/29/2004,0,0,1977482,-1977480
11/30/2004,0,0,2051093,-2051090
12/1/2004,0,0,7286582,-7286580
12/2/2004,0,0,2839882,-2839880
12/3/2004,0,0,2216542,-2216540
12/4/2004,0,0,1654572,-1654570
12/5/2004,0,0,1269542,-1269540
12/6/2004,0,0,1029213,-1029210
12/7/2004,0,0,969972,-969972
12/8/2004,0,0,544040,-544040
12/9/2004,0,0,1434072,-1434070
12/10/2004,0,0,1915892,-1915890
12/11/2004,0,0,900578,-900578
12/12/2004,0,0,771046,-771046
12/13/2004,0,0,677676,-677676
12/14/2004,0,0,546916,-546916
12/15/2004,0,0,488970,-488970
12/16/2004,0,0,442916,-442916
12/17/2004,0,0,371844,-371844
12/18/2004,0,0,296526,-296526
12/19/2004,0,0,239846,-239846
12/20/2004,0,0,197282,-197282
12/21/2004,0,0,165717,-165717
12/22/2004,0,0,141280,-141280
12/23/2004,0,0,4403882,-4403880
12/24/2004,0,0,399310,-399310
12/25/2004,0,0,401720,-401720
12/26/2004,0,0,400348,-400348
12/27/2004,0,0,393160,-393160
12/28/2004,0,0,381522,-381522
12/29/2004,0,0,365188,-365188
12/30/2004,0,0,343014,-343014
12/31/2004,0,0,348128,-348128
1/1/2005,0,0,229470,-229470
1/2/2005,0,0,467014,-467014
1/3/2005,0,0,2280997,-2281000
1/4/2005,0,0,691186,-691186
1/5/2005,0,0,2088370,-2088370
1/6/2005,0,0,959921,-959921
1/7/2005,0,0,510602,-510602
1/8/2005,0,0,493353,-493353
1/9/2005,0,0,471611,-471611
1/10/2005,0,0,439749,-439749
1/11/2005,0,0,1155729,-1155730
1/12/2005,0,0,651588,-651588
1/13/2005,0,0,666542,-666542
1/14/2005,0,0,9528123,-9528120
1/15/2005,0,0,1378565,-1378560
1/16/2005,0,0,1311196,-1311200
1/17/2005,0,0,1210618,-1210620
1/18/2005,0,0,1095699,-1095700
1/19/2005,0,0,958408,-958408
1/20/2005,0,0,831276,-831276
1/21/2005,0,0,714354,-714354
1/22/2005,0,0,516633,-516633
1/23/2005,0,0,387209,-387209
1/24/2005,0,0,298817,-298817
1/25/2005,0,0,236978,-236978
1/26/2005,0,0,192008,-192008
1/27/2005,0,0,159167,-159167
1/28/2005,0,0,135814,-135814
1/29/2005,0,0,118586,-118586
1/30/2005,0,0,104635,-104635
1/31/2005,0,0,92681,-92681
2/1/2005,0,0,82404.8,-82404.8
2/2/2005,0,0,73658.5,-73658.5
2/3/2005,0,0,66108.4,-66108.4
2/4/2005,0,0,398648,-398648
2/5/2005,0,0,1052602,-1052600
2/6/2005,0,0,2066163,-2066160
2/7/2005,0,0,3137604,-3137600
2/8/2005,0,0,4021294,-4021290
2/9/2005,0,0,6919926,-6919930
2/10/2005,0,0,6225036,-6225040
2/11/2005,0,0,1975617,-1975620
2/12/2005,0,0,1840198,-1840200
2/13/2005,0,0,1555208,-1555210
2/14/2005,0,0,1426079,-1426080
2/15/2005,0,0,2178200,-2178200
2/16/2005,0,0,4311321,-4311320
2/17/2005,0,0,4393282,-4393280
2/18/2005,0,0,1243893,-1243890
2/19/2005,0,0,945142,-945142
2/20/2005,0,0,755094,-755094
2/21/2005,0,0,622860,-622860
2/22/2005,0,0,599422,-599422
2/23/2005,0,0,438416,-438416
2/24/2005,0,0,347009,-347009
2/25/2005,0,0,264817,-264817
2/26/2005,0,0,209088,-209088
2/27/2005,0,0,168887,-168887
2/28/2005,0,0,138786,-138786
3/1/2005,0,0,115767,-115767
3/2/2005,0,0,97850.3,-97850.3
3/3/2005,0,0,84043.5,-84043.5
3/4/2005,0,0,73226.5,-73226.5
3/5/2005,0,0,64346.6,-64346.6
3/6/2005,0,0,56737.9,-56737.9
3/7/2005,0,0,722029,-722029
3/8/2005,0,0,3314785,-3314780
3/9/2005,0,0,266137,-266137
3/10/2005,0,0,298605,-298605
3/11/2005,0,0,325290,-325290
3/12/2005,0,0,633202,-633202
3/13/2005,0,0,1963477,-1963480
3/14/2005,0,0,542064,-542064
3/15/2005,0,0,524411,-524411
3/16/2005,0,0,780620,-780620
3/17/2005,0,0,2341059,-2341060
3/18/2005,0,0,2667879,-2667880
3/19/2005,0,0,2042630,-2042630
3/20/2005,0,0,2945950,-2945950
3/21/2005,0,0,2107180,-2107180
3/22/2005,0,0,1846371,-1846370
3/23/2005,0,0,4374562,-4374560
3/24/2005,0,0,1755632,-1755630
3/25/2005,0,0,1510192,-1510190
3/26/2005,0,0,994496,-994496
3/27/2005,0,0,1617473,-1617470
